AdjOE_diff,AdjDE_diff,EFG%_diff,EFGD%_diff,TOR_diff,TORD_diff,ORB_diff,DRB_diff,ADJ T_diff,WAB_diff,y,TeamA,TeamB
0.8868999999999971,1.1744999999999948,3.1999999999999957,0.09999999999999432,6.399999999999999,-2.200000000000003,1.3999999999999986,-2.5,1.6189999999999998,0.6079800000000004,1,Arkansas Pine Bluff,Winthrop
-0.8868999999999971,-1.1744999999999948,-3.1999999999999957,-0.09999999999999432,-6.399999999999999,2.200000000000003,-1.3999999999999986,2.5,-1.6189999999999998,-0.6079800000000004,0,Winthrop,Arkansas Pine Bluff
9.844000000000008,-6.665500000000009,0.6999999999999957,-5.700000000000003,1.5,-3.1999999999999993,4.600000000000001,3.1000000000000014,-4.667100000000005,7.85727,1,Baylor,Sam Houston St.
-9.844000000000008,6.665500000000009,-0.6999999999999957,5.700000000000003,-1.5,3.1999999999999993,-4.600000000000001,-3.1000000000000014,4.667100000000005,-7.85727,0,Sam Houston St.,Baylor
1.4089999999999918,-1.3003000000000071,-1.7999999999999972,2.0,0.0,-0.6999999999999993,1.5,-2.8000000000000007,-4.937999999999995,2.37843,1,Butler,UTEP
-1.4089999999999918,1.3003000000000071,1.7999999999999972,-2.0,0.0,0.6999999999999993,-1.5,2.8000000000000007,4.937999999999995,-2.37843,0,UTEP,Butler
4.325000000000003,-3.561300000000003,5.5,-1.7999999999999972,-2.5999999999999996,1.6999999999999993,-6.199999999999999,-4.699999999999996,6.185600000000008,4.109070399999999,1,BYU,Florida
-4.325000000000003,3.561300000000003,-5.5,1.7999999999999972,2.5999999999999996,-1.6999999999999993,6.199999999999999,4.699999999999996,-6.185600000000008,-4.109070399999999,0,Florida,BYU
15.228000000000009,-15.295199999999994,3.700000000000003,-5.5,0.3000000000000007,0.6000000000000014,8.599999999999998,2.1999999999999993,-2.096500000000006,18.31413,1,Kansas,Lehigh
-15.228000000000009,15.295199999999994,-3.700000000000003,5.5,-0.3000000000000007,-0.6000000000000014,-8.599999999999998,-2.1999999999999993,2.096500000000006,-18.31413,0,Lehigh,Kansas
14.259999999999991,-11.550200000000004,0.20000000000000284,-1.0,-1.3000000000000007,5.300000000000001,7.899999999999999,3.5,1.9559999999999889,10.44023,1,Kansas St.,North Texas
-14.259999999999991,11.550200000000004,-0.20000000000000284,1.0,1.3000000000000007,-5.300000000000001,-7.899999999999999,-3.5,-1.9559999999999889,-10.44023,0,North Texas,Kansas St.
16.405200000000008,-9.689599999999999,5.299999999999997,-5.5,-0.8000000000000007,-4.300000000000001,5.899999999999999,-1.9000000000000021,1.0422999999999973,16.57814,1,Kentucky,East Tennessee St.
-16.405200000000008,9.689599999999999,-5.299999999999997,5.5,0.8000000000000007,4.300000000000001,-5.899999999999999,1.9000000000000021,-1.0422999999999973,-16.57814,0,East Tennessee St.,Kentucky
-6.472999999999999,-0.8623999999999938,2.6000000000000014,-3.0,2.1999999999999993,4.600000000000001,6.600000000000001,-2.3000000000000043,-2.6392000000000024,-3.0293129999999997,1,Murray St.,Vanderbilt
6.472999999999999,0.8623999999999938,-2.6000000000000014,3.0,-2.1999999999999993,-4.600000000000001,-6.600000000000001,2.3000000000000043,2.6392000000000024,3.0293129999999997,0,Vanderbilt,Murray St.
9.369,-2.6788999999999987,-3.6000000000000014,1.8999999999999986,-2.900000000000002,0.3999999999999986,5.199999999999999,-2.400000000000002,5.295100000000005,9.48361,1,New Mexico,Montana
-9.369,2.6788999999999987,3.6000000000000014,-1.8999999999999986,2.900000000000002,-0.3999999999999986,-5.199999999999999,2.400000000000002,-5.295100000000005,-9.48361,0,Montana,New Mexico
-2.0690000000000026,-2.5548,-2.6000000000000014,0.8000000000000043,0.6999999999999993,-2.3000000000000007,1.6999999999999993,-4.0,-7.467999999999996,2.87225,1,Northern Iowa,UNLV
2.0690000000000026,2.5548,2.6000000000000014,-0.8000000000000043,-0.6999999999999993,2.3000000000000007,-1.6999999999999993,4.0,7.467999999999996,-2.87225,0,UNLV,Northern Iowa
-9.301999999999992,4.2198999999999955,-6.300000000000004,-0.6000000000000014,-2.799999999999997,1.9000000000000021,-1.9000000000000021,2.0,3.509699999999995,-11.84705,1,Ohio,Georgetown
9.301999999999992,-4.2198999999999955,6.300000000000004,0.6000000000000014,2.799999999999997,-1.9000000000000021,1.9000000000000021,-2.0,-3.509699999999995,11.84705,0,Georgetown,Ohio
-12.203000000000003,-9.089000000000013,-4.900000000000006,-3.799999999999997,4.100000000000001,6.499999999999998,7.699999999999996,-0.3000000000000007,-1.0843999999999951,0.31417500000000004,1,Old Dominion,Notre Dame
12.203000000000003,9.089000000000013,4.900000000000006,3.799999999999997,-4.100000000000001,-6.499999999999998,-7.699999999999996,0.3000000000000007,1.0843999999999951,-0.31417500000000004,0,Notre Dame,Old Dominion
6.778000000000006,4.703800000000001,4.199999999999996,1.8999999999999986,0.20000000000000284,-6.699999999999999,7.799999999999997,-4.699999999999996,3.7978000000000023,-0.6831999999999998,1,Saint Mary's,Richmond
-6.778000000000006,-4.703800000000001,-4.199999999999996,-1.8999999999999986,-0.20000000000000284,6.699999999999999,-7.799999999999997,4.699999999999996,-3.7978000000000023,0.6831999999999998,0,Richmond,Saint Mary's
-1.9809999999999945,-3.8104999999999905,-1.1000000000000014,-1.6999999999999957,-1.9000000000000021,2.5,-6.600000000000001,0.3999999999999986,4.833500000000001,2.4544799999999998,1,Tennessee,San Diego St.
