Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
UC Santa Barbara,104.269,101.686,0.571603,53.5,48.1,19.3,19.5,28.4,27.2,65.4647,2022,-6.83787
Arkansas Pine Bluff,97.5916,119.803,0.0864217,46.6,55.5,19.5,18.7,24.8,36.3,67.4234,2022,-17.4315
Portland St.,95.7022,102.776,0.305757,47.1,52.7,17.0,23.4,26.1,31.8,70.616,2022,-12.7737
Indiana,107.677,91.6139,0.865051,50.6,46.2,17.2,17.6,27.0,25.1,67.2433,2022,0.21251
Louisiana,101.119,101.681,0.484069,48.6,46.9,22.0,18.4,33.6,27.6,69.6189,2022,0.0
Central Michigan,95.1479,109.131,0.171243,47.8,53.0,19.6,16.6,25.4,31.4,67.5648,2022,-16.0932
Brown,98.8212,103.592,0.367685,49.4,51.1,19.1,19.5,28.2,28.1,67.5479,2022,-9.94194
Wright St.,104.805,106.23,0.461263,51.7,51.4,17.7,18.5,31.0,30.1,68.7714,2022,-8.3964
UC Irvine,98.198,96.4508,0.551434,47.6,44.1,20.6,17.2,29.9,27.6,65.0536,2022,-4.82781
Montana,99.8797,106.301,0.328161,50.2,51.8,15.7,19.1,18.1,26.8,65.2673,2022,-9.91958
UAB,111.82,99.1175,0.800066,52.8,48.4,16.4,21.1,33.3,27.5,68.8924,2022,-0.106992
Tulane,110.783,99.3806,0.777149,51.2,49.6,15.0,20.3,20.1,32.8,67.9163,2022,-5.11709
FIU,96.7534,105.919,0.260978,49.9,50.2,20.1,18.5,27.0,29.8,66.6723,2022,-12.0062
BYU,108.403,97.8447,0.764667,51.8,47.7,18.4,15.0,30.6,22.5,67.8444,2022,0.327674
Illinois Chicago,99.745,109.096,0.262987,51.1,51.6,17.2,16.8,25.0,27.2,68.9304,2022,-11.6692
Xavier,110.903,97.1805,0.820389,50.9,48.3,16.7,18.1,29.3,26.1,68.566,2022,-1.06043
Charlotte,104.703,106.407,0.453703,52.9,52.6,17.2,16.9,22.7,25.6,65.4239,2022,-7.42268
Canisius,95.8896,105.106,0.258188,45.4,51.5,16.9,17.8,28.0,26.3,68.2637,2022,-14.9918
Wake Forest,110.736,94.9531,0.854254,55.6,47.3,19.2,17.6,26.7,26.2,70.3927,2022,1.44842
Florida Atlantic,104.501,101.215,0.590839,53.3,50.8,19.6,19.5,31.1,26.0,67.148,2022,-8.06381
Northeastern,97.0603,102.119,0.357941,50.1,51.7,21.2,15.7,26.3,23.7,64.6001,2022,-15.4294
Robert Morris,99.1104,112.525,0.1885,50.9,53.1,20.8,16.9,28.2,32.2,66.8715,2022,-18.7231
Seattle,98.7202,96.3051,0.570731,48.3,46.4,16.3,20.5,26.0,25.6,70.4061,2022,-3.62696
Villanova,117.165,92.987,0.934495,51.5,47.3,15.5,18.4,31.2,28.9,62.1958,2022,7.27418
Howard,99.2738,105.731,0.326358,50.4,49.4,20.7,23.5,28.0,34.5,70.3674,2022,-9.4814
Utah St.,109.168,96.4522,0.805987,54.2,49.7,18.3,18.3,26.0,22.9,66.702,2022,-4.71931
Marist,99.1703,103.76,0.372781,50.4,48.3,18.2,16.7,26.4,27.1,66.2486,2022,-11.5876
Toledo,109.239,101.77,0.69304,53.0,47.2,14.7,15.3,30.4,27.4,68.9011,2022,-1.56826
Denver,99.1306,110.751,0.218452,52.7,52.4,18.6,16.5,23.7,28.1,66.4864,2022,-16.2084
Cal St. Northridge,93.5271,110.177,0.131919,44.4,51.9,18.5,19.9,26.8,33.0,64.8631,2022,-17.3761
Maryland,108.704,99.3629,0.737552,49.4,50.2,16.8,16.1,27.2,27.6,66.7376,2022,-3.84961
Rice,103.864,110.16,0.336994,52.9,50.8,18.4,14.3,26.1,28.2,67.6115,2022,-9.61102
Abilene Christian,104.495,99.5115,0.636894,48.4,52.0,17.6,27.9,27.8,30.9,70.1794,2022,-4.13116
Rider,98.6408,102.94,0.379758,45.6,49.2,17.3,18.4,29.4,28.3,67.0353,2022,-13.3939
Boston College,103.911,98.757,0.642236,47.8,51.5,17.9,18.7,29.9,25.7,64.9791,2022,-8.29459
Arizona,118.035,93.7349,0.934068,55.6,44.4,18.3,17.4,34.7,28.6,72.257,2022,8.75395
Penn St.,104.009,96.4494,0.704287,50.5,48.3,18.6,13.8,28.6,24.1,61.8741,2022,-3.86665
Hawaii,100.27,101.018,0.478642,50.4,46.9,19.7,15.9,29.0,25.1,65.0653,2022,-7.07904
