Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
UC Santa Barbara,100.635,97.3842,0.593295,50.7,48.0,22.6,22.0,27.6,32.5,65.9365,2010,-4.00154
Arkansas Pine Bluff,91.8344,98.2178,0.315872,44.8,45.8,24.4,20.4,35.4,27.3,65.3604,2010,-7.9281
Portland St.,110.042,115.484,0.364687,54.6,55.2,18.8,18.5,32.6,37.6,65.9367,2010,-12.53
Indiana,102.373,102.57,0.494471,46.4,49.7,23.0,20.6,35.6,35.9,67.44,2010,-9.31571
Louisiana,99.3145,104.29,0.363043,50.2,48.4,19.2,21.7,30.2,35.5,65.5333,2010,0.0
Central Michigan,102.425,103.181,0.478859,48.0,47.9,22.1,23.4,35.5,32.5,63.0932,2010,-9.4742
Brown,100.708,111.716,0.23274,50.2,50.1,19.4,14.8,22.2,33.4,65.8531,2010,-14.0944
Wright St.,108.529,97.0756,0.782893,51.4,49.4,18.5,24.8,31.6,30.1,61.8228,2010,-3.92311
UC Irvine,100.838,110.787,0.253112,47.0,51.0,17.2,20.1,31.1,33.0,63.2032,2010,-13.5956
Montana,105.475,101.151,0.618093,54.2,47.6,19.1,19.5,30.2,29.6,61.5864,2010,-4.4873
UAB,104.743,92.0817,0.814809,47.1,45.1,20.3,21.4,35.7,28.2,64.0481,2010,-0.0164902
Tulane,95.7481,100.054,0.376149,44.9,49.9,20.8,23.3,29.6,36.0,64.8066,2010,-14.6706
FIU,98.3401,114.046,0.153948,46.2,56.0,19.3,21.3,30.7,34.9,67.5948,2010,-19.4629
BYU,117.662,94.5906,0.924837,54.9,46.6,15.9,22.0,30.8,28.1,70.3058,2010,4.08949
Illinois Chicago,97.173,103.893,0.316709,43.7,50.6,19.0,21.5,27.5,35.3,67.2313,2010,-14.5594
Xavier,116.619,95.8412,0.905213,52.2,45.6,18.0,17.8,35.2,29.9,68.329,2010,2.88553
Charlotte,108.056,101.226,0.679361,47.4,47.1,19.1,17.7,35.5,32.9,66.9063,2010,-2.32364
Canisius,100.536,103.823,0.408563,47.0,47.8,21.8,19.5,35.0,33.5,65.1547,2010,-11.3357
Wake Forest,107.575,93.6281,0.831582,47.0,43.8,21.1,19.1,38.8,33.7,68.5407,2010,1.04596
Florida Atlantic,102.43,107.789,0.357444,49.0,51.5,17.6,20.5,31.6,34.0,67.8417,2010,-10.9313
Northeastern,105.254,96.1866,0.738073,50.0,46.2,18.8,22.5,30.7,36.7,60.1151,2010,-4.15219
Robert Morris,100.344,101.39,0.47022,48.9,46.9,21.9,23.1,34.6,32.5,65.7253,2010,-6.35812
Seattle,99.4529,100.82,0.460836,48.5,51.4,22.1,23.6,36.6,28.4,78.3407,2010,-8.45443
Villanova,117.467,96.5986,0.904588,52.2,47.4,18.9,21.1,37.7,32.0,70.7961,2010,5.49247
Howard,88.2365,110.261,0.0715912,42.7,51.4,22.4,18.4,32.1,33.7,64.2557,2010,-20.8837
Utah St.,116.255,96.141,0.898865,55.1,46.1,16.3,17.6,33.4,27.0,60.2759,2010,-0.200674
Marist,90.1289,113.384,0.0666263,45.4,52.2,22.1,18.7,26.1,34.6,62.3975,2010,-23.8686
Toledo,89.7658,108.207,0.104455,46.0,51.3,23.3,16.7,27.2,32.9,60.438,2010,-21.5917
