Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
Miami OH,104.026,102.405,0.545038,48.6,51.1,18.7,16.7,30.0,25.3,66.08,2019,-8.49876
New Mexico,103.648,105.82,0.440653,49.5,51.6,19.4,18.3,29.3,28.6,72.4409,2019,-10.0708
Coppin St.,88.6155,109.991,0.0769103,45.5,50.2,23.3,16.7,26.0,28.9,70.3044,2019,-17.9798
Temple,110.27,98.7443,0.780674,49.9,50.6,15.7,20.6,26.9,29.2,68.6822,2019,1.96236
Monmouth,93.8127,103.22,0.249937,45.8,51.1,20.6,21.2,29.3,28.5,67.4781,2019,-15.1117
Southern,94.0099,110.861,0.130557,48.9,54.9,23.2,22.2,30.2,32.9,65.9175,2019,-18.9593
Southern Miss,107.818,102.176,0.6498,53.1,49.0,15.7,19.4,22.9,28.1,64.6275,2019,-5.52381
California,103.853,108.013,0.388969,48.6,56.9,16.5,20.5,23.3,31.4,66.349,2019,-13.348
Georgia St.,107.738,102.237,0.646287,53.7,50.3,16.4,21.0,23.0,33.8,69.7,2019,-1.09654
Miami FL,110.184,99.9429,0.75434,50.8,52.0,16.9,19.8,25.9,29.8,66.8178,2019,-4.99258
Georgia,105.763,101.266,0.622377,50.1,48.5,22.5,15.5,32.7,31.0,68.5704,2019,-7.4218
North Dakota,98.4507,105.585,0.309048,51.3,52.5,17.9,17.3,21.0,25.4,69.5474,2019,-12.5966
Princeton,99.0285,99.5725,0.484256,47.0,49.7,17.8,17.2,24.3,24.7,67.3565,2019,-5.4301
Saint Louis,102.326,96.7089,0.656844,46.7,46.9,19.3,19.4,36.0,25.1,66.3043,2019,-2.96283
Arizona St.,109.572,98.6855,0.769126,50.6,48.5,18.7,19.0,31.7,26.9,70.2841,2019,0.229208
Purdue Fort Wayne,107.608,108.128,0.486162,55.8,54.0,16.8,17.1,23.1,28.6,71.5597,2019,-9.34049
Iona,106.346,109.675,0.412299,53.0,52.3,17.3,18.5,25.1,30.7,70.5267,2019,-10.1941
Stetson,97.0576,113.585,0.14084,45.5,54.5,17.5,18.0,27.9,32.0,69.1925,2019,-17.5669
