Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
UC Santa Barbara,102.683,100.702,0.555772,51.6,47.3,21.9,20.0,28.2,31.9,64.3001,2011,-6.67969
Arkansas Pine Bluff,89.0072,112.618,0.0626325,44.9,52.4,24.2,22.3,26.9,31.5,66.1861,2011,-18.4672
Portland St.,103.6,113.962,0.250441,49.9,53.4,18.2,19.3,29.5,35.7,66.8046,2011,-11.8558
Indiana,109.65,101.049,0.718989,51.6,49.6,19.8,19.7,32.6,30.9,64.9648,2011,-6.35377
Louisiana,99.0368,104.025,0.362373,47.9,48.7,21.8,20.4,35.4,31.7,67.8032,2011,0.0
Central Michigan,92.1828,101.43,0.249871,43.2,50.4,21.0,22.4,32.3,30.1,62.9479,2011,-15.5603
Brown,103.688,108.878,0.363179,50.6,50.9,17.4,15.4,22.3,28.4,67.8883,2011,-12.3938
Columbia,101.372,104.334,0.417952,47.6,50.7,18.3,18.5,34.2,27.1,66.8395,2011,-8.17795
UC Irvine,102.355,107.087,0.372911,48.1,49.7,17.5,19.4,25.7,30.8,69.9473,2011,-13.1117
Montana,101.279,97.04,0.620494,50.2,44.7,19.2,20.1,31.0,31.7,62.3441,2011,-4.77638
UAB,108.384,96.7078,0.787651,50.8,45.9,19.3,19.2,33.4,30.6,61.6705,2011,-0.0692343
Tulane,101.827,105.016,0.412272,49.1,52.0,19.2,23.0,30.5,31.8,64.3218,2011,-10.4924
FIU,101.488,111.72,0.248884,48.5,51.4,21.0,21.2,32.0,37.4,67.882,2011,-14.7907
BYU,117.187,95.2339,0.915716,51.6,46.7,15.2,20.2,30.8,28.5,70.022,2011,7.24233
Illinois Chicago,96.4748,103.995,0.296671,46.4,50.6,24.3,17.9,35.8,31.5,64.1553,2011,-15.6008
Xavier,111.977,97.2823,0.834488,51.2,46.5,18.2,18.9,32.4,27.7,64.4611,2011,2.40337
Charlotte,100.753,104.852,0.387327,47.6,49.0,21.8,17.1,31.5,31.1,64.1984,2011,-11.9142
Canisius,102.871,105.007,0.44117,49.1,46.6,20.5,20.2,34.1,35.7,64.9112,2011,-9.81507
Wake Forest,100.122,107.424,0.307987,47.6,51.2,21.8,17.4,26.3,35.4,69.0537,2011,-12.9563
Florida Atlantic,102.939,104.88,0.446504,48.6,48.2,17.4,19.3,32.3,35.6,62.5909,2011,-4.77758
Northeastern,109.267,110.235,0.474657,50.7,53.5,19.8,19.8,30.2,35.8,62.5636,2011,-12.1478
Robert Morris,102.914,101.201,0.548099,48.0,48.3,19.9,22.9,34.4,32.7,63.2588,2011,-6.95643
Seattle,94.0651,101.425,0.296024,44.6,51.1,23.4,23.6,35.7,32.5,72.4402,2011,-14.4771
Villanova,114.798,97.7569,0.863885,49.5,46.3,18.0,18.2,35.8,30.2,64.9133,2011,1.36279
Howard,88.7532,111.264,0.0691658,42.4,51.8,24.0,20.9,35.2,34.9,64.635,2011,-20.2455
Utah St.,110.623,91.8857,0.894179,52.2,43.4,18.4,18.8,34.0,26.0,61.8866,2011,3.82997
