Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
UC Santa Barbara,108.474,107.964,0.513531,54.6,48.9,18.2,17.2,27.5,29.2,65.5189,2025,-8.07099
Arkansas Pine Bluff,95.3134,121.795,0.0562847,50.3,56.3,20.4,16.8,26.3,34.6,71.8328,2025,-20.0093
Toledo,111.178,118.792,0.318248,50.5,56.4,13.7,15.5,29.8,30.9,68.5849,2025,-8.82403
Indiana,113.073,97.6642,0.843536,51.1,49.8,16.7,16.4,31.5,28.1,68.2795,2025,0.949854
Louisiana,97.9869,109.669,0.214962,45.7,51.3,16.0,19.1,25.9,35.5,66.493,2025,-15.6298
Central Michigan,105.013,109.519,0.381506,49.8,53.1,17.6,18.2,32.1,29.1,67.4685,2025,-11.3684
Brown,102.535,105.601,0.416115,51.1,49.3,17.1,15.7,30.1,30.7,66.0626,2025,-8.5992
Wright St.,109.243,113.355,0.395353,56.3,53.2,17.8,14.2,28.0,27.9,67.6215,2025,-13.4335
UC Irvine,105.763,97.35,0.721767,51.7,45.8,18.0,17.2,27.9,26.5,69.1857,2025,0.123629
Montana,111.89,109.039,0.57367,56.0,52.5,16.1,15.5,22.5,29.0,67.3104,2025,-2.99621
UAB,116.45,108.926,0.683114,50.2,51.2,13.8,15.2,37.7,30.3,69.4662,2025,-6.07654
Tulane,107.921,106.477,0.538634,51.7,49.0,16.0,17.5,26.8,32.1,67.1204,2025,-8.58533
FIU,96.0408,104.116,0.283246,46.1,51.6,19.5,20.6,31.0,29.6,68.7504,2025,-17.4055
BYU,126.796,100.218,0.937329,57.0,51.4,17.4,16.9,33.7,26.4,67.5785,2025,4.82007
Illinois Chicago,105.66,107.857,0.441103,51.1,51.6,17.5,15.8,30.0,27.9,69.3004,2025,-7.96373
Xavier,116.822,98.9511,0.870934,54.1,51.0,15.6,17.6,24.4,25.5,69.159,2025,0.415413
Charlotte,104.503,112.679,0.296025,48.3,54.2,15.1,14.6,25.4,29.2,65.041,2025,-16.3566
Canisius,99.3936,121.203,0.0926799,51.2,56.9,18.5,16.4,18.3,34.3,66.4492,2025,-23.16
Wake Forest,107.73,97.4156,0.760848,49.4,47.2,16.7,19.7,26.8,31.5,67.4234,2025,0.624072
Florida Atlantic,112.455,107.658,0.622772,53.4,50.1,16.3,16.0,30.7,31.5,69.1917,2025,-7.75343
Northeastern,104.131,106.846,0.426512,51.1,50.3,18.6,18.2,31.4,31.4,67.7313,2025,-11.0218
Robert Morris,106.736,104.598,0.557914,51.2,50.7,18.2,18.7,35.2,28.1,68.2225,2025,-4.0058
Seattle,103.005,101.287,0.548207,46.5,51.2,17.0,20.9,29.9,27.0,66.2128,2025,-12.0941
Villanova,119.031,102.897,0.842243,54.5,51.1,15.3,15.8,30.3,27.7,63.4518,2025,-2.88548
Howard,103.084,115.644,0.210462,53.5,52.3,21.2,16.5,29.0,33.8,69.9044,2025,-15.587
Utah St.,121.276,105.421,0.833577,55.3,51.9,16.0,20.1,34.7,30.3,67.7266,2025,2.2507
Marist,96.8422,106.582,0.249353,49.9,46.9,18.4,16.4,30.6,25.6,64.2514,2025,-7.96333
Portland St.,100.838,103.076,0.437206,50.5,50.0,18.4,19.6,33.4,30.4,68.4678,2025,-9.25083
Denver,100.208,108.652,0.282867,50.3,54.3,18.5,17.6,26.1,29.1,66.7022,2025,-15.8614
Cal St. Northridge,107.517,105.628,0.550793,51.7,50.1,18.8,20.2,35.2,24.3,72.421,2025,-4.9894
Maryland,118.622,92.0918,0.948403,53.6,47.1,14.3,20.1,30.7,28.2,69.7054,2025,5.16179
Rice,106.445,108.003,0.458316,48.6,47.8,17.8,14.0,33.7,29.6,65.6703,2025,-14.0368
Abilene Christian,98.2628,101.294,0.413519,46.7,51.4,20.7,24.0,30.0,31.5,69.4205,2025,-10.4264
Rider,102.125,115.055,0.202474,47.7,53.1,17.2,16.0,32.2,30.7,65.0911,2025,-14.5798
