Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB,Season
Clemson,110.452,91.7979,0.893537,50.3,45.6,20.1,23.2,34.2,32.5,63.4014,0.51484,2011
UAB,108.384,96.7078,0.787651,50.8,45.9,19.3,19.2,33.4,30.6,61.6705,-0.0692343,2011
UNC Asheville,99.813,100.077,0.492396,48.9,47.9,21.2,24.0,31.4,36.0,68.0015,-7.9984,2011
Little Rock,100.895,105.816,0.366424,47.8,50.4,18.0,20.8,29.0,31.5,63.9235,-10.9046,2011
UTSA,102.899,105.695,0.42353,49.0,49.1,19.7,19.9,29.9,33.4,66.5051,-9.07743,2011
Alabama St.,92.6486,106.713,0.164471,44.2,46.7,23.4,23.3,35.9,33.3,63.5312,-12.8919,2011
VCU,112.63,99.8674,0.799476,51.1,49.2,17.1,22.1,30.9,36.4,65.1161,-1.92985,2011
USC,107.874,93.629,0.835986,49.9,46.2,17.8,18.4,29.9,28.5,61.8073,-1.71414,2011
Butler,112.201,95.9661,0.857831,49.8,48.1,16.9,18.9,33.2,28.1,63.2687,-0.376352,2011
Old Dominion,109.934,96.35,0.820056,48.5,47.3,20.6,19.0,45.4,28.2,60.1913,2.3607,2011
BYU,117.187,95.2339,0.915716,51.6,46.7,15.2,20.2,30.8,28.5,70.022,7.24233,2011
Wofford,112.329,103.44,0.720728,53.0,49.8,18.0,20.2,34.1,32.4,63.3184,-4.52493,2011
Cincinnati,111.438,92.6434,0.893228,49.4,45.8,17.9,22.0,38.2,31.0,62.704,3.22466,2011
Missouri,113.716,98.2894,0.842447,51.5,49.3,17.0,24.6,33.4,36.9,70.4168,1.31734,2011
Connecticut,115.783,93.618,0.920102,48.2,44.5,17.1,17.4,38.7,34.1,64.1884,6.76529,2011
Bucknell,104.282,98.0602,0.66984,50.9,45.4,16.9,17.7,25.2,29.0,64.5542,-2.10574,2011
Florida,116.421,95.3957,0.908095,52.1,47.2,18.7,19.1,37.2,30.0,62.4251,5.23493,2011
UC Santa Barbara,102.683,100.702,0.555772,51.6,47.3,21.9,20.0,28.2,31.9,64.3001,-6.67969,2011
Gonzaga,111.723,94.4179,0.873836,52.5,47.2,19.8,20.8,35.7,28.2,66.6493,0.355287,2011
St. John's,112.195,94.9457,0.872105,49.5,50.8,18.5,24.1,32.5,33.1,65.5159,3.0779,2011
Kansas St.,112.583,93.1194,0.898691,49.6,47.3,21.3,22.2,40.9,30.9,66.8158,1.98456,2011
