Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB,Season
Indiana,107.677,91.6139,0.865051,50.6,46.2,17.2,17.6,27.0,25.1,67.2433,0.21251,2022
Wyoming,107.856,97.286,0.766054,52.3,47.1,17.1,15.7,25.5,24.6,65.7724,1.92806,2022
Texas Southern,96.2797,98.4739,0.435574,48.2,45.3,21.4,17.3,33.0,28.0,68.0541,-6.77429,2022
Texas A&M Corpus Chris,96.3948,102.834,0.322207,47.2,49.0,19.7,22.6,34.0,28.8,69.2307,-7.62101,2022
Notre Dame,112.781,96.7095,0.854199,54.0,49.0,15.6,15.1,22.1,24.7,65.4004,1.85084,2022
Rutgers,106.596,96.3088,0.762622,49.9,48.6,17.3,17.8,29.6,27.0,64.9855,-0.712583,2022
Wright St.,104.805,106.23,0.461263,51.7,51.4,17.7,18.5,31.0,30.1,68.7714,-8.3964,2022
Bryant,102.865,104.129,0.464954,49.6,47.6,19.0,16.6,32.8,31.7,72.2784,-4.79137,2022
Arkansas,108.699,90.6872,0.88928,48.6,47.5,16.9,20.5,29.6,25.3,70.6264,4.45965,2022
Vermont,109.678,97.3256,0.798041,57.1,47.7,14.7,16.8,23.7,18.7,64.8321,-0.775562,2022
Baylor,117.782,91.3259,0.949099,52.8,47.8,17.9,22.9,36.3,28.8,67.5553,8.9014,2022
Norfolk St.,100.708,102.944,0.437183,50.9,45.8,20.1,18.4,30.1,27.8,66.9253,-3.05531,2022
Creighton,104.814,92.1386,0.814914,50.6,44.9,20.4,15.5,28.4,28.5,66.9876,1.70751,2022
San Diego St.,102.349,86.9216,0.86749,48.7,44.1,19.3,21.9,29.5,27.3,65.3007,2.61171,2022
Gonzaga,120.307,89.8865,0.966178,58.7,43.1,15.7,16.3,29.1,23.4,72.644,6.70809,2022
Georgia St.,101.906,98.4171,0.598838,44.7,50.0,16.6,22.1,32.5,31.0,67.2848,-5.13991,2022
Kansas,119.791,91.2702,0.957996,53.8,45.8,17.3,18.1,32.9,28.6,69.113,10.4025,2022
Memphis,112.447,92.6257,0.902914,52.3,46.6,22.5,20.4,37.4,30.9,70.0336,1.35396,2022
Boise St.,107.585,92.9312,0.843414,50.7,48.3,18.4,20.2,30.6,22.4,64.5196,3.49479,2022
Michigan,113.887,96.2367,0.873968,52.1,49.7,17.3,14.7,31.0,24.0,66.4264,0.152852,2022
Colorado St.,111.854,98.0952,0.818983,54.8,50.1,15.2,18.5,21.9,25.0,65.562,4.29791,2022
Murray St.,110.043,96.2125,0.824132,52.6,48.1,17.1,20.4,35.3,25.7,66.0388,3.50999,2022
San Francisco,110.173,93.0362,0.874821,53.1,47.1,17.9,18.4,30.0,24.0,68.9535,1.63181,2022
New Mexico St.,105.997,96.0152,0.757206,51.9,45.2,20.8,16.8,32.6,25.7,66.1257,0.700122,2022
Connecticut,113.191,95.8916,0.870722,49.6,46.0,17.3,18.0,37.9,27.6,65.0319,3.06962,2022
North Carolina,114.429,93.4515,0.911242,51.5,48.6,16.4,13.6,31.9,21.6,70.0713,4.25382,2022
Marquette,107.7,96.5504,0.778475,52.1,47.0,17.2,18.9,22.5,31.6,71.1812,0.542674,2022
Providence,111.428,95.4844,0.855176,50.0,46.3,17.0,15.6,30.3,27.4,65.3324,5.86528,2022
South Dakota St.,114.068,103.479,0.754077,59.2,51.4,15.3,15.8,23.7,24.3,69.5962,1.48353,2022
Richmond,106.947,99.0559,0.707133,51.1,50.5,14.3,18.8,22.4,27.5,66.6889,-1.64648,2022
Iowa,121.113,97.2058,0.926134,53.3,49.7,13.0,19.2,32.3,30.0,69.7859,4.52146,2022
Saint Mary's,109.79,90.4832,0.902395,52.7,48.3,17.0,19.2,27.4,21.7,63.6631,3.93254,2022
Saint Peter's,99.3868,93.1362,0.678524,47.5,44.2,20.1,20.5,30.9,29.0,65.5743,-5.57007,2022
Kentucky,119.371,95.4032,0.929397,53.1,46.9,16.7,17.5,37.7,24.9,67.7722,6.86457,2022
Tennessee,111.251,87.087,0.943542,50.7,46.4,17.7,22.9,32.4,27.2,67.3409,7.94635,2022
Longwood,104.968,104.498,0.512883,50.9,52.1,18.8,20.4,32.7,25.5,66.3058,-3.2578,2022
UCLA,115.834,92.2476,0.932034,50.6,47.6,13.2,19.4,31.3,25.3,65.367,5.04827,2022
Akron,105.469,101.666,0.604065,52.5,49.1,17.7,17.5,29.0,26.4,61.9468,-4.27094,2022
Arizona,118.035,93.7349,0.934068,55.6,44.4,18.3,17.4,34.7,28.6,72.257,8.75395,2022
Auburn,111.671,90.0116,0.922703,49.9,44.1,16.7,20.0,33.7,28.9,69.99,7.41034,2022
Jacksonville St.,104.515,102.206,0.563872,53.6,48.1,19.7,17.1,28.2,27.0,65.1047,-5.22078,2022
Duke,122.718,95.988,0.944019,55.6,47.1,15.0,15.7,31.7,28.9,67.4198,7.182,2022
Cal St. Fullerton,101.955,103.12,0.467396,48.9,51.1,17.9,20.2,29.1,28.2,66.0165,-5.04757,2022
