Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB,Season
Pittsburgh,117.683,94.7318,0.923782,50.7,46.7,16.3,19.2,37.2,29.0,61.8098,4.17011,2014
Colorado,107.393,96.7247,0.769092,48.3,49.4,19.7,17.8,34.0,26.1,64.9465,2.44782,2014
San Diego St.,110.004,91.339,0.894572,46.7,44.4,15.2,20.6,36.1,29.4,62.0093,6.06186,2014
New Mexico St.,112.332,102.555,0.74023,53.2,44.4,18.7,16.1,37.7,33.0,65.1462,-2.20995,2014
Saint Louis,105.511,91.0891,0.844261,49.6,44.4,18.6,21.0,28.8,29.0,65.4848,3.90248,2014
Syracuse,114.737,93.5295,0.912948,48.2,48.0,14.8,21.9,38.1,31.5,59.5362,7.8965,2014
Western Michigan,105.95,103.275,0.572992,52.0,47.6,20.9,18.5,31.0,32.0,65.061,-2.76993,2014
Texas,112.927,97.4015,0.845643,47.4,46.5,17.5,16.3,39.6,30.2,66.6803,3.65212,2014
Arizona St.,110.861,97.1336,0.820559,52.4,46.3,16.3,17.0,24.5,30.2,67.2988,1.21374,2014
Villanova,115.678,93.1102,0.923851,53.6,46.3,17.3,20.0,32.6,28.7,65.5644,8.3635,2014
Milwaukee,104.929,104.483,0.51225,49.1,49.1,19.9,18.5,28.6,31.2,65.7925,-5.94966,2014
Wisconsin,123.203,96.6545,0.942184,53.3,47.2,12.7,15.3,28.1,27.4,61.9619,7.95911,2014
American,102.472,98.2279,0.619279,55.8,46.4,23.1,19.6,26.5,29.7,59.4321,-5.33751,2014
Arizona,116.732,88.065,0.962341,51.7,42.3,15.7,19.1,36.4,27.3,62.3441,9.47638,2014
Weber St.,106.751,107.238,0.486911,54.1,47.8,19.0,13.8,28.4,28.7,62.3416,-6.80716,2014
Baylor,119.728,100.203,0.885673,51.3,48.7,17.8,15.8,40.1,32.0,60.9389,3.12976,2014
Nebraska,108.784,95.7502,0.812706,48.3,47.6,16.7,19.0,25.7,29.0,64.478,1.28851,2014
Creighton,125.686,102.617,0.911494,58.9,48.5,15.0,14.8,27.7,27.8,63.4282,5.65512,2014
Louisiana,111.9,105.57,0.661444,51.5,50.4,18.8,18.5,36.5,31.8,68.0291,-3.65905,2014
Gonzaga,114.245,93.9565,0.904512,55.2,44.6,17.4,17.4,30.6,29.5,64.5226,4.04544,2014
Oklahoma St.,116.154,95.5377,0.904398,52.4,46.3,14.7,20.0,28.0,32.0,67.2603,1.38293,2014
Iowa St.,119.128,99.5478,0.887446,54.2,47.7,14.5,15.9,28.8,28.5,69.6616,7.49524,2014
North Carolina Central,108.62,100.711,0.704632,50.2,44.4,17.2,23.7,35.4,33.1,62.1084,-0.500776,2014
Kansas,119.657,96.2845,0.924086,54.2,47.1,19.1,16.4,37.3,28.8,66.1744,6.92131,2014
Eastern Kentucky,112.592,108.538,0.60391,56.7,55.7,15.8,24.2,23.0,34.0,64.0292,-3.19437,2014
Kentucky,117.704,96.9209,0.903282,49.9,46.0,18.1,16.1,42.0,29.7,63.9248,3.95596,2014
Kansas St.,108.382,93.6403,0.843076,48.7,45.3,18.5,19.0,34.7,33.2,62.8283,0.555065,2014
Memphis,113.094,97.6314,0.844327,51.9,48.4,18.6,20.3,35.8,33.3,67.495,2.84305,2014
George Washington,110.751,97.562,0.811253,51.5,47.2,19.0,19.6,35.1,31.4,65.1573,3.24673,2014
Mercer,110.253,102.441,0.69954,54.0,46.8,17.5,19.0,32.0,31.1,63.2149,-2.64385,2014
Duke,126.416,99.354,0.941046,53.8,49.3,14.6,18.5,35.2,31.3,64.728,6.51489,2014
North Carolina,113.897,95.3863,0.884898,49.9,47.0,16.9,19.3,38.1,31.3,68.8607,4.27175,2014
Providence,115.435,101.172,0.820049,48.3,48.9,17.3,16.4,35.3,30.8,62.873,1.2755,2014
Stephen F. Austin,112.675,102.213,0.754125,52.3,50.5,16.9,23.6,38.2,28.9,61.4322,1.83243,2014
VCU,108.84,90.4897,0.893156,47.9,47.8,17.2,25.6,34.9,30.8,68.8451,3.69986,2014
Stanford,112.233,97.2387,0.838784,51.3,48.0,17.0,17.0,29.3,28.1,65.2451,1.15821,2014
New Mexico,113.408,96.3115,0.867516,51.1,45.0,15.9,14.9,32.5,28.2,64.1865,4.54313,2014
Massachusetts,109.551,97.5321,0.791892,50.4,46.6,18.8,18.7,34.3,31.7,69.8237,3.65944,2014
UCLA,119.553,97.3301,0.914121,54.1,49.9,14.5,20.3,29.8,28.6,68.2162,4.57451,2014
Tulsa,106.221,96.452,0.752033,49.2,46.4,16.7,20.3,30.2,29.6,66.3928,-3.44991,2014
Virginia,115.158,90.2415,0.942884,50.8,44.2,16.5,18.4,33.9,25.8,59.2456,8.23318,2014
Coastal Carolina,98.8749,102.491,0.398188,48.0,47.5,20.2,18.3,34.2,29.3,65.4996,-7.54742,2014
Wichita St.,117.008,93.5864,0.928816,52.4,44.7,16.2,18.2,35.0,26.2,63.1426,8.23286,2014
