Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB,Season
Albany,103.516,103.686,0.495289,48.8,48.3,19.7,18.3,31.9,28.4,61.2007,-8.52477,2014
Mount St. Mary's,107.788,111.603,0.401312,51.5,53.5,16.7,18.8,27.8,33.0,67.9393,-9.35765,2014
N.C. State,115.419,102.147,0.802944,50.0,47.5,15.8,17.4,34.1,35.6,64.5327,0.664144,2014
Xavier,112.563,100.213,0.791902,51.7,49.4,18.7,16.9,34.1,28.7,63.9985,1.46244,2014
Cal Poly,102.644,104.974,0.435808,46.0,49.3,14.7,18.1,30.9,33.2,58.3629,-10.5993,2014
Texas Southern,106.856,113.33,0.337046,51.7,50.2,19.3,15.8,33.6,31.2,65.6128,-9.64139,2014
Tennessee,118.7,94.0308,0.935787,49.8,46.5,16.8,16.9,39.7,27.5,61.1076,0.408751,2014
Iowa,121.694,99.9485,0.905839,51.1,47.4,15.9,18.8,37.6,29.0,68.9122,1.19962,2014
Connecticut,113.046,91.9989,0.914448,51.5,44.6,17.3,19.6,30.4,32.8,62.7934,4.79995,2014
Saint Joseph's,114.365,98.2329,0.851775,53.9,47.8,18.7,15.3,29.5,27.8,63.933,2.22441,2014
Dayton,113.515,99.7395,0.815743,52.4,48.8,18.1,18.8,33.9,28.8,63.3786,0.70155,2014
Ohio St.,108.905,89.2239,0.908234,50.3,45.2,17.2,21.9,29.6,29.6,63.377,4.50923,2014
Florida,116.401,89.0609,0.956007,52.2,45.4,17.5,21.3,35.3,28.0,61.0854,11.7697,2014
Harvard,112.56,95.8616,0.863734,52.1,46.2,17.6,21.1,32.3,29.3,63.5542,2.3741,2014
Cincinnati,109.203,92.1544,0.875664,47.7,44.8,17.4,22.4,39.1,32.3,61.4618,5.35922,2014
Louisville,119.365,88.2207,0.970026,53.5,43.9,15.3,25.0,37.1,32.7,66.8044,5.38499,2014
Manhattan,106.877,97.0588,0.751781,50.7,45.4,19.7,21.7,34.4,33.3,67.5821,-0.377266,2014
Michigan,125.521,100.627,0.927042,55.7,49.4,14.8,17.1,29.4,30.5,60.5779,7.74294,2014
Wofford,100.351,102.814,0.430752,48.8,49.5,16.4,19.7,30.9,29.0,60.1345,-6.43241,2014
Michigan St.,120.115,95.9532,0.929744,54.5,45.8,17.4,17.7,32.9,27.5,64.2548,6.9501,2014
Delaware,111.42,106.631,0.623699,50.4,49.4,13.4,16.8,29.1,32.8,70.4086,-1.21581,2014
North Dakota St.,114.628,103.624,0.761446,54.5,49.8,15.6,17.1,30.6,27.9,62.0456,0.321368,2014
Oklahoma,118.721,100.169,0.875888,51.7,49.7,15.7,17.8,32.4,30.4,69.6278,4.10366,2014
Oregon,118.66,100.67,0.868841,53.5,49.1,16.1,18.9,32.2,31.9,67.2991,2.66501,2014
BYU,114.36,101.097,0.804976,50.6,49.1,15.3,16.6,34.9,28.6,70.9685,0.645459,2014
