Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB,Season
Utah St.,104.324,90.3578,0.839272,49.8,45.6,20.1,19.5,35.3,21.4,68.7413,-1.13157,2021
Villanova,118.462,96.8015,0.910698,53.2,51.0,13.7,18.4,27.7,25.7,64.1365,3.06474,2021
Winthrop,104.661,97.0938,0.703293,52.6,49.1,19.3,22.0,35.3,22.1,73.3325,0.990974,2021
West Virginia,116.149,96.4833,0.894094,48.9,51.0,16.8,21.0,35.9,31.1,69.2055,3.02015,2021
Morehead St.,100.13,97.9925,0.561708,52.2,47.4,23.1,17.7,31.5,25.2,65.2326,-1.92539,2021
Wisconsin,112.512,91.3479,0.916554,49.9,47.9,13.6,17.3,23.9,25.2,64.5983,2.06071,2021
North Carolina,109.067,93.0378,0.861525,48.3,49.1,20.4,19.0,40.9,26.4,71.587,2.44104,2021
Abilene Christian,100.538,93.6594,0.693177,51.2,46.0,19.2,26.5,30.6,27.9,69.2719,-1.06077,2021
Texas,112.673,93.1138,0.899593,52.9,46.0,20.7,17.8,31.1,27.5,68.6542,4.15803,2021
Alabama,111.947,89.6721,0.927674,51.7,45.8,18.6,20.5,32.2,29.2,73.3149,6.88226,2021
Iona,100.872,98.9521,0.555024,50.7,46.0,22.5,19.7,32.6,26.9,67.8054,-3.19033,2021
Colorado,115.689,92.496,0.929107,52.4,47.9,17.1,19.8,30.8,25.5,66.0712,4.86527,2021
Georgetown,108.671,94.7086,0.829413,49.4,48.9,21.5,16.2,32.2,26.9,69.6053,-1.09642,2021
Creighton,112.587,93.63,0.892866,55.0,47.0,15.7,17.9,24.6,28.3,68.6286,3.2547,2021
UC Santa Barbara,108.387,97.5121,0.77134,52.6,47.8,16.4,20.5,28.2,24.3,65.3456,0.123402,2021
Florida St.,115.21,93.0454,0.921083,54.0,46.1,20.4,19.5,34.4,31.7,69.6441,2.38519,2021
UNC Greensboro,101.915,97.5464,0.623365,47.9,48.2,15.6,21.1,32.1,25.7,67.9422,-3.36191,2021
Gonzaga,125.912,90.9397,0.976841,61.0,47.7,16.1,19.3,30.1,23.8,73.5317,8.50059,2021
Iowa,123.428,97.1894,0.939826,54.7,48.8,13.3,16.1,30.9,29.1,69.8237,5.48832,2021
Grand Canyon,104.403,97.1491,0.695958,52.5,45.5,20.0,16.2,33.6,23.2,64.871,-2.87444,2021
Kansas,108.751,91.5795,0.87829,49.4,48.0,17.1,20.0,30.5,26.8,68.1063,4.33764,2021
Eastern Washington,109.477,101.149,0.712971,54.2,48.0,16.6,16.1,23.6,25.6,72.0005,-3.12345,2021
LSU,119.793,99.5261,0.893923,52.3,48.5,15.6,17.9,31.4,32.1,70.3404,2.25985,2021
St. Bonaventure,109.762,93.253,0.866975,49.8,45.5,16.4,19.2,32.8,29.0,64.3888,1.88761,2021
Maryland,111.89,94.8656,0.869681,53.2,48.7,16.7,16.8,20.6,26.5,64.7861,0.0610263,2021
Connecticut,114.089,93.5043,0.907896,49.0,46.7,17.5,19.6,37.4,29.5,65.1799,2.03601,2021
Michigan,116.558,90.6013,0.947704,54.7,44.4,16.6,14.8,29.6,24.7,66.5686,7.06352,2021
Ohio,110.545,99.6162,0.768019,54.7,50.8,17.1,19.2,28.6,26.6,69.127,-1.99127,2021
Virginia,113.724,94.4908,0.893841,55.4,48.0,15.0,15.2,22.7,22.6,59.7051,3.52176,2021
Oklahoma,111.727,95.7621,0.854859,50.8,49.1,15.7,18.5,27.0,27.7,67.0835,0.299118,2021
Missouri,111.156,95.5617,0.850481,50.8,48.5,18.7,18.0,28.5,28.8,68.2659,2.08216,2021
BYU,112.949,93.984,0.892237,54.9,46.9,19.0,15.7,28.7,23.4,67.8031,3.55014,2021
USC,114.305,90.5091,0.936096,52.7,44.9,18.0,16.9,35.0,28.3,66.8426,5.54184,2021
Oregon,115.897,97.4647,0.879951,54.3,50.8,16.7,20.2,29.0,27.7,67.1321,4.75372,2021
