Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB,Season
Colorado St.,112.788,96.8467,0.852258,54.2,48.5,15.4,16.6,24.6,26.9,66.0492,1.10357,2024
Virginia,104.096,92.335,0.798785,48.6,46.6,13.0,19.4,25.6,28.1,60.159,1.55433,2024
Wagner,96.2072,105.251,0.262472,45.1,48.8,15.7,16.8,28.8,27.7,61.4662,-11.6482,2024
Howard,104.681,113.641,0.279989,51.7,51.1,21.2,16.6,33.3,30.3,67.8774,-12.1792,2024
Colorado,118.302,98.6214,0.890167,55.4,49.7,18.1,15.2,32.0,24.7,67.6925,1.67673,2024
Boise St.,113.674,97.7795,0.849688,51.0,49.8,16.4,16.9,32.9,23.1,66.4829,0.657174,2024
Grambling St.,98.9375,106.414,0.301996,48.1,49.7,20.0,18.8,27.9,32.8,64.8354,-8.05367,2024
Montana St.,103.586,107.106,0.405109,54.2,52.3,16.7,18.5,20.5,28.9,68.5956,-12.785,2024
Arizona,120.508,93.2661,0.950121,54.5,48.4,16.0,18.0,35.6,23.3,72.3105,4.85262,2024
Long Beach St.,105.121,107.665,0.431685,48.5,51.1,17.1,18.3,33.2,29.4,71.5616,-8.2679,2024
Creighton,121.678,97.0567,0.930859,57.3,46.3,15.4,11.0,26.1,24.9,66.7295,4.3946,2024
Akron,105.169,101.966,0.587988,51.7,49.1,16.9,16.7,29.2,25.6,65.7816,-4.64197,2024
Dayton,116.74,100.601,0.846961,56.2,48.3,16.0,15.9,26.4,28.6,64.1867,2.32101,2024
Nevada,115.013,98.0993,0.861671,53.2,48.4,15.2,17.4,27.3,26.9,66.863,2.45644,2024
Duquesne,107.013,97.0424,0.754858,50.0,48.5,17.4,19.2,29.8,30.3,66.1493,-2.10151,2024
BYU,119.836,99.9426,0.889688,54.8,48.2,15.3,16.0,32.8,24.6,69.0824,2.30561,2024
Gonzaga,123.551,99.0677,0.926883,57.0,47.3,14.0,16.1,33.2,27.7,68.8258,2.38911,2024
McNeese St.,110.983,101.633,0.733444,54.2,48.3,14.0,22.9,31.9,30.6,65.5375,0.566823,2024
Illinois,125.702,101.071,0.924701,53.6,48.0,15.0,12.3,35.6,26.3,69.7,5.5562,2024
Morehead St.,107.472,103.867,0.596845,54.2,46.4,18.2,15.4,31.9,26.5,64.3196,-3.45338,2024
Iowa St.,113.612,87.669,0.951709,52.0,47.4,15.4,25.3,31.1,29.4,67.3506,6.27418,2024
South Dakota St.,108.249,105.194,0.581548,55.2,51.3,16.6,16.4,24.4,25.1,67.93,-7.64642,2024
Kansas,113.745,94.221,0.897125,53.5,48.3,16.5,16.5,25.7,26.5,69.0074,3.7714,2024
Samford,112.515,103.137,0.731222,56.8,50.5,17.8,21.7,30.1,31.9,72.8286,0.0251096,2024
Michigan St.,113.329,93.484,0.901479,51.6,48.0,15.0,18.5,29.8,28.5,65.3619,-0.190571,2024
Mississippi St.,112.262,95.5055,0.865174,51.4,48.0,18.9,18.4,35.4,27.9,67.1483,0.589185,2024
N.C. State,114.23,99.108,0.836584,50.7,49.5,13.8,17.5,28.2,29.1,67.7341,-0.424358,2024
Texas Tech,116.887,99.3146,0.866868,52.6,49.2,16.5,17.0,30.2,30.3,66.541,2.78113,2024
North Carolina,119.191,94.2737,0.936851,51.5,46.7,14.1,14.8,33.0,23.7,70.4932,6.98817,2024
Oakland,108.862,104.588,0.613171,51.9,50.6,15.9,16.2,30.4,28.8,66.5921,-4.25321,2024
Kentucky,122.728,102.658,0.886297,57.2,49.6,14.2,15.9,28.9,30.3,72.5118,2.78866,2024
Oregon,114.202,99.6751,0.827007,51.9,51.5,14.7,17.8,28.6,27.3,67.1756,1.34343,2024
South Carolina,114.98,100.114,0.830922,50.9,48.4,15.5,14.9,32.8,27.9,63.2227,4.72694,2024
Tennessee,115.913,90.4424,0.945495,51.1,45.3,14.5,18.5,32.2,28.2,69.1943,5.60147,2024
Saint Peter's,96.9675,101.172,0.380329,44.6,47.1,19.2,20.4,34.5,29.9,64.0598,-8.88975,2024
Texas,116.622,96.5264,0.897975,53.0,48.1,16.9,18.8,29.9,30.1,67.3612,0.660317,2024
Washington St.,112.845,96.7177,0.854892,51.8,47.2,16.4,15.7,32.9,25.0,64.8367,1.83201,2024
Drake,114.771,100.098,0.828222,54.7,50.8,13.8,17.5,24.1,22.5,67.9276,1.62353,2024
Alabama,126.065,102.485,0.915401,56.3,49.7,15.9,15.2,34.9,30.9,72.3467,3.30641,2024
Charleston,113.765,105.486,0.70452,52.2,51.2,14.3,16.2,33.7,26.4,70.3022,-1.7317,2024
Baylor,122.552,100.958,0.902824,55.7,51.4,17.7,17.0,35.0,26.9,65.843,4.472,2024
Colgate,102.87,102.926,0.498459,53.3,47.9,16.2,16.2,25.1,24.8,66.2694,-4.20719,2024
Clemson,117.655,97.4006,0.897763,53.9,48.2,14.8,13.9,27.2,26.6,66.2804,1.04019,2024
New Mexico,113.898,95.9822,0.877406,50.5,48.1,14.0,19.3,33.5,27.0,72.84,1.48453,2024
Florida,120.547,100.182,0.893602,51.8,49.3,15.7,14.5,37.3,28.8,71.808,2.77141,2024
Connecticut,127.966,91.2711,0.979889,56.9,44.4,14.5,16.0,36.7,26.7,64.6459,11.2371,2024
Stetson,107.942,114.283,0.341538,52.8,52.3,15.9,13.5,27.4,31.5,66.2287,-6.98344,2024
Duke,121.265,95.473,0.939917,54.6,48.6,14.4,16.9,32.0,25.9,66.4988,3.51821,2024
Vermont,104.292,98.7434,0.652205,51.6,46.8,13.9,15.1,22.3,23.5,63.3166,-1.35157,2024
Grand Canyon,111.202,98.8175,0.795411,51.4,45.8,17.8,19.8,34.1,30.2,68.3258,1.44733,2024
Saint Mary's,115.349,94.0827,0.912424,52.8,45.1,16.0,16.7,38.7,22.3,62.4567,1.42328,2024
Houston,119.642,86.4804,0.976632,50.3,44.0,13.8,24.4,36.8,31.2,63.4388,9.95308,2024
Longwood,104.124,105.568,0.460483,49.1,51.9,18.3,19.4,36.3,25.9,66.851,-8.75184,2024
James Madison,111.842,100.699,0.769744,53.9,47.2,14.9,19.7,31.8,27.7,69.8783,1.37456,2024
Wisconsin,118.824,99.139,0.889231,52.2,52.0,14.9,16.9,30.2,24.5,65.247,2.90032,2024
Marquette,118.629,94.8734,0.928892,55.0,49.8,14.3,21.1,25.7,30.8,69.0772,6.55155,2024
Western Kentucky,105.48,101.781,0.601209,51.7,48.6,18.4,18.4,28.7,26.7,75.1028,-6.64,2024
Northwestern,115.661,98.8272,0.85922,52.6,51.5,13.4,18.8,25.8,27.8,64.0321,1.10901,2024
Florida Atlantic,116.652,102.467,0.816219,54.7,49.6,16.2,16.4,33.5,29.3,68.1144,1.14106,2024
Purdue,126.02,94.4613,0.964935,55.8,47.5,16.4,13.7,37.7,24.3,67.1072,10.6251,2024
San Diego St.,111.969,94.1427,0.880193,49.9,47.3,16.2,18.1,32.7,28.7,66.1686,2.17198,2024
UAB,113.197,106.571,0.666781,50.0,51.0,16.8,16.2,35.4,31.3,67.7493,-2.78968,2024
Texas A&M,117.704,100.025,0.866653,45.7,50.5,14.1,16.7,42.2,27.9,66.1221,-0.0582948,2024
Nebraska,115.984,96.8568,0.8882,53.1,46.7,15.8,16.2,27.6,30.3,68.9558,1.9501,2024
Utah St.,114.852,101.299,0.809079,54.0,49.8,15.5,16.4,27.8,26.6,68.7692,3.09181,2024
TCU,113.993,98.1587,0.848111,51.5,50.7,18.0,20.6,35.9,28.4,70.0037,0.850511,2024
Yale,109.908,101.126,0.722652,52.1,50.4,14.3,16.2,27.8,24.2,64.9065,-2.71309,2024
Auburn,121.011,93.0723,0.953417,54.2,43.7,15.1,18.1,32.9,30.2,69.9722,5.21128,2024
