Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB,Season
Florida Atlantic,114.023,95.7656,0.881503,54.3,46.1,16.9,17.7,31.4,25.4,67.4582,4.71939,2023
Memphis,115.352,95.0097,0.903011,53.0,46.7,18.3,20.8,31.2,32.7,70.9986,4.71748,2023
Gonzaga,123.167,98.9863,0.925079,57.6,51.4,14.8,17.8,31.2,25.6,70.1225,6.64482,2023
Grand Canyon,111.345,105.959,0.638816,52.8,47.5,18.1,15.1,30.2,30.4,64.8613,-3.75985,2023
Indiana,113.084,96.8664,0.855724,53.5,47.2,16.8,16.3,28.1,29.0,67.8548,3.42582,2023
Kent St.,106.993,96.9692,0.756061,50.8,47.3,16.3,22.3,31.3,30.2,67.7856,0.818059,2023
Kansas St.,112.622,94.68,0.880342,52.3,48.1,19.3,21.0,29.9,30.3,69.8017,4.23798,2023
Montana St.,105.148,98.1951,0.68712,51.0,49.8,17.8,20.1,25.7,25.4,66.2518,-2.70107,2023
Kentucky,115.653,97.744,0.873781,50.6,48.6,17.4,16.6,39.2,25.0,65.7718,1.61422,2023
Providence,114.943,101.164,0.812821,51.1,49.7,16.8,16.9,34.7,27.3,66.8346,1.34629,2023
Marquette,118.712,96.032,0.919697,56.0,51.0,15.3,22.5,26.2,31.7,68.3804,7.82778,2023
Vermont,109.724,102.462,0.687296,54.8,51.0,14.3,16.6,19.2,22.3,64.4893,-3.82581,2023
Miami FL,119.143,100.874,0.871491,54.3,51.2,16.1,18.1,31.8,28.8,68.6487,3.65927,2023
Drake,108.839,95.6434,0.815527,52.9,46.9,15.5,17.5,23.8,22.4,66.3038,-0.686362,2023
Michigan St.,114.419,96.4429,0.87713,51.7,48.6,16.4,14.8,27.6,25.2,64.5942,2.42621,2023
USC,111.752,97.3723,0.829769,51.2,45.4,18.1,17.9,28.8,32.7,67.9908,2.07366,2023
Iowa St.,107.018,90.86,0.867868,49.9,49.9,19.6,25.0,33.9,26.5,64.0033,2.40885,2023
Saint Mary's,112.061,90.4839,0.921255,52.0,47.1,16.4,19.2,32.6,21.9,61.9026,3.40454,2023
VCU,105.523,93.408,0.80258,52.0,46.9,19.6,23.9,28.9,30.0,67.9207,0.973095,2023
TCU,111.677,94.6287,0.870459,50.0,48.1,16.7,21.6,32.2,30.5,69.6806,2.2412,2023
Xavier,118.011,98.4759,0.889051,55.2,50.3,17.2,16.2,30.8,25.0,70.4743,5.35946,2023
Kennesaw St.,105.605,100.344,0.642822,52.7,51.1,17.8,19.5,27.3,25.4,68.4207,-1.42617,2023
