Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB,Season
Alabama St.,100.854,109.25,0.285048,47.0,50.7,13.1,18.7,28.0,30.8,67.9827,-10.1102,2025
Saint Francis,100.249,111.951,0.219321,51.8,51.2,19.7,16.2,25.0,29.9,67.4089,-12.1089,2025
North Carolina,119.31,99.8235,0.88602,54.1,49.5,15.1,15.3,29.1,26.9,70.8367,1.36167,2025
San Diego St.,108.885,95.8091,0.813245,50.5,45.9,16.8,19.5,29.2,31.0,66.1054,0.982161,2025
Mount St. Mary's,100.272,107.748,0.304287,50.9,48.7,21.4,15.6,30.5,27.9,67.7791,-8.06904,2025
American,101.716,108.681,0.318292,52.0,52.5,16.9,17.7,23.8,27.4,63.768,-8.23046,2025
Xavier,116.822,98.9511,0.870934,54.1,51.0,15.6,17.6,24.4,25.5,69.159,0.415413,2025
Texas,117.41,100.996,0.849653,52.6,48.9,14.3,16.4,29.7,29.4,67.5506,0.153661,2025
Arkansas,113.721,95.5145,0.881472,52.2,47.6,16.3,17.2,28.1,29.9,69.3958,1.3706,2025
Kansas,116.042,93.7259,0.921012,53.1,46.3,16.9,15.6,30.5,27.6,68.5972,4.18986,2025
Auburn,127.683,92.9737,0.974622,54.9,46.1,13.6,17.4,34.2,29.7,68.2866,12.7036,2025
BYU,126.796,100.218,0.937329,57.0,51.4,17.4,16.9,33.7,26.4,67.5785,4.82007,2025
VCU,115.961,96.6809,0.890043,52.4,44.8,16.8,20.5,36.5,30.4,66.3788,1.04808,2025
Creighton,118.409,98.6874,0.890429,56.1,47.2,17.9,11.6,26.4,27.2,67.4397,3.04901,2025
Louisville,117.958,95.9229,0.915138,53.2,49.7,16.3,18.5,31.9,27.1,69.1582,5.49165,2025
Drake,113.103,97.7383,0.842778,53.9,51.4,18.4,21.8,35.3,25.7,59.1365,2.71229,2025
Missouri,125.913,101.235,0.924745,55.8,50.9,15.5,20.1,33.5,32.3,68.6068,3.20679,2025
Gonzaga,124.801,96.7085,0.949441,56.0,47.5,13.4,18.0,32.5,26.9,70.5072,2.81474,2025
Georgia,115.722,96.9599,0.884352,52.1,47.7,18.8,18.0,36.0,31.9,66.7478,2.03791,2025
Houston,124.692,87.3475,0.983593,51.7,44.8,14.2,20.9,36.9,28.6,61.7814,11.5366,2025
SIU Edwardsville,101.033,105.903,0.367865,48.5,47.6,17.2,17.1,31.3,29.7,66.194,-7.6753,2025
McNeese St.,113.861,99.7006,0.821608,53.0,47.7,16.2,21.7,34.5,31.7,65.7521,-0.394373,2025
Clemson,117.305,95.5404,0.913735,53.4,48.8,15.8,20.0,33.7,30.4,64.6306,4.75238,2025
Michigan,115.71,93.9385,0.916606,53.8,46.1,19.6,15.8,33.2,30.2,70.0288,6.8452,2025
UC San Diego,112.97,97.5494,0.843927,55.1,47.8,13.4,23.3,25.6,28.6,66.0045,0.94624,2025
Purdue,125.602,99.3746,0.936647,55.9,51.8,15.7,17.5,31.8,29.7,65.2015,4.92492,2025
High Point,117.711,108.159,0.725771,56.3,49.1,15.3,16.4,33.6,30.6,66.6012,-1.69133,2025
