Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB,Season
St. John's,112.956,90.0335,0.9314,49.2,45.9,15.3,21.4,37.9,29.8,70.0578,7.84787,2025
Nebraska Omaha,112.101,109.083,0.577814,52.6,53.2,15.6,14.8,29.8,25.9,67.7568,-6.3968,2025
Tennessee,120.158,91.8776,0.956313,52.5,45.0,16.1,17.7,35.6,30.3,63.921,9.32784,2025
Wofford,111.965,109.935,0.552415,53.2,51.9,16.9,14.7,35.5,26.3,64.2032,-9.56858,2025
Texas A&M,116.027,94.2054,0.916517,47.6,48.3,17.8,19.4,41.4,28.0,66.7138,5.46453,2025
Yale,113.991,104.103,0.739525,54.7,49.1,14.5,16.1,32.7,25.9,67.6768,-2.55933,2025
Texas Tech,126.063,97.5769,0.950057,54.7,48.1,14.2,17.1,34.2,28.3,66.1384,5.83555,2025
UNC Wilmington,112.343,106.67,0.644739,52.1,50.8,16.0,17.1,35.1,28.2,65.6976,-3.16547,2025
UCLA,117.942,94.3373,0.928784,52.8,50.1,15.9,22.8,32.7,29.8,65.1252,3.87453,2025
Utah St.,121.276,105.421,0.833577,55.3,51.9,16.0,20.1,34.7,30.3,67.7266,2.2507,2025
Wisconsin,123.11,96.7586,0.941028,53.8,48.1,14.0,14.5,28.0,26.7,67.8732,6.56606,2025
Montana,111.89,109.039,0.57367,56.0,52.5,16.1,15.5,22.5,29.0,67.3104,-2.99621,2025
Alabama,127.738,96.6229,0.961224,56.6,47.8,16.6,13.5,33.7,29.4,75.0636,10.1171,2025
Robert Morris,106.736,104.598,0.557914,51.2,50.7,18.2,18.7,35.2,28.1,68.2225,-4.0058,2025
Arizona,124.918,97.4057,0.945877,53.3,48.9,16.0,16.2,36.0,27.9,70.2748,5.44612,2025
Akron,113.469,106.863,0.665922,54.9,50.1,16.4,17.3,32.5,29.4,71.4845,-1.58041,2025
Baylor,121.313,100.311,0.898998,51.1,52.0,15.9,18.6,36.0,30.9,64.7273,2.06193,2025
Mississippi St.,118.426,99.2345,0.884241,51.9,51.8,15.3,18.9,33.9,29.9,68.2385,3.08509,2025
Colorado St.,117.385,98.9755,0.876719,55.5,48.5,17.2,16.7,27.0,25.8,66.0989,0.770692,2025
Memphis,112.146,99.3287,0.801496,53.5,48.6,19.3,18.9,35.3,32.3,70.8582,4.96715,2025
Connecticut,120.778,101.221,0.884059,55.0,48.1,17.0,15.7,35.5,27.8,64.0667,2.25261,2025
Oklahoma,116.767,100.859,0.843471,54.4,51.0,17.3,18.2,26.6,31.8,68.7075,2.158,2025
Duke,130.568,92.0141,0.982441,57.9,44.4,14.0,17.1,34.0,27.3,65.9633,9.47421,2025
Florida,127.786,94.1803,0.970948,54.9,45.5,15.7,16.6,38.5,29.0,69.9039,11.1457,2025
Norfolk St.,106.833,109.72,0.423927,52.2,50.0,18.3,18.6,33.1,34.6,66.5328,-5.29055,2025
Illinois,122.51,98.4871,0.924844,52.4,47.4,16.0,12.4,35.8,25.8,71.5259,3.9754,2025
Iowa St.,119.309,93.306,0.94412,54.9,48.9,17.0,21.6,32.2,27.9,68.7689,5.43129,2025
Lipscomb,109.987,104.315,0.64768,55.6,49.1,14.7,15.9,23.7,26.6,66.423,-4.13441,2025
Kentucky,123.429,98.4956,0.930541,55.9,50.3,15.0,14.1,28.2,26.4,70.8577,5.62218,2025
Troy,106.521,100.252,0.667632,49.8,47.5,19.8,19.6,38.1,31.7,66.3875,-4.13604,2025
Maryland,118.622,92.0918,0.948403,53.6,47.1,14.3,20.1,30.7,28.2,69.7054,5.16179,2025
Grand Canyon,107.858,100.153,0.70107,50.7,47.3,18.5,20.3,32.4,28.9,71.4983,-2.52595,2025
Michigan St.,117.263,92.3313,0.939853,50.9,46.2,16.4,15.9,35.3,24.7,67.6495,8.45895,2025
Bryant,105.974,105.499,0.512905,50.7,47.8,16.3,16.4,33.8,29.5,72.5962,-7.0148,2025
Mississippi,119.263,97.0433,0.914592,51.4,50.5,12.9,20.2,25.5,30.4,68.0558,4.93172,2025
New Mexico,112.313,95.4262,0.866891,50.8,49.2,15.7,20.3,31.3,25.8,72.9074,2.72758,2025
Marquette,116.471,97.0345,0.890864,52.0,49.9,13.6,21.4,30.0,31.0,67.8797,3.62342,2025
Oregon,116.469,96.2279,0.899833,52.5,48.9,16.2,17.5,30.5,29.1,68.1159,5.80626,2025
Liberty,112.068,99.0505,0.805331,57.8,46.5,15.4,17.0,19.0,28.1,65.7021,-0.15863,2025
Saint Mary's,114.146,92.9675,0.913734,50.2,46.5,14.9,16.3,39.9,24.6,61.883,4.39442,2025
Vanderbilt,118.601,101.134,0.862014,51.5,52.7,14.5,19.8,31.6,29.7,69.6754,1.59857,2025
