Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB,Season
Duke,128.158,90.8058,0.981334,56.8,46.2,15.7,18.1,38.1,24.8,65.8029,13.6783,2026
Siena,107.205,108.909,0.454789,50.6,48.6,16,17.1,31.9,29,64.6304,-7.76934,2026
Ohio St.,125.21,101.587,0.917159,56.5,50.3,15.4,15.8,30.8,30,66.1615,2.89961,2026
TCU,114.852,99.6424,0.836672,50.9,51,15.5,19.7,34.4,29.2,67.5796,2.38285,2026
St. John's,119.803,94.0932,0.941475,51,47.4,14.7,19.4,35.9,30.2,69.6038,7.27093,2026
Northern Iowa,109.77,98.5687,0.775178,54.2,47.2,14.6,18.1,22,26.3,62.1869,-5.26859,2026
Kansas,117.818,94.3614,0.927784,51.6,45.2,15.5,14,29.5,30.1,67.6097,6.2764,2026
Cal Baptist,107.494,100.31,0.688994,48.6,46.4,18.1,17.1,37.8,27.2,65.9312,-2.29221,2026
Louisville,124.034,98.1689,0.936403,56.4,48.8,16.4,16.7,32.9,26.9,69.7123,4.00758,2026
South Florida,116.775,101.382,0.835573,50.9,48.4,15.2,18.8,38.2,31.8,71.4015,-0.246908,2026
Michigan St.,122.919,96.1855,0.943765,53.6,48.6,17.1,14.8,38.5,22.6,65.9808,7.45371,2026
North Dakota St.,111.426,106.026,0.639062,53.4,51.5,15.6,18.7,33.6,25.7,66.3569,-3.34527,2026
UCLA,124.556,101.784,0.91068,53.9,50.4,13.4,18.1,31.1,32.4,64.6877,3.62387,2026
UCF,119.998,105.69,0.811553,52.8,52.4,15.7,15.8,34.4,28.5,69.1161,2.12936,2026
Connecticut,123.093,94.9837,0.951719,55.3,45.7,16.8,18.0,35.7,28.7,64.5828,8.85054,2026
Furman,106.918,109.022,0.444191,54.8,50.1,17.8,13.7,31.0,27.5,65.8409,-8.72397,2026
Florida,126.093,92.2727,0.973172,53.5,46.3,16.5,15.4,43.2,24.8,70.3985,8.54139,2026
Prairie View A&M,101.454,111.36,0.255141,47.9,50.4,16.0,19.1,27.1,34.8,70.869,-12.5495,2026
Clemson,116.563,97.0037,0.892103,52.6,48.9,14.2,17.5,28.1,25.7,64.2733,3.1863,2026
Iowa,122.127,100.204,0.906819,56.6,52.7,15.2,21,30.1,28,63.0271,1.95729,2026
Vanderbilt,127.474,99.3598,0.94611,55.3,48.8,13.3,17.9,31.2,31.6,68.9818,7.30917,2026
McNeese St.,113.156,102.127,0.764827,51.0,48.9,14.3,24.6,35.0,35.0,66.1361,0.71163,2026
Nebraska,117.207,93.4953,0.93082,55.4,47.8,14.4,19.2,26.3,27.7,66.8209,7.46527,2026
Troy,110.684,109.018,0.543487,51.9,50.1,17.0,16.9,34.8,31.6,65.0841,-6.14178,2026
North Carolina,121.413,100.006,0.902966,54.6,48.2,14.0,13.6,31.4,28.1,67.9856,4.93088,2026
VCU,119.284,103.042,0.843344,54.1,48.9,15.2,17.2,32.3,29.9,68.681,1.72063,2026
Illinois,131.945,98.2147,0.967553,55.1,47.6,13.2,11.6,38.7,27.0,65.7183,6.56941,2026
Penn,106.558,105.393,0.531553,50.3,51.7,15.4,17.8,30.3,30.5,69.0243,-5.99711,2026
Saint Mary's,119.365,97.5471,0.910624,52.9,46.7,16.4,15.2,37.6,23.8,65.3021,4.01784,2026
Texas A&M,119.858,101.429,0.872123,54.2,50.8,14.6,18.3,32.3,32.5,71.0159,1.60408,2026
Houston,125.338,92.3903,0.970899,52.1,46.6,13.0,21.0,35.9,30.9,63.3252,9.00602,2026
