Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB
Villanova,123.608,93.3355,0.961968,55.3,45.5,16.3,21.6,32.5,31.2,64.07,11.2273
Howard,92.8442,102.417,0.244444,46.2,45.7,25.0,21.4,33.5,34.6,62.5023,-11.3789
Utah St.,107.717,103.616,0.609769,52.4,45.8,16.3,17.0,21.7,34.0,63.4514,-5.9049
Marist,94.7387,105.995,0.215669,46.8,49.6,20.5,20.8,21.2,35.6,64.7206,-19.5926
Portland St.,102.814,109.723,0.321291,48.7,52.7,16.4,17.5,27.6,32.1,65.6166,-9.61917
Denver,105.628,109.165,0.406399,56.2,52.9,19.1,20.4,19.3,29.6,57.2272,-12.2463
Cal St. Northridge,101.065,109.201,0.291034,45.3,51.0,19.5,16.6,28.4,30.5,65.1369,-15.5723
Maryland,111.828,96.0427,0.851943,51.2,45.5,18.9,17.2,28.9,30.5,63.8356,6.82749
Rice,102.442,105.748,0.409676,51.7,49.9,22.1,19.6,26.5,32.2,61.7012,-12.9478
Abilene Christian,92.7099,112.938,0.0936617,47.3,55.3,19.8,20.8,24.1,33.9,63.3794,-16.5441
Rider,100.847,100.898,0.498539,49.4,47.5,19.2,21.6,31.1,29.6,64.0199,-5.18708
Boston College,110.227,101.327,0.724759,50.8,49.4,18.8,18.8,26.0,30.9,63.2796,-5.95048
Arizona,119.167,89.1855,0.965536,53.5,45.1,16.5,20.6,34.5,22.4,66.1067,8.94257
Penn St.,105.655,96.2837,0.744238,48.0,45.3,18.2,17.8,29.7,31.0,65.2897,-3.62887
Hawaii,106.187,100.085,0.663885,49.3,47.6,18.7,23.4,32.2,34.4,69.0249,-5.98423
San Diego,103.78,97.6136,0.669175,48.0,47.9,18.4,21.3,30.0,31.6,62.9295,-6.26074
UC Davis,111.748,106.906,0.624666,57.3,48.4,20.9,17.9,28.6,33.7,62.4819,-0.704817
LSU,109.342,95.1512,0.831833,50.3,44.6,20.2,19.1,33.9,32.9,69.5274,0.449064
St. Francis NY,102.231,103.994,0.450994,46.3,47.4,19.8,20.2,39.6,28.8,64.3896,-6.88139
Fresno St.,102.749,105.972,0.412119,47.1,49.4,17.2,20.3,25.9,32.7,64.7438,-9.17397
UMKC,98.5598,108.933,0.240337,46.1,51.6,20.0,23.6,31.7,36.5,63.518,-13.8827
Baylor,117.671,94.9518,0.921799,49.8,45.8,20.1,19.3,41.9,31.5,61.4342,4.78146
Oral Roberts,106.223,109.291,0.418865,48.1,51.0,17.6,18.6,29.5,31.3,65.1777,-8.11226
Ohio,102.718,108.161,0.355774,49.8,49.3,18.7,15.4,25.9,30.5,66.2256,-13.1702
Winthrop,105.075,105.616,0.485234,50.8,47.0,17.7,19.0,29.4,32.3,65.6088,-8.7044
Northern Illinois,102.118,105.16,0.416393,47.6,51.8,21.7,21.4,36.4,31.1,62.1602,-8.77351
Georgia Tech,103.654,95.312,0.724106,44.4,49.2,19.6,18.0,38.7,25.8,63.5666,-6.24156
Kent St.,107.456,103.394,0.609,49.8,45.8,17.8,18.2,33.6,32.7,61.3893,-4.41713
High Point,106.712,106.886,0.495318,51.9,51.3,17.5,19.8,30.6,31.5,62.2044,-3.68205
Weber St.,100.248,106.928,0.32261,48.0,50.8,20.5,16.6,28.8,30.2,62.6034,-11.6134
Maine,94.4624,114.944,0.0947665,46.7,55.8,21.6,19.0,23.5,31.7,65.9718,-20.5868
Radford,104.593,105.954,0.462883,50.0,48.4,18.1,18.8,34.5,32.7,64.6386,-6.11651
Kansas,114.892,92.8668,0.920381,49.4,44.6,19.2,17.5,34.9,31.6,66.5888,8.74019
SMU,112.911,96.6547,0.856654,52.1,45.7,19.5,20.3,36.6,29.2,62.9948,3.2961
Richmond,108.492,96.6773,0.790164,52.1,46.0,15.6,21.1,22.2,33.4,61.5366,-3.36327
Providence,113.018,95.8905,0.868746,48.4,48.2,18.1,19.7,35.2,29.0,65.1325,3.55236
Louisville,110.968,89.6268,0.921021,47.7,44.0,17.2,21.3,34.7,30.8,64.9462,5.66077
Davidson,120.207,104.247,0.837287,55.4,49.3,14.1,17.0,29.6,30.4,66.5731,1.82011
St. Bonaventure,104.254,100.534,0.602982,47.1,48.4,18.9,19.7,35.0,29.0,64.3697,-5.23995
North Florida,107.34,106.769,0.515325,53.6,47.9,18.3,17.9,29.2,31.8,66.8448,-4.9182
Missouri St.,98.4313,106.463,0.288642,45.4,49.6,19.5,16.4,29.7,30.0,61.2443,-11.9901
Vanderbilt,115.895,101.581,0.819962,54.4,46.6,20.0,18.1,31.9,33.1,63.0018,-2.58102
Washington St.,109.143,109.456,0.491753,49.6,52.4,17.3,14.1,26.4,30.3,67.1882,-6.79571
Akron,105.408,99.0277,0.672166,49.4,45.5,18.8,18.8,33.3,31.5,63.4358,-6.65565
Bowling Green,106.395,102.169,0.614469,49.3,47.2,18.4,19.5,31.6,29.5,63.2104,-3.93315
Memphis,106.635,97.2212,0.743246,48.4,44.4,20.2,19.2,37.0,31.6,66.0269,-5.20078
Central Arkansas,91.4166,118.057,0.0501637,48.8,55.0,25.6,18.3,28.0,36.7,69.2644,-22.73
Murray St.,116.304,104.14,0.780802,54.3,46.8,17.1,18.7,35.9,32.5,66.3907,0.265306
American,101.761,105.259,0.404023,53.4,51.0,19.4,21.8,21.3,31.6,56.5537,-9.67518
Notre Dame,126.963,100.9,0.933534,58.3,47.9,14.5,17.3,27.9,32.2,63.3024,8.4422
Creighton,111.303,102.144,0.7286,49.4,50.5,18.4,17.1,31.3,28.1,62.4338,-5.88552
Duke,126.79,92.8024,0.973109,56.6,46.5,16.3,18.6,35.8,30.2,65.7698,10.5568
Indiana St.,102.07,102.34,0.492425,49.4,48.6,20.9,20.8,26.4,31.7,66.6678,-8.05454
UCLA,113.406,98.8769,0.828733,49.6,48.5,17.6,17.9,33.8,28.6,66.1675,-0.0491262
Pacific,104.224,108.469,0.387209,46.8,51.9,19.8,16.2,34.6,31.3,61.266,-10.6096
Texas A&M,109.448,97.5805,0.789165,50.5,46.9,19.2,19.4,34.1,28.1,63.5902,-0.427881
North Texas,100.273,104.641,0.379801,46.9,49.3,20.1,20.4,31.1,33.1,65.322,-10.6033
Nevada,97.2177,106.132,0.267203,40.8,47.6,21.9,15.7,39.8,31.9,63.4539,-14.5965
UTSA,106.177,110.692,0.38252,47.9,52.9,18.2,20.3,35.2,31.3,65.6147,-11.0736
Hartford,97.3193,106.977,0.251975,47.3,50.4,19.0,20.9,25.3,29.5,63.1718,-10.9136
Mississippi Valley St.,91.1798,117.971,0.0491488,42.7,54.5,20.9,20.8,30.1,39.7,70.5413,-20.5297
Gardner Webb,107.344,111.533,0.391679,51.0,53.4,17.4,17.1,29.8,31.8,67.4351,-7.47257
Prairie View A&M,97.852,108.534,0.232993,47.5,48.4,20.7,24.3,32.1,40.1,68.3474,-12.0423
Chattanooga,104.52,105.173,0.482084,50.5,48.0,19.4,18.7,32.5,32.7,64.6574,-4.6216
