Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
UC Santa Barbara,110.028,105.733,0.612535,54.1,50.1,17.0,18.5,26.3,26.1,64.4424,2023,-1.51262
Arkansas Pine Bluff,94.0609,106.954,0.185839,45.2,51.4,21.6,21.4,26.6,29.0,69.626,2023,-15.3857
Portland St.,102.42,107.519,0.363835,49.6,55.0,16.8,21.3,24.0,31.4,72.2972,2023,-12.8761
Indiana,113.084,96.8664,0.855724,53.5,47.2,16.8,16.3,28.1,29.0,67.8548,2023,3.42582
Louisiana,110.758,101.586,0.729901,52.8,50.5,17.7,18.4,33.3,26.3,68.3512,2023,-0.530752
Central Michigan,92.0297,108.122,0.1355,46.5,51.9,22.9,19.2,30.5,32.5,67.2441,2023,-15.3423
Brown,100.107,99.6584,0.51292,50.7,51.2,19.0,19.7,23.4,23.7,69.2991,2023,-7.1836
Wright St.,103.398,105.408,0.444874,53.5,50.3,17.3,17.2,26.2,26.6,71.1539,2023,-10.9642
UC Irvine,105.946,99.0634,0.684055,51.5,45.8,17.5,17.5,27.4,27.0,69.4169,2023,-4.46685
Montana,107.771,107.482,0.507727,53.8,51.2,17.3,15.9,24.4,25.1,63.5157,2023,-7.88363
UAB,112.431,96.9912,0.845368,50.3,47.3,17.3,19.3,35.8,29.3,70.7075,2023,-0.476368
Tulane,108.744,102.361,0.66722,52.4,50.4,15.1,19.3,19.3,30.5,72.8763,2023,-2.05609
FIU,102.747,104.859,0.441783,52.1,52.1,20.6,22.8,25.5,36.7,69.9239,2023,-10.4343
BYU,108.556,98.3085,0.757741,51.5,49.5,20.2,18.5,31.8,24.1,69.5432,2023,-4.5216
Illinois Chicago,97.9767,107.415,0.257761,48.7,51.2,18.3,19.6,22.7,30.3,68.9233,2023,-14.1813
Xavier,118.011,98.4759,0.889051,55.2,50.3,17.2,16.2,30.8,25.0,70.4743,2023,5.35946
Charlotte,107.951,101.49,0.670345,55.1,50.2,17.0,17.8,22.3,24.4,60.3289,2023,-6.481
Canisius,101.141,107.37,0.334647,48.6,52.8,17.5,18.7,28.4,29.9,67.5354,2023,-15.0287
Wake Forest,111.366,101.537,0.743168,54.2,51.6,17.1,17.3,24.8,26.6,69.4421,2023,-3.01131
