Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
UC Santa Barbara,96.3896,102.971,0.318745,48.8,49.1,22.4,18.1,31.0,32.2,62.6586,2013,-13.1097
Arkansas Pine Bluff,92.6687,101.951,0.250157,44.7,46.9,20.9,23.5,31.5,35.6,66.8819,2013,-8.12277
Portland St.,102.155,118.791,0.149939,49.7,53.9,18.2,17.2,31.1,32.8,63.6465,2013,-15.9436
Indiana,121.987,91.1856,0.965996,54.7,44.0,19.3,20.9,39.0,31.4,66.4281,2013,7.73016
Louisiana,99.8739,106.509,0.323075,48.6,48.8,19.6,20.8,29.1,35.2,68.8485,2013,0.0
Central Michigan,105.044,112.34,0.316015,48.3,55.0,19.8,19.8,30.9,33.1,64.2512,2013,-13.5898
Brown,95.6372,101.007,0.347924,47.6,49.5,21.6,18.5,30.5,27.1,63.0935,2013,-10.1471
Columbia,100.02,103.172,0.411739,47.6,49.3,17.8,20.1,29.0,27.0,60.318,2013,-11.5151
UC Irvine,100.139,99.2922,0.52439,48.0,44.2,18.6,16.3,30.4,31.2,64.8994,2013,-8.01037
Montana,103.028,103.071,0.498809,52.9,48.6,19.1,18.3,25.1,30.5,62.5573,2013,-1.24648
UAB,101.378,99.2672,0.560213,48.4,50.7,21.8,22.4,33.5,30.8,69.8099,2013,-7.96541
Tulane,107.556,104.781,0.574584,47.7,51.6,19.0,20.6,35.5,27.7,63.8914,2013,-7.5409
FIU,100.313,102.979,0.425164,48.9,51.1,21.7,25.6,31.3,36.0,67.9318,2013,-7.63325
BYU,110.363,97.2002,0.811609,50.2,48.1,17.0,19.3,32.8,27.7,70.0391,2013,-2.3839
Illinois Chicago,97.5748,99.8691,0.433577,46.0,46.7,19.5,19.5,28.2,30.3,63.2158,2013,-8.66369
Xavier,106.291,95.7212,0.769322,50.1,46.7,20.4,18.6,34.3,29.0,61.7916,2013,-3.92208
Charlotte,101.101,97.464,0.6038,47.1,46.9,22.3,20.2,36.5,31.1,66.463,2013,-1.46445
Canisius,110.459,105.667,0.624812,52.7,50.4,19.6,19.8,34.8,33.1,65.191,2013,-5.53186
Wake Forest,100.845,97.971,0.582368,48.5,50.8,20.7,20.5,27.7,30.8,67.8096,2013,-7.42102
Florida Atlantic,98.9893,105.041,0.335726,47.5,45.8,22.6,17.1,32.9,34.3,64.1154,2013,-12.0459
Northeastern,104.748,107.285,0.431632,51.0,52.2,19.8,22.3,31.4,35.7,62.5509,2013,-6.52012
Robert Morris,105.196,101.161,0.610585,51.0,50.6,19.2,24.6,31.0,32.5,63.4631,2013,-5.66523
Seattle,93.8929,98.4497,0.367027,47.1,46.7,25.5,19.8,36.7,29.9,68.7435,2013,-16.0751
Villanova,106.444,92.1321,0.840306,47.3,47.3,22.9,22.0,33.1,29.5,66.4031,2013,0.303493
Howard,82.763,102.299,0.0803901,39.2,47.3,23.9,22.9,35.1,34.3,61.0855,2013,-17.5564
Utah St.,107.89,104.146,0.600157,52.0,47.8,20.9,15.0,37.4,27.0,60.3977,2013,-3.99812
Marist,98.3793,104.708,0.328053,48.4,49.9,20.8,18.9,27.0,33.1,66.9765,2013,-14.8662
Toledo,103.143,104.426,0.464537,48.3,48.6,17.9,21.3,28.8,34.4,66.5385,2013,-7.66384
Denver,110.333,96.0982,0.830413,56.2,47.3,18.6,26.2,22.7,34.1,57.7144,2013,-2.49597
Cal St. Northridge,102.622,108.731,0.339636,46.6,54.7,19.1,22.2,35.9,31.0,69.6843,2013,-11.5597
Maryland,107.33,94.1946,0.817771,51.6,43.6,22.2,15.7,36.9,27.9,65.816,2013,-1.26382
Rice,96.3521,111.87,0.152217,46.9,55.3,16.7,21.0,19.2,36.6,61.4048,2013,-18.6416
Rider,97.4739,98.0029,0.484442,49.1,45.5,23.3,20.9,30.6,31.8,65.0781,2013,-7.54225
Boston College,109.746,103.485,0.662731,51.0,51.1,17.7,17.9,28.1,30.7,62.8085,2013,-5.30148
