Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB
Georgia Tech,108.606,103.839,0.626233,48.7,49.2,17.7,12.8,31.6,28.5,67.579,-5.51724
Kent St.,105.359,105.954,0.483809,50.7,51.3,17.2,18.5,31.0,28.7,66.7,-11.6093
High Point,114.543,109.731,0.620945,52.3,50.1,15.9,13.9,36.8,26.1,68.5967,-4.27869
Weber St.,107.407,107.269,0.503717,53.1,54.4,14.8,18.4,23.8,23.7,65.4896,-7.35845
Maine,95.8154,102.106,0.324925,47.8,49.9,16.7,19.2,23.0,27.8,65.6047,-12.1626
Sam Houston St.,105.965,102.16,0.603597,48.6,49.8,18.8,19.0,32.0,27.0,67.8022,-5.84314
Incarnate Word,95.4463,114.937,0.105555,48.2,51.8,21.7,15.1,30.0,30.0,69.9745,-19.4517
SMU,112.1,100.392,0.780488,51.0,47.2,16.5,18.7,38.3,31.3,67.5984,-4.43288
Richmond,107.021,97.3974,0.747174,52.7,46.9,12.8,17.1,17.3,26.6,66.7419,-0.93954
Providence,108.672,95.4659,0.816075,51.5,47.5,17.5,17.0,27.0,27.8,67.6888,0.745249
Louisville,104.807,107.034,0.439846,48.4,54.6,18.1,16.2,28.1,27.5,69.6817,-12.2863
Davidson,105.055,100.383,0.627877,48.9,49.4,16.3,17.2,26.1,27.8,65.5796,-8.88211
North Florida,105.584,112.006,0.336492,53.6,52.6,16.3,14.4,23.5,29.9,67.1608,-11.5694
Missouri St.,104.064,101.996,0.557468,49.7,48.0,17.3,13.1,29.1,24.7,67.8901,-8.01196
Vanderbilt,104.394,106.471,0.44362,45.4,53.0,15.3,15.9,28.2,29.3,65.7788,-10.6446
Utah Tech,99.7528,107.92,0.288021,50.4,50.4,21.8,18.3,28.2,31.6,70.3424,-13.899
Akron,105.169,101.966,0.587988,51.7,49.1,16.9,16.7,29.2,25.6,65.7816,-4.64197
Bowling Green,101.505,107.123,0.349892,48.1,51.2,16.3,16.1,30.5,25.5,67.7001,-9.48635
Memphis,111.889,102.703,0.728118,52.8,50.0,18.0,19.1,33.4,33.6,71.7165,-1.11174
Central Arkansas,96.712,114.193,0.128898,47.5,54.0,18.1,15.4,28.3,31.4,69.2221,-19.036
Murray St.,107.322,106.365,0.525721,50.0,54.5,14.4,17.9,26.5,25.5,64.529,-12.4466
American,102.4,113.471,0.234954,52.5,53.4,17.3,17.0,27.9,25.6,62.9672,-12.4518
Notre Dame,102.626,98.4528,0.617126,47.6,48.2,19.1,15.2,28.4,26.7,64.3833,-7.6199
Creighton,121.678,97.0567,0.930859,57.3,46.3,15.4,11.0,26.1,24.9,66.7295,4.3946
Duke,121.265,95.473,0.939917,54.6,48.6,14.4,16.9,32.0,25.9,66.4988,3.51821
Indiana St.,119.609,102.697,0.852351,59.8,49.9,16.2,15.5,23.6,23.3,70.7258,1.86242
UCLA,107.978,98.9552,0.731735,46.6,50.1,16.5,18.1,29.9,28.3,63.1776,-5.25598
Pacific,94.8426,116.919,0.0826735,46.5,56.3,16.9,16.1,18.8,33.2,68.4206,-19.1632
Texas A&M,117.704,100.025,0.866653,45.7,50.5,14.1,16.7,42.2,27.9,66.1221,-0.0582948
North Texas,110.578,98.7657,0.785702,50.8,48.0,17.7,19.5,34.0,32.0,61.5878,-5.96167
Nevada,115.013,98.0993,0.861671,53.2,48.4,15.2,17.4,27.3,26.9,66.863,2.45644
UTSA,106.428,112.459,0.34664,48.3,51.9,15.5,13.1,32.0,28.9,70.6412,-14.7572
Mississippi Valley St.,85.9324,115.871,0.0311421,42.5,55.6,24.0,17.2,27.9,35.7,64.6383,-22.7159
Gardner Webb,102.193,105.021,0.422166,49.1,50.3,16.1,16.0,27.9,26.7,69.496,-10.2979
Norfolk St.,102.266,108.918,0.326355,49.6,49.5,18.4,22.0,31.3,31.4,66.301,-6.96754
Chattanooga,109.715,108.637,0.528354,54.8,49.9,17.1,14.5,27.2,28.8,66.8876,-6.91656
Georgia Southern,104.575,112.973,0.291451,50.8,52.0,18.8,17.3,28.8,33.9,68.9782,-17.9161
Northern Arizona,98.2223,111.394,0.190436,49.3,52.9,18.1,16.7,24.1,31.1,68.3673,-13.5407
Nebraska,115.984,96.8568,0.8882,53.1,46.7,15.8,16.2,27.6,30.3,68.9558,1.9501
Yale,109.908,101.126,0.722652,52.1,50.4,14.3,16.2,27.8,24.2,64.9065,-2.71309
Tennessee Martin,105.393,110.848,0.358857,50.5,49.3,15.0,13.2,27.0,26.3,72.8936,-6.94283
Morehead St.,107.472,103.867,0.596845,54.2,46.4,18.2,15.4,31.9,26.5,64.3196,-3.45338
Tennessee,115.913,90.4424,0.945495,51.1,45.3,14.5,18.5,32.2,28.2,69.1943,5.60147
Texas St.,99.3092,102.189,0.418544,47.1,49.7,19.9,18.6,31.2,29.4,66.444,-10.5604
Jackson St.,100.2,111.736,0.222146,47.0,52.6,19.0,19.0,34.9,32.0,68.8161,-11.604
Mississippi,113.557,103.01,0.754191,51.2,50.2,15.7,18.1,30.1,36.2,66.852,-0.537033
Wyoming,108.097,106.972,0.530036,50.9,52.8,18.5,15.9,28.6,29.1,67.2204,-7.63139
Minnesota,113.81,103.119,0.756668,54.1,50.4,17.7,16.0,30.7,28.8,66.6386,-2.86091
Illinois,125.702,101.071,0.924701,53.6,48.0,15.0,12.3,35.6,26.3,69.7,5.5562
LIU,93.1731,111.166,0.116036,46.4,50.8,20.1,15.8,25.5,28.5,70.4189,-18.3362
UTEP,98.2822,97.8493,0.51269,48.1,51.5,21.2,25.9,29.0,31.0,69.6728,-10.6234
Loyola Chicago,104.72,96.2394,0.72536,51.5,46.4,18.6,17.8,27.5,25.2,68.689,-1.63618
Texas,116.622,96.5264,0.897975,53.0,48.1,16.9,18.8,29.9,30.1,67.3612,0.660317
Maryland Eastern Shore,89.308,109.46,0.087877,43.0,50.9,20.0,18.9,28.8,33.7,67.2672,-16.4459
Western Illinois,97.3078,104.789,0.299043,46.5,46.5,20.1,14.2,37.2,28.9,64.6934,-8.01041
Fairleigh Dickinson,95.9672,112.942,0.133196,47.1,52.9,17.2,19.0,27.8,31.2,72.287,-13.7882
Cornell,112.032,105.783,0.659272,56.5,51.3,17.0,18.3,26.8,31.7,71.64,-1.68831
West Virginia,108.81,105.395,0.590682,49.6,52.1,18.3,15.0,26.6,30.4,68.4282,-10.0771
Cleveland St.,105.092,108.519,0.408767,49.4,51.3,14.9,19.3,33.4,34.5,67.5231,-8.68103
Queens,103.847,111.324,0.310109,49.9,54.1,15.7,15.4,27.6,29.5,72.8696,-13.5391
Southern Illinois,108.814,103.58,0.638052,52.5,50.1,16.8,16.2,26.1,25.6,64.3357,-6.40289
San Diego St.,111.969,94.1427,0.880193,49.9,47.3,16.2,18.1,32.7,28.7,66.1686,2.17198
Nebraska Omaha,102.336,111.043,0.281086,49.5,53.4,14.5,15.9,24.7,26.4,67.4431,-13.4904
DePaul,101.294,111.026,0.258263,48.1,56.5,19.9,14.5,22.0,32.3,67.796,-14.796
UT Rio Grande Valley,94.8344,111.022,0.140349,45.1,53.1,19.0,18.9,24.3,33.4,71.2927,-19.2492
Chicago St.,98.5526,108.905,0.240735,46.1,53.6,20.0,21.1,32.4,35.3,65.2202,-12.5709
South Dakota,103.538,116.94,0.197847,51.9,53.1,18.3,11.7,27.5,28.6,68.9171,-16.5011
Montana St.,103.586,107.106,0.405109,54.2,52.3,16.7,18.5,20.5,28.9,68.5956,-12.785
Oklahoma St.,108.783,102.488,0.664972,51.3,51.3,18.8,16.8,27.5,28.5,67.2024,-8.15677
Wagner,96.2072,105.251,0.262472,45.1,48.8,15.7,16.8,28.8,27.7,61.4662,-11.6482
Bethune Cookman,97.221,108.7,0.216962,47.3,50.1,19.5,21.9,29.2,33.2,69.706,-12.4138
Wofford,105.677,110.319,0.37886,53.3,51.5,16.9,14.1,29.4,26.2,65.6401,-9.09023
Cal Poly,93.9324,112.19,0.114796,46.0,51.5,18.6,17.3,24.3,33.6,65.7871,-23.4486
Towson,102.44,100.574,0.552655,47.3,48.3,19.2,16.9,39.8,27.2,62.2441,-7.37589
Delaware St.,95.0562,105.281,0.23598,46.1,50.9,21.1,21.7,33.1,31.5,69.0099,-14.1021
Prairie View A&M,93.6017,112.148,0.111173,45.6,53.7,17.7,22.6,26.5,35.2,70.9535,-15.9689
Alcorn St.,105.658,116.456,0.246185,48.9,55.0,17.0,17.2,33.4,30.6,66.7296,-11.3554
Liberty,108.409,106.504,0.5508,54.3,50.8,16.2,17.0,24.5,25.5,64.5194,-8.26612
UNC Wilmington,112.782,108.444,0.610881,51.1,51.7,12.8,17.1,29.9,30.6,65.217,-4.79517
Le Moyne,98.7677,110.323,0.218858,50.1,50.6,16.6,17.8,23.1,29.9,67.4789,-13.7889
Presbyterian,101.601,110.717,0.271277,51.2,52.8,16.9,17.7,26.3,27.8,67.6114,-14.1465
Michigan,110.212,104.955,0.636932,51.1,52.5,18.6,13.7,30.7,30.4,67.5128,-9.586
Bellarmine,100.144,111.409,0.226896,49.0,53.9,14.5,14.6,21.8,29.4,65.1097,-17.5679
East Carolina,105.098,105.452,0.490335,47.6,51.3,16.3,18.7,32.7,31.0,64.9214,-10.9324
Northwestern,115.661,98.8272,0.85922,52.6,51.5,13.4,18.8,25.8,27.8,64.0321,1.10901
Eastern Illinois,95.5462,108.782,0.183627,44.8,52.0,15.7,19.7,27.5,28.0,66.6436,-13.2
Buffalo,95.1572,114.193,0.109377,47.3,53.9,20.0,15.1,28.3,30.6,69.0928,-22.1641
Northern Kentucky,102.141,104.92,0.423446,50.6,51.3,17.3,20.1,29.4,32.6,68.0301,-9.54964
Valparaiso,99.6101,109.919,0.243691,46.2,54.5,15.9,17.3,25.7,30.3,67.9619,-17.3808
Elon,101.441,113.702,0.212125,50.6,53.2,17.8,15.7,28.7,32.8,67.7063,-14.127
Appalachian St.,106.614,99.284,0.694046,52.7,45.4,15.2,14.5,29.4,27.8,66.9637,-1.21313
North Alabama,104.26,112.493,0.2944,49.8,51.5,14.6,14.2,27.0,27.8,67.811,-12.1912
Oklahoma,113.088,98.4107,0.831831,53.1,47.4,18.1,16.5,30.1,26.2,67.2254,0.592287
Mississippi St.,112.262,95.5055,0.865174,51.4,48.0,18.9,18.4,35.4,27.9,67.1483,0.589185
St. John's,120.092,98.5463,0.906691,50.9,49.5,15.7,18.5,38.6,30.3,69.3363,0.470904
Long Beach St.,105.121,107.665,0.431685,48.5,51.1,17.1,18.3,33.2,29.4,71.5616,-8.2679
Samford,112.515,103.137,0.731222,56.8,50.5,17.8,21.7,30.1,31.9,72.8286,0.0251096
Eastern Washington,110.731,111.161,0.488869,57.2,52.8,19.0,16.3,26.4,27.1,70.5872,-4.88677
Kansas St.,107.906,96.8015,0.777106,50.2,46.8,21.2,16.0,32.4,30.5,67.5169,-0.286422
Pepperdine,106.204,108.275,0.44472,50.8,54.7,16.4,16.9,28.5,25.9,67.5882,-12.2174
Charleston,113.765,105.486,0.70452,52.2,51.2,14.3,16.2,33.7,26.4,70.3022,-1.7317
UC San Diego,110.826,107.846,0.577725,52.3,50.4,14.4,16.9,27.8,27.8,65.4443,-6.25964
Grambling St.,98.9375,106.414,0.301996,48.1,49.7,20.0,18.8,27.9,32.8,64.8354,-8.05367
Texas Southern,98.5775,106.885,0.282818,46.9,48.3,18.1,17.8,30.0,30.9,67.8044,-10.6514
Colorado,118.302,98.6214,0.890167,55.4,49.7,18.1,15.2,32.0,24.7,67.6925,1.67673
VMI,87.9431,110.819,0.0654453,46.0,54.4,21.2,15.1,23.8,30.6,74.8029,-22.7689
Auburn,121.011,93.0723,0.953417,54.2,43.7,15.1,18.1,32.9,30.2,69.9722,5.21128
New Orleans,97.941,114.665,0.140278,45.5,54.4,17.3,19.1,28.4,34.9,71.3396,-18.1588
Idaho St.,102.704,109.689,0.319363,51.1,54.5,16.7,18.2,30.3,26.8,63.946,-15.553
Columbia,106.581,110.09,0.407924,52.5,52.8,17.8,17.0,27.9,28.6,68.5956,-10.0041
IU Indy,92.718,117.159,0.0635265,46.5,58.2,21.3,18.5,30.0,35.5,67.4236,-21.5772
Western Carolina,108.091,102.154,0.656954,51.7,47.2,14.7,13.3,29.1,24.2,66.9281,-5.40374
Eastern Kentucky,106.827,110.294,0.409209,50.6,49.8,16.1,13.9,33.1,31.0,68.5933,-9.51376
Penn,108.76,112.021,0.415865,51.9,54.0,16.7,14.0,29.1,26.6,65.5917,-11.415
South Carolina St.,98.031,108.499,0.237445,45.7,52.2,21.3,21.8,37.7,31.0,68.8694,-12.9877
Idaho,98.4956,111.128,0.199769,50.2,53.5,17.5,16.6,22.7,28.6,64.9608,-16.8148
Stony Brook,106.384,106.073,0.508405,50.3,50.0,15.1,15.2,26.6,29.3,67.4797,-7.97834
Evansville,101.146,104.866,0.397651,50.1,52.4,16.6,17.2,21.4,26.1,68.5841,-9.1286
Saint Peter's,96.9675,101.172,0.380329,44.6,47.1,19.2,20.4,34.5,29.9,64.0598,-8.88975
Virginia,104.096,92.335,0.798785,48.6,46.6,13.0,19.4,25.6,28.1,60.159,1.55433
UCF,106.571,95.2978,0.783432,47.8,47.9,18.0,20.4,32.9,26.9,68.6916,-3.04837
Drexel,107.213,103.426,0.601928,50.6,47.8,16.5,13.1,33.6,24.5,64.5787,-6.70096
Charleston Southern,93.7285,107.078,0.177812,45.2,50.9,18.1,13.4,27.0,29.0,66.8678,-14.1633
Northern Iowa,109.305,102.515,0.676451,51.6,52.2,15.2,16.5,23.9,22.5,66.5971,-5.14948
South Carolina,114.98,100.114,0.830922,50.9,48.4,15.5,14.9,32.8,27.9,63.2227,4.72694
Lamar,102.096,108.623,0.328994,50.9,49.2,18.0,19.3,33.1,31.9,68.3888,-10.0094
Kentucky,122.728,102.658,0.886297,57.2,49.6,14.2,15.9,28.9,30.3,72.5118,2.78866
Lafayette,93.137,106.869,0.17057,46.9,48.5,17.5,17.4,24.2,29.1,65.3515,-17.0179
North Carolina Central,104.58,112.798,0.295283,49.8,49.0,17.8,18.1,31.3,33.7,66.5322,-9.65123
Wisconsin,118.824,99.139,0.889231,52.2,52.0,14.9,16.9,30.2,24.5,65.247,2.90032
Alabama,126.065,102.485,0.915401,56.3,49.7,15.9,15.2,34.9,30.9,72.3467,3.30641
Tennessee Tech,94.5104,113.406,0.10948,49.0,52.5,17.8,15.4,18.9,28.1,65.7887,-17.2749
NJIT,97.8122,113.686,0.150655,44.6,52.4,16.4,16.6,28.3,32.9,66.4928,-16.8023
Alabama A&M,93.4308,107.938,0.159774,45.9,49.1,22.4,19.4,31.8,32.7,70.5274,-17.5462
Cal Baptist,101.826,106.423,0.375708,47.0,49.2,17.6,15.3,32.7,24.9,63.6323,-11.8439
Dartmouth,93.6617,109.631,0.140584,47.6,54.2,19.4,13.4,20.7,24.5,65.1039,-15.9587
La Salle,106.036,107.008,0.473794,49.2,50.7,14.2,15.4,27.0,30.8,66.7894,-9.78291
East Texas A&M,94.4368,112.05,0.122751,46.0,52.4,16.7,18.3,24.3,33.1,66.265,-14.1691
Tulsa,101.629,104.784,0.413008,50.3,49.7,18.2,18.1,24.4,30.4,70.5648,-9.3519
Kansas,113.745,94.221,0.897125,53.5,48.3,16.5,16.5,25.7,26.5,69.0074,3.7714
St. Thomas,106.895,104.897,0.554042,54.4,52.0,14.8,18.5,24.0,25.5,63.0095,-9.23206
Grand Canyon,111.202,98.8175,0.795411,51.4,45.8,17.8,19.8,34.1,30.2,68.3258,1.44733
Michigan St.,113.329,93.484,0.901479,51.6,48.0,15.0,18.5,29.8,28.5,65.3619,-0.190571
Cal St. Fullerton,99.3719,104.639,0.355737,48.0,49.9,18.1,17.9,24.3,29.6,66.4152,-11.8877
Southeastern Louisiana,97.8489,109.887,0.208442,48.4,51.3,20.9,17.3,30.7,30.3,64.8473,-11.9301
UC Riverside,103.844,108.363,0.379926,46.3,52.3,14.3,15.8,29.8,25.3,66.9647,-11.8827
Clemson,117.655,97.4006,0.897763,53.9,48.2,14.8,13.9,27.2,26.6,66.2804,1.04019
Central Connecticut,99.9795,108.709,0.276341,50.2,49.6,16.7,17.5,27.6,26.8,66.7935,-8.1017
Coastal Carolina,98.6529,111.342,0.199167,49.4,50.1,19.1,12.7,29.3,30.5,69.3713,-17.7859
North Carolina A&T,95.2344,114.106,0.111149,43.9,54.5,13.8,15.9,24.3,34.0,68.0399,-19.0919
Washington,114.712,101.334,0.806283,53.5,50.1,15.9,15.8,27.1,28.9,71.2216,-3.61705
Colorado St.,112.788,96.8467,0.852258,54.2,48.5,15.4,16.6,24.6,26.9,66.0492,1.10357
UMBC,104.468,111.766,0.315059,52.7,50.3,17.5,14.9,25.5,31.0,73.2919,-16.915
Louisiana Monroe,100.023,110.496,0.241371,44.8,52.6,18.2,17.2,34.1,29.0,67.1434,-13.4716
The Citadel,101.245,110.117,0.275672,50.6,53.5,18.0,16.1,27.3,26.8,65.4437,-15.7225
Hofstra,108.443,102.107,0.666507,55.4,49.0,15.7,17.7,22.9,29.7,65.7128,-6.50189
UMass Lowell,105.191,105.733,0.485214,50.4,47.3,18.2,15.5,32.1,26.9,69.8165,-6.07003
South Alabama,103.227,107.665,0.381286,50.9,50.7,16.3,16.7,22.8,31.8,68.1361,-11.1898
Butler,112.581,98.9059,0.815973,51.9,50.0,15.4,16.0,26.3,29.0,68.5465,-0.850509
SIU Edwardsville,100.224,110.3,0.249421,47.2,51.1,15.6,17.4,30.1,28.2,66.9793,-12.0453
Northern Colorado,106.178,110.349,0.39102,55.1,52.5,15.7,15.4,23.9,25.0,69.9346,-9.11115
Iowa,119.508,104.645,0.821606,52.9,52.2,13.2,16.4,27.4,30.3,71.9215,-0.71154
Florida A&M,92.1181,109.868,0.116461,47.5,51.8,21.4,16.3,26.3,31.7,68.1901,-16.8708
TCU,113.993,98.1587,0.848111,51.5,50.7,18.0,20.6,35.9,28.4,70.0037,0.850511
Middle Tennessee,98.4364,105.84,0.302798,46.0,49.5,20.6,15.8,28.2,30.4,65.4149,-13.2426
Oregon,114.202,99.6751,0.827007,51.9,51.5,14.7,17.8,28.6,27.3,67.1756,1.34343
Harvard,101.159,105.241,0.388192,50.2,50.1,17.8,16.0,26.5,31.3,67.6306,-7.72571
Florida,120.547,100.182,0.893602,51.8,49.3,15.7,14.5,37.3,28.8,71.808,2.77141
Saint Joseph's,110.419,101.653,0.721366,53.0,49.0,16.5,17.6,29.1,29.1,68.429,-4.73418
Saint Mary's,115.349,94.0827,0.912424,52.8,45.1,16.0,16.7,38.7,22.3,62.4567,1.42328
Texas A&M Corpus Chris,99.8089,101.78,0.444005,46.3,48.0,17.6,19.8,33.9,25.1,68.7801,-6.54716
Ohio St.,115.037,98.6849,0.853608,50.9,48.7,15.5,15.9,31.4,28.5,66.1952,-0.60108
Florida St.,110.735,100.785,0.747008,50.3,52.2,16.4,20.7,28.5,32.8,71.0153,-3.2097
Seton Hall,113.126,96.8959,0.855809,50.4,49.2,18.4,17.9,35.2,29.1,66.5709,0.893802
North Carolina,119.191,94.2737,0.936851,51.5,46.7,14.1,14.8,33.0,23.7,70.4932,6.98817
Houston Christian,96.7517,120.067,0.0770713,46.9,54.0,21.0,13.6,29.7,33.7,71.6347,-17.3143
Lehigh,98.9721,106.817,0.293751,49.5,51.7,16.9,17.9,22.0,23.5,70.1422,-13.4877
Navy,95.9056,111.098,0.155635,44.0,50.3,15.6,20.5,31.8,30.8,65.5156,-15.4207
Saint Francis,93.4676,118.121,0.0634402,47.2,53.0,21.2,17.1,32.9,31.3,65.5773,-18.6308
Santa Clara,108.709,103.508,0.637329,52.3,48.4,18.2,14.4,34.1,26.1,69.1522,-4.00273
Loyola Marymount,108.279,109.722,0.462005,51.6,50.4,16.3,12.4,29.4,27.1,64.9061,-11.8362
Delaware,104.508,103.866,0.5177,51.9,48.7,16.0,15.1,27.5,27.9,67.4305,-9.16443
Miami OH,99.0226,105.468,0.326248,51.0,49.3,17.2,18.0,22.0,30.7,67.4034,-12.4769
New Mexico,113.898,95.9822,0.877406,50.5,48.1,14.0,19.3,33.5,27.0,72.84,1.48453
Coppin St.,85.3449,111.306,0.0450381,42.1,51.3,22.9,21.8,27.0,38.6,66.4246,-23.0322
Temple,102.396,104.249,0.448622,46.0,50.4,14.1,17.0,28.2,29.7,66.8847,-11.784
Monmouth,104.991,108.047,0.418246,49.4,50.0,15.3,17.8,30.5,32.2,67.8124,-8.55834
Southern,97.0318,103.244,0.328784,49.4,50.4,20.1,22.1,26.5,30.8,67.769,-8.2276
Southern Miss,99.7386,107.146,0.304941,48.4,50.5,18.5,17.2,28.9,30.5,67.8925,-11.1075
California,108.015,103.185,0.628572,49.2,51.3,16.2,14.7,28.6,26.7,68.4974,-7.63096
Georgia St.,104.162,109.864,0.351389,48.5,49.3,13.8,14.2,27.2,30.5,67.9935,-11.8169
Miami FL,110.668,101.218,0.736239,52.7,51.0,17.2,16.6,28.7,28.5,68.8006,-5.05572
Georgia,109.669,98.686,0.770927,49.8,49.8,16.1,16.1,27.1,30.5,68.8301,-3.90777
North Dakota,104.861,109.751,0.371876,50.2,52.4,15.0,15.3,30.7,26.1,66.7548,-10.13
Princeton,114.711,105.712,0.719003,54.6,52.0,12.0,16.9,23.9,24.7,65.2565,0.987814
Saint Louis,111.587,112.8,0.468963,51.5,54.3,16.8,14.2,26.1,28.5,69.4984,-11.0647
Arizona St.,103.321,99.498,0.606741,47.3,51.7,14.8,19.4,21.8,29.7,69.1075,-5.85693
UNLV,112.159,100.912,0.771221,51.7,50.0,16.2,17.7,29.6,31.4,65.4256,-2.81071
Iona,102.315,108.188,0.344818,50.0,52.8,14.9,22.2,28.3,30.8,67.0178,-12.6884
Stetson,107.942,114.283,0.341538,52.8,52.3,15.9,13.5,27.4,31.5,66.2287,-6.98344
Marshall,100.083,106.276,0.333933,46.8,51.4,16.5,16.2,29.8,27.9,70.6374,-14.0939
Eastern Michigan,96.5052,110.516,0.173799,47.9,52.0,17.0,15.7,27.6,31.2,65.4082,-14.0849
Niagara,101.511,111.291,0.257717,52.0,52.2,17.4,16.5,23.4,26.8,67.3735,-12.4629
Campbell,100.635,112.207,0.2224,52.0,52.2,18.1,16.4,23.8,31.2,66.4072,-13.8252
Mercer,104.079,107.891,0.398036,50.1,51.2,16.6,17.9,30.6,31.1,66.0527,-11.5594
Lindenwood,91.5951,113.559,0.0778565,43.3,53.9,17.9,17.7,23.6,28.7,67.4924,-18.1531
