Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB
UC Santa Barbara,104.239,110.813,0.331082,53.3,50.6,19.1,14.3,25.2,26.6,67.3571,-10.7097
Arkansas Pine Bluff,101.556,118.326,0.147092,51.5,52.6,18.0,15.4,22.9,34.0,72.0031,-13.2419
Portland St.,98.7451,105.059,0.328981,46.8,52.0,16.4,18.6,29.8,28.3,69.3677,-11.0927
Indiana,109.994,100.182,0.745457,52.1,49.0,17.5,14.9,26.9,29.7,68.5652,-0.40688
Louisiana,105.061,103.22,0.550657,50.7,49.9,16.8,20.6,30.8,32.9,68.6098,-8.65121
Central Michigan,95.8911,103.646,0.290208,46.8,47.3,17.5,16.2,28.6,30.7,65.3925,-8.26474
Brown,104.112,105.519,0.461491,49.7,51.2,18.3,16.8,31.9,27.3,67.2717,-11.969
Wright St.,115.807,113.683,0.553011,58.5,55.3,16.5,16.3,28.9,28.1,71.5197,-9.35554
UC Irvine,108.831,100.111,0.723198,51.8,46.4,16.7,17.4,31.4,27.4,68.5237,-2.85522
Furman,108.993,107.625,0.536262,52.1,52.9,15.9,16.2,29.4,26.6,68.9234,-10.3088
UAB,113.197,106.571,0.666781,50.0,51.0,16.8,16.2,35.4,31.3,67.7493,-2.78968
Tulane,109.378,107.498,0.549704,54.1,51.1,15.1,17.3,20.5,32.7,72.879,-9.56699
FIU,100.186,110.264,0.249316,49.7,55.6,18.9,24.1,27.0,37.3,70.3522,-16.3531
BYU,119.836,99.9426,0.889688,54.8,48.2,15.3,16.0,32.8,24.6,69.0824,2.30561
Illinois Chicago,100.782,101.904,0.468208,50.6,48.9,17.7,17.4,22.9,28.4,68.2113,-13.4036
Xavier,111.703,99.0345,0.799677,49.1,49.5,16.4,16.0,31.9,29.0,71.118,-1.99898
Charlotte,108.683,102.14,0.671278,50.8,48.5,15.5,15.2,26.1,29.0,62.5593,-5.08352
Canisius,100.207,107.123,0.31702,49.6,51.2,19.1,16.3,32.8,28.1,67.1157,-13.301
Wake Forest,116.995,99.7394,0.862366,54.2,49.1,15.4,16.4,26.4,25.8,68.2764,-1.04708
Florida Atlantic,116.652,102.467,0.816219,54.7,49.6,16.2,16.4,33.5,29.3,68.1144,1.14106
Northeastern,105.359,109.285,0.396347,51.2,53.8,18.9,17.0,31.8,27.7,65.7884,-14.1758
Robert Morris,100.02,113.086,0.195913,50.3,53.3,20.0,15.8,33.2,29.5,67.1528,-17.1993
Seattle,104.457,99.3398,0.640516,50.7,46.3,18.4,17.4,29.9,25.6,66.8295,-8.23767
Villanova,110.439,93.7965,0.867425,50.6,48.3,14.7,16.2,24.9,24.3,63.6567,-1.15099
Howard,104.681,113.641,0.279989,51.7,51.1,21.2,16.6,33.3,30.3,67.8774,-12.1792
Utah St.,114.852,101.299,0.809079,54.0,49.8,15.5,16.4,27.8,26.6,68.7692,3.09181
Marist,96.5242,100.626,0.382578,50.8,47.1,18.4,20.4,23.1,26.8,64.6417,-10.1198
Toledo,111.653,109.568,0.553981,53.3,54.5,15.1,18.5,29.0,28.5,69.3801,-6.48356
Denver,105.946,115.876,0.263025,51.8,54.7,14.0,14.2,27.3,27.6,70.5592,-12.4409
Cal St. Northridge,98.9257,104.855,0.338632,48.9,48.3,19.0,18.0,31.1,26.9,72.731,-10.5606
Maryland,106.071,95.1147,0.777961,46.7,46.7,17.5,18.8,31.7,29.1,65.5293,-4.47147
Rice,107.223,109.386,0.442835,50.5,52.6,17.3,14.8,28.5,29.5,65.9161,-13.08
Abilene Christian,101.1,104.719,0.400231,47.1,51.6,17.7,20.2,25.9,30.4,68.5681,-11.0648
Rider,102.26,106.935,0.374221,47.7,49.2,17.9,16.0,31.4,29.0,67.9637,-11.221
Boston College,112.91,102.129,0.760253,52.5,50.5,15.3,15.7,27.3,26.3,67.0215,-3.37
Arizona,120.508,93.2661,0.950121,54.5,48.4,16.0,18.0,35.6,23.3,72.3105,4.85262
Penn St.,110.227,99.5745,0.762926,50.3,50.2,15.7,20.7,26.8,32.2,69.9119,-4.98304
Hawaii,104.23,105.191,0.473632,52.6,48.5,18.6,15.7,25.8,25.3,66.0324,-9.4379
San Diego,100.225,106.622,0.329262,49.0,52.5,18.3,18.1,27.1,31.8,71.2486,-7.9145
UC Davis,102.352,102.084,0.50754,50.2,49.1,19.3,20.9,28.6,30.6,67.2111,-8.52844
LSU,110.835,101.402,0.735552,52.3,49.7,18.6,18.2,30.7,31.4,69.96,-3.22379
Fresno St.,102.287,108.269,0.342176,51.5,53.1,18.8,15.4,24.4,30.4,65.5876,-11.6148
UMKC,100.772,103.437,0.425512,49.4,51.1,17.9,17.3,31.3,25.3,66.5568,-11.1678
Baylor,122.552,100.958,0.902824,55.7,51.4,17.7,17.0,35.0,26.9,65.843,4.472
Oral Roberts,102.063,111.48,0.266018,51.1,51.4,14.2,14.5,20.9,30.6,67.7355,-13.6011
Ohio,107.926,105.861,0.555333,52.2,49.2,14.1,19.2,28.0,31.9,67.3867,-9.23218
Winthrop,106.28,106.442,0.495601,51.9,49.5,18.7,18.2,30.4,32.9,66.9877,-9.48075
Northern Illinois,101.452,112.77,0.228603,49.8,52.9,18.1,14.3,28.0,31.2,68.2863,-14.2834
