Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
UC Santa Barbara,107.317,98.883,0.719363,50.3,46.7,18.5,17.5,28.8,27.9,66.7266,2016,-4.65218
Arkansas Pine Bluff,88.7722,110.283,0.0761962,45.0,49.2,23.8,20.2,27.7,37.4,64.9382,2016,-17.6254
Portland St.,103.06,110.352,0.312977,51.2,53.3,17.4,19.1,28.7,30.7,71.8571,2016,-13.7668
Indiana,122.111,99.467,0.913626,58.7,49.8,19.6,18.9,37.2,29.2,68.6065,2016,3.30021
Louisiana,109.816,106.162,0.596091,48.8,49.9,17.5,16.5,37.7,26.4,70.3605,2016,0.0
Central Michigan,111.282,109.358,0.549987,51.7,51.0,13.6,15.9,26.5,31.5,66.5475,2016,-9.0698
Brown,101.872,111.388,0.263669,50.2,50.8,18.8,16.0,25.6,31.3,70.6959,2016,-13.9042
Wright St.,101.208,98.2086,0.58565,51.4,48.6,16.5,20.6,19.1,25.5,65.4113,2016,-5.9044
UC Irvine,106.525,97.6536,0.731047,51.1,44.6,18.2,17.4,29.1,28.2,67.1927,2016,-0.661727
Furman,104.026,107.267,0.412695,51.5,50.8,20.5,19.2,32.1,28.8,64.9691,2016,-9.92365
UAB,109.159,104.749,0.616386,53.6,48.6,17.8,18.0,32.4,30.4,68.0728,2016,-0.868404
Tulane,97.4422,100.5,0.412097,45.0,48.8,19.1,18.7,31.7,30.2,67.6031,2016,-10.9338
FIU,103.222,108.131,0.369522,52.0,48.1,19.3,14.2,30.8,29.4,65.1261,2016,-14.4733
BYU,113.009,99.1001,0.819114,52.9,48.3,15.8,17.8,31.2,25.2,73.5117,2016,-1.37775
Illinois Chicago,90.5242,106.758,0.130465,41.5,49.3,21.1,15.7,31.9,30.7,71.2569,2016,-19.5161
Xavier,117.814,95.3465,0.919327,51.4,47.8,17.4,19.3,35.2,26.0,71.5139,2016,7.72824
Charlotte,104.277,109.249,0.369208,51.0,54.8,16.4,18.3,29.7,27.7,70.3318,2016,-12.5503
Canisius,107.849,114.148,0.342363,49.0,54.9,15.9,19.6,31.0,32.8,67.6368,2016,-13.5302
Wake Forest,107.68,100.494,0.688745,49.4,49.5,20.1,15.2,32.7,31.2,71.4808,2016,-6.22025
Florida Atlantic,95.8749,108.636,0.192002,46.7,50.0,17.6,16.6,23.1,32.9,67.4602,2016,-17.1127
Northeastern,107.179,103.237,0.606099,51.7,51.7,18.2,17.2,25.9,28.8,65.2862,2016,-6.86453
Robert Morris,91.5588,105.525,0.163466,46.6,49.4,20.4,22.0,26.1,34.7,68.2302,2016,-17.1741
Seattle,95.0228,105.846,0.224354,47.5,49.1,23.1,18.9,32.5,31.3,65.8425,2016,-11.0153
Villanova,123.975,91.9612,0.968786,56.1,46.7,16.3,20.6,28.2,29.4,65.7571,2016,8.95423
Howard,93.5916,109.62,0.13968,43.6,49.2,20.3,18.9,32.6,35.8,70.544,2016,-15.9809
Utah St.,111.2,107.072,0.607073,52.2,51.1,17.5,16.5,29.2,28.7,66.7727,2016,-7.30722
Marist,101.854,116.862,0.170691,49.4,53.6,17.3,16.9,24.3,32.0,67.9568,2016,-18.6126
Toledo,108.844,104.445,0.616427,52.7,51.0,16.6,17.3,27.9,24.6,69.0937,2016,-9.64172
Denver,103.248,104.558,0.463811,55.7,51.9,20.8,22.7,20.1,31.0,61.0148,2016,-10.0444
Cal St. Northridge,100.044,106.861,0.319074,46.7,51.7,19.4,18.9,27.6,31.3,70.408,2016,-13.2831
Maryland,115.983,97.5309,0.880021,55.2,46.5,18.9,16.4,29.1,29.9,67.05,2016,4.01609
Rice,105.445,116.506,0.241002,51.2,56.2,17.9,18.4,26.7,32.2,69.7606,2016,-14.6598
Abilene Christian,97.3025,112.513,0.158377,50.5,54.6,19.2,19.2,24.5,27.6,67.4413,2016,-14.2936
Rider,98.924,104.433,0.349044,48.3,47.8,19.2,18.2,28.6,29.4,64.3659,2016,-13.8827
Boston College,95.9338,100.289,0.375056,47.5,52.4,20.0,19.5,21.8,28.6,66.9128,2016,-12.2229
Arizona,116.812,96.7923,0.89678,53.6,46.2,18.2,16.0,35.0,24.9,68.1662,2016,3.47385
Penn St.,102.198,100.76,0.540665,46.6,48.8,16.9,17.6,28.7,29.4,66.122,2016,-4.63599
Hawaii,107.785,95.9503,0.792078,51.9,44.9,18.1,19.8,30.4,26.4,70.5247,2016,0.952885
San Diego,93.8158,102.13,0.273587,45.2,50.0,20.6,17.4,26.0,28.8,66.1097,2016,-13.4163
UC Davis,94.0482,99.8758,0.333726,47.9,48.3,20.7,19.7,25.0,28.4,65.9879,2016,-12.7446
LSU,112.54,101.512,0.766014,51.1,51.8,16.2,18.8,29.8,29.9,72.0108,2016,-1.78972
St. Francis NY,93.295,105.733,0.191668,45.9,46.6,20.4,18.6,32.2,30.2,65.5235,2016,-13.5949
Fresno St.,107.238,101.141,0.662219,48.4,48.8,15.1,21.0,30.0,29.7,68.9141,2016,-0.715521
UMKC,102.692,110.971,0.290761,48.8,50.3,19.4,17.2,32.7,31.2,66.2322,2016,-12.7724
Baylor,118.886,100.51,0.873358,51.6,51.2,18.6,19.8,40.0,28.8,66.4901,2016,3.48047
Oral Roberts,107.492,108.088,0.484094,50.5,52.1,17.3,15.9,28.1,30.0,68.9184,2016,-9.24362
Ohio,111.627,107.534,0.605774,54.2,49.6,16.9,14.5,24.9,25.8,69.8255,2016,-5.19272
Winthrop,107.068,108.31,0.466895,54.2,47.7,17.8,15.9,26.0,32.0,72.7575,2016,-4.73437
Northern Illinois,101.535,101.663,0.496355,47.8,49.0,18.5,19.9,32.1,27.7,67.7028,2016,-6.50898
Georgia Tech,114.726,99.4122,0.838573,49.8,49.1,16.7,14.6,37.5,27.2,66.9383,2016,-0.0128919
Kent St.,106.39,107.783,0.462686,49.0,51.0,17.5,16.8,34.1,28.0,67.3308,2016,-6.83085
High Point,110.352,110.389,0.499025,51.9,52.9,15.9,20.6,31.9,31.7,65.9466,2016,-5.55607
Weber St.,102.692,100.404,0.564415,54.5,47.4,19.6,15.6,25.9,25.6,66.7688,2016,-3.50176
Maine,95.5503,114.413,0.111866,49.2,55.5,20.8,21.0,27.9,32.3,76.9146,2016,-17.1911
Sam Houston St.,102.508,108.244,0.348376,49.3,51.9,16.9,18.7,28.8,23.7,66.9049,2016,-8.76498
Incarnate Word,100.741,111.562,0.236256,49.9,52.9,17.8,18.2,22.5,28.8,67.3615,2016,-6.15967
SMU,118.164,98.0372,0.895425,55.3,46.6,18.8,18.3,41.2,28.5,65.6955,2016,3.72378
Richmond,113.526,105.019,0.710066,54.7,50.9,14.7,18.2,23.2,31.7,68.2933,2016,-5.39977
Providence,110.307,96.2791,0.826953,48.0,49.3,16.1,20.6,30.4,30.3,68.3973,2016,3.34808
Louisville,112.362,90.6886,0.92161,51.9,44.7,17.1,21.6,38.5,29.2,66.2606,2016,4.29706
Davidson,113.852,106.988,0.671529,52.0,52.0,14.2,15.8,24.9,30.8,70.4109,2016,-1.96952
St. Bonaventure,114.109,105.374,0.714189,51.5,49.6,16.5,19.0,31.3,33.4,67.9981,2016,0.0194977
North Florida,114.432,113.928,0.512693,57.9,51.8,15.3,14.4,24.1,33.4,70.4009,2016,-5.02934
Missouri St.,100.9,105.758,0.36801,46.1,51.5,18.6,17.6,28.0,28.1,68.8657,2016,-10.5103
Vanderbilt,115.243,94.2856,0.909558,52.9,43.1,16.8,14.2,27.2,29.3,67.7468,2016,-0.376613
Washington St.,102.094,105.073,0.418051,50.7,49.9,19.7,14.7,23.9,29.6,68.8121,2016,-10.3003
Akron,109.829,101.173,0.719923,52.7,46.8,15.5,16.7,28.5,30.4,67.3743,2016,-1.20346
Bowling Green,100.067,106.749,0.322289,48.9,50.9,18.5,17.1,28.1,28.4,68.3892,2016,-11.7319
Memphis,106.757,97.2669,0.74471,46.1,44.9,16.4,18.9,32.4,29.6,73.4728,2016,-5.50763
Central Arkansas,100.786,118.649,0.132806,49.9,53.8,19.7,15.8,31.3,29.8,71.9636,2016,-15.8066
Murray St.,107.739,105.956,0.547825,51.6,52.2,17.8,19.2,28.7,26.2,64.3702,2016,-8.79503
American,92.4767,107.725,0.147391,49.0,51.6,22.1,19.2,23.5,30.2,61.2857,2016,-13.8406
Notre Dame,118.979,104.436,0.817459,54.0,49.5,15.3,14.8,32.7,32.1,64.6008,2016,2.32206
Creighton,113.687,97.4457,0.8548,53.8,49.0,16.1,17.5,27.3,26.1,70.3969,2016,-1.85382
Duke,121.924,99.9713,0.907451,53.7,49.5,14.3,17.4,33.2,34.7,67.7992,2016,4.21115
Indiana St.,98.1361,100.105,0.443129,44.7,47.2,18.6,17.8,27.3,25.8,70.3133,2016,-8.72899
UCLA,112.396,100.943,0.77487,50.3,49.7,16.9,16.1,32.8,30.4,69.4688,2016,-3.83802
Pacific,100.947,105.009,0.38847,49.0,50.1,19.8,16.5,28.5,29.6,66.6736,2016,-12.5871
Texas A&M,113.937,93.33,0.908405,51.2,47.4,17.4,20.7,34.8,29.2,67.4833,2016,5.14523
North Texas,101.469,112.266,0.238133,49.3,53.3,19.5,17.2,30.3,31.2,69.7523,2016,-14.514
Nevada,101.749,98.8611,0.582044,45.5,46.1,17.6,17.3,30.7,30.3,71.2641,2016,-5.00495
UTSA,97.9312,116.867,0.1158,47.0,59.0,18.1,17.2,26.0,27.8,72.1631,2016,-20.3155
Hartford,100.494,114.912,0.176264,49.1,53.3,16.3,18.5,18.9,35.8,69.3317,2016,-17.4683
Mississippi Valley St.,91.3034,111.682,0.0897373,43.0,51.0,18.5,19.4,27.1,34.6,71.304,2016,-21.3367
Gardner Webb,101.21,107.56,0.331853,47.7,51.4,18.6,18.8,31.6,29.3,69.214,2016,-10.1691
Norfolk St.,104.435,112.766,0.292624,48.7,50.2,17.7,19.1,32.2,34.3,67.4646,2016,-10.7889
Chattanooga,106.575,101.77,0.629628,51.7,50.5,18.0,20.2,32.3,29.0,66.3669,2016,0.552254
Georgia Southern,104.89,109.062,0.389708,47.5,51.8,16.2,20.0,29.7,34.5,68.6077,2016,-11.2513
Northern Arizona,93.4469,113.535,0.0962768,45.2,56.2,18.1,17.5,22.3,29.6,70.3119,2016,-18.6296
Nebraska,109.732,101.668,0.706368,50.3,50.1,17.4,19.7,31.8,28.1,67.27,2016,-5.46256
Yale,109.985,96.4678,0.818768,52.2,46.7,19.9,17.8,39.3,24.3,65.8459,2016,0.0968654
Tennessee Martin,104.245,109.445,0.363579,50.5,50.8,18.2,17.0,29.5,29.4,66.5658,2016,-8.88607
Morehead St.,106.073,104.02,0.555971,48.0,50.6,18.6,21.4,38.6,29.0,65.3696,2016,-6.27077
Tennessee,111.336,103.188,0.705563,48.0,48.5,15.8,17.3,32.1,34.5,69.0705,2016,-5.82949
Texas St.,99.5436,103.758,0.382999,46.6,49.6,17.8,20.8,29.8,30.6,63.2733,2016,-10.9049
Jackson St.,95.2172,101.739,0.318232,45.7,45.5,17.8,20.7,32.3,28.4,67.2983,2016,-10.6161
Mississippi,111.822,101.726,0.748033,48.1,49.7,17.1,20.1,34.6,31.1,68.5219,2016,-1.40168
Wyoming,109.083,108.933,0.503947,53.4,50.1,17.0,15.8,18.1,30.4,64.6409,2016,-10.4314
Minnesota,100.474,104.152,0.398084,45.9,51.7,16.5,17.8,26.5,29.2,68.4589,2016,-12.6811
Illinois,106.475,103.119,0.59105,50.2,53.6,14.9,19.0,21.5,28.1,68.1188,2016,-7.11477
LIU,101.301,112.121,0.237374,47.9,50.9,18.4,19.7,32.2,31.1,72.0976,2016,0.0
UTEP,103.823,107.012,0.41387,52.4,49.5,17.1,19.2,24.5,31.7,71.6372,2016,-9.56111
Loyola Chicago,100.375,101.647,0.463853,48.3,49.6,18.9,22.2,22.5,30.6,64.8194,2016,-9.15147
Texas,112.818,97.0552,0.849503,49.4,47.7,15.4,18.5,30.7,32.0,65.4134,2016,3.07357
Maryland Eastern Shore,98.7256,113.533,0.166991,49.2,53.0,23.0,18.8,31.4,29.7,67.3819,2016,-15.3916
Western Illinois,100.646,107.259,0.324814,49.3,50.1,18.2,15.2,25.5,27.0,67.6904,2016,-11.3003
Fairleigh Dickinson,104.103,116.339,0.217909,51.2,52.4,17.7,21.0,28.4,35.8,71.5755,2016,-9.73466
Cornell,98.3813,108.879,0.237582,48.7,51.5,17.9,19.8,22.4,36.1,72.4393,2016,-11.4476
West Virginia,115.668,91.5903,0.936078,49.8,48.4,20.0,25.0,42.0,27.1,69.9966,2016,7.31573
Cleveland St.,91.2844,102.488,0.208947,44.8,51.6,21.8,19.9,29.4,31.7,63.948,2016,-15.777
Southern Illinois,105.826,103.428,0.565495,51.1,50.9,19.4,21.3,31.7,25.6,69.6054,2016,-3.2043
San Diego St.,105.019,91.3013,0.833373,47.2,42.5,18.4,18.0,33.9,27.2,64.9552,2016,0.206331
