Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
Air Force,103.919,108.181,0.386469,49.8,54.6,17.9,17.5,26.5,24.6,66.9806,2017,-13.8967
Texas Tech,111.896,97.6211,0.827702,52.9,50.8,16.5,20.3,30.0,25.7,63.8105,2017,-1.20166
Bradley,97.3361,103.061,0.341368,48.5,48.9,21.9,18.4,26.3,29.4,67.6507,2017,-11.0454
Troy,109.598,107.287,0.560962,51.6,50.1,17.8,17.6,30.8,29.8,67.997,2017,-7.89745
Gonzaga,118.501,87.2474,0.97128,56.6,41.1,16.2,17.1,30.0,26.2,70.1876,2017,7.79462
South Florida,97.291,106.928,0.25233,47.7,51.0,23.5,19.1,30.6,34.0,68.7802,2017,-14.6329
Army,97.9833,104.9,0.313376,51.5,50.3,20.6,17.3,26.4,24.0,71.3561,2017,-13.5057
Loyola MD,97.9664,104.478,0.323003,46.7,52.2,22.0,21.3,33.0,28.0,65.8463,2017,-10.5106
Belmont,109.685,104.206,0.643213,55.7,48.3,18.4,16.0,25.6,25.0,68.1244,2017,-0.570927
Siena,106.173,106.854,0.481633,49.9,50.3,19.7,17.2,35.5,29.3,68.6524,2017,-9.95411
Southern Utah,101.568,119.373,0.134993,47.7,56.6,18.4,16.7,29.4,29.4,71.3042,2017,-22.7343
N.C. State,112.535,106.117,0.662679,52.7,51.6,18.5,15.6,29.8,31.4,70.5551,2017,0.0
Pittsburgh,113.444,102.184,0.768912,51.4,51.3,17.6,14.3,28.2,29.5,65.6476,2017,-2.06288
Montana,105.883,108.048,0.442062,51.2,52.0,15.6,18.2,28.0,26.8,66.7989,2017,-10.6526
Massachusetts,100.363,100.349,0.500399,49.7,46.9,20.3,19.6,28.1,30.2,72.2013,2017,-9.98097
Mount St. Mary's,99.8422,102.501,0.425015,51.0,49.9,19.2,21.7,23.1,34.8,66.9168,2017,-7.75652
Bryant,101.771,112.425,0.24141,49.7,51.5,18.8,17.6,29.2,30.6,69.1943,2017,-14.5737
Syracuse,116.851,101.549,0.833976,53.5,50.3,18.0,19.7,31.6,34.5,66.8469,2017,-1.09073
Jacksonville St.,105.364,105.058,0.508338,52.6,49.4,20.7,16.6,31.2,28.5,63.663,2017,-7.87493
McNeese St.,96.4916,110.913,0.167728,47.5,50.6,19.8,17.9,25.4,36.2,70.2092,2017,-16.8793
Quinnipiac,101.592,113.489,0.218654,47.9,52.6,19.2,16.8,34.1,30.2,72.8862,2017,-15.3784
Rhode Island,112.04,94.9657,0.87005,50.8,45.0,16.4,19.4,32.8,29.7,66.3858,2017,0.484705
Detroit Mercy,103.035,114.448,0.230033,50.9,56.9,19.5,19.4,26.9,31.4,72.4686,2017,0.0
Radford,95.9187,108.34,0.19776,47.5,51.2,22.4,15.1,33.8,26.9,64.2172,2017,-11.6588
East Tennessee St.,108.229,98.0037,0.757927,55.8,48.7,20.8,22.0,30.1,27.4,70.1188,2017,-0.601557
Duquesne,102.431,106.89,0.379878,48.9,49.9,20.0,17.6,29.0,30.2,70.3214,2017,-14.6512
Virginia Tech,119.044,103.45,0.834062,56.9,51.0,17.2,16.5,23.4,30.5,68.6586,2017,3.30382
VCU,108.836,96.8315,0.79314,51.0,47.5,17.8,21.0,31.3,27.5,68.7756,2017,1.409
North Dakota St.,103.539,105.383,0.449419,52.2,50.4,16.9,17.2,25.0,28.0,66.7799,2017,-5.85128
Northwestern St.,100.962,113.238,0.210896,50.1,53.9,20.8,19.2,29.6,32.4,70.9757,2017,-11.9361
Fairfield,99.0153,102.987,0.388824,51.3,49.5,18.6,17.5,24.3,28.2,69.2803,2017,-8.91315
Arkansas,115.517,100.75,0.828202,51.4,47.8,16.6,18.5,31.9,34.2,69.5944,2017,3.88725
Cal St. Bakersfield,101.263,92.9494,0.728126,48.3,43.6,20.8,22.8,32.6,30.6,66.794,2017,-3.2594
George Washington,107.869,104.721,0.584326,49.5,50.2,19.3,16.2,32.7,26.4,65.6177,2017,-5.11658
UNC Asheville,105.835,102.816,0.582437,54.1,52.4,16.0,22.6,24.4,27.3,68.1814,2017,-3.39296
Dayton,111.827,97.8538,0.822743,53.6,47.7,16.9,20.9,25.6,27.4,68.2453,2017,1.55418
Stephen F. Austin,96.2793,103.857,0.295,49.2,52.1,24.8,22.9,34.7,28.4,66.248,2017,-9.34711
Arkansas St.,105.728,103.245,0.567885,51.9,49.2,18.6,18.8,31.0,27.5,67.3292,2017,-5.57519
Southeast Missouri St.,102.568,109.563,0.318921,51.4,55.3,17.6,21.9,24.7,30.1,68.4195,2017,-12.8406
Binghamton,95.654,110.224,0.163774,48.8,52.2,18.6,17.1,23.5,28.2,65.8155,2017,-15.1881
George Mason,106.833,104.579,0.561009,49.3,48.6,18.7,14.2,31.6,24.5,68.6352,2017,-5.17899
Old Dominion,100.531,96.9736,0.602128,45.6,46.4,17.5,20.1,35.5,25.6,61.1544,2017,-5.62027
Green Bay,101.605,103.623,0.443723,48.3,50.8,18.0,18.6,30.4,28.6,74.1255,2017,-7.5483
UNC Greensboro,107.316,104.755,0.568999,52.4,50.2,19.9,19.4,34.3,30.4,66.9544,2017,-2.54726
Little Rock,98.0063,104.83,0.315616,49.1,51.8,19.5,19.9,28.4,27.6,63.3585,2017,-11.8837
Austin Peay,105.468,117.722,0.220287,52.4,56.4,17.3,17.6,24.2,35.8,69.962,2017,-13.6758
