Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
UC Santa Barbara,110.52,106.53,0.604179,53.0,49.9,14.9,16.6,28.7,27.0,66.6998,2018,-3.90382
Arkansas Pine Bluff,92.9388,110.242,0.123091,49.6,49.2,20.6,22.7,23.4,37.8,67.6134,2018,-16.2911
Portland St.,107.094,107.352,0.493076,49.2,55.0,16.5,22.0,34.7,30.5,74.5336,2018,-6.77949
Indiana,109.184,98.5285,0.765104,51.1,50.8,18.2,19.7,31.8,29.5,66.5523,2018,-2.84902
Louisiana,112.432,100.992,0.774518,52.7,49.1,18.3,19.6,35.9,27.9,70.4193,2018,-0.49638
Central Michigan,109.915,109.757,0.504133,51.0,52.5,17.0,17.9,31.1,31.0,67.0761,2018,-9.052
Brown,101.317,109.489,0.290699,48.5,54.4,18.4,19.3,29.4,26.7,71.5471,2018,-11.5299
Wright St.,99.7118,97.505,0.563992,48.6,48.3,18.6,21.0,28.7,25.3,68.0919,2018,-3.49306
UC Irvine,99.6509,97.68,0.55718,48.1,45.0,20.5,14.8,32.3,24.8,66.9764,2018,-9.11924
Montana,107.044,98.7534,0.716487,51.2,48.4,17.4,21.2,33.5,26.1,67.8775,2018,-1.11783
UAB,108.42,102.929,0.645128,54.7,50.6,19.0,17.6,30.9,25.0,67.6132,2018,-6.11263
Tulane,105.783,106.501,0.480566,51.5,50.5,18.8,17.2,27.5,30.0,69.082,2018,-8.6621
FIU,98.8494,102.772,0.389961,47.1,50.6,15.6,19.8,25.9,27.4,68.6697,2018,-13.0127
BYU,107.051,98.5386,0.721683,54.1,51.3,16.8,18.5,22.5,22.8,67.5458,2018,-1.78588
Illinois Chicago,100.506,102.286,0.44968,50.6,46.7,20.8,17.2,28.8,30.4,72.0887,2018,-9.95437
Xavier,121.329,97.6611,0.923828,55.9,49.9,17.2,15.7,30.2,23.1,70.4629,2018,8.80297
Charlotte,98.9176,113.401,0.172018,48.3,54.7,20.6,17.6,26.2,28.8,71.2195,2018,-16.8728
Canisius,106.28,104.807,0.54004,54.2,50.5,18.7,21.6,29.9,30.4,68.7583,2018,-6.47303
Wake Forest,110.779,101.942,0.722326,50.5,51.5,18.8,17.5,30.5,27.7,69.5355,2018,-7.89539
Florida Atlantic,95.701,102.359,0.315742,43.9,49.2,18.2,16.6,28.5,27.5,68.9522,2018,-12.6746
Northeastern,106.501,100.067,0.671856,56.9,49.4,19.8,17.9,25.3,25.6,66.8262,2018,-4.00772
Robert Morris,93.5782,102.395,0.262026,47.4,50.5,20.9,22.3,31.2,31.2,69.3832,2018,-11.7377
Seattle,104.054,105.016,0.473575,51.0,47.2,19.6,15.5,29.7,27.9,67.2748,2018,-7.36
Villanova,128.73,94.4217,0.972465,59.5,48.5,15.0,18.2,29.6,27.1,68.3979,2018,10.6337
Howard,98.8252,119.677,0.0996106,48.8,53.4,18.0,18.8,28.9,34.9,70.1976,2018,-18.5338
Utah St.,106.379,104.17,0.560043,53.2,51.9,18.8,17.6,25.4,26.4,66.742,2018,-7.96754
Marist,98.8692,112.235,0.188741,52.7,52.6,21.7,14.8,22.6,29.8,69.228,2018,-20.1264
Toledo,113.513,108.586,0.624882,55.3,49.5,16.6,13.4,27.8,27.8,68.2755,2018,-4.42562
Denver,102.838,106.125,0.410533,52.4,51.3,21.8,15.7,30.6,24.9,66.3337,2018,-9.56847
Cal St. Northridge,97.6694,113.631,0.149226,47.7,52.6,18.3,16.4,23.3,32.7,65.766,2018,-19.2795
Maryland,114.168,98.1132,0.851041,54.3,47.5,20.4,16.3,31.4,28.2,66.3326,2018,-0.619968
Rice,99.1123,108.731,0.256321,48.0,52.6,20.7,16.5,27.6,28.4,67.7032,2018,-17.3576
Abilene Christian,96.8521,106.902,0.243181,50.4,51.4,20.3,21.6,27.3,29.7,68.5491,2018,-11.2804
Rider,108.242,107.172,0.528528,52.6,52.8,17.6,20.5,33.5,28.6,73.7259,2018,-3.41217
Boston College,112.955,103.127,0.740159,52.1,51.8,18.2,17.6,30.1,26.0,69.6911,2018,-1.8448
Arizona,117.195,100.731,0.850795,56.3,49.9,17.5,16.7,33.2,25.1,67.0922,2018,3.78674
Penn St.,115.289,93.9325,0.913406,52.6,48.3,17.3,19.5,31.7,28.2,67.5134,2018,-0.458794
Hawaii,99.701,101.692,0.443392,50.1,49.9,19.5,19.9,26.3,24.5,67.811,2018,-8.44045
San Diego,104.441,99.5894,0.63343,53.1,46.3,19.6,17.8,22.4,26.4,66.7621,2018,-5.73237
UC Davis,103.594,101.022,0.571776,52.0,49.4,18.6,21.9,24.4,29.1,66.2453,2018,-4.3894
