Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
UC Santa Barbara,113.639,109.969,0.593267,54.7,52.6,18.7,16.8,31.0,25.5,64.3273,2026,-9.11903
Arkansas Pine Bluff,104.909,115.819,0.242735,50.0,52.6,18.7,16.5,27.9,34.2,69.2808,2026,-12.9109
Toledo,114.557,111.179,0.585215,54.5,54.3,14.7,17.8,29.5,33.7,67.8534,2026,-9.01815
Indiana,121.911,102.074,0.885169,56.1,49.0,15.1,15.1,26.9,29.3,66.1992,2026,-0.396959
Louisiana,101.542,111.818,0.24812,47.1,52.6,16.8,18.3,28.3,32.3,63.2705,2026,-16.9768
Central Michigan,106.503,113.569,0.323266,51.8,54.0,18.1,17.0,29.2,34.3,67.0557,2026,-15.4189
Brown,97.7929,107.97,0.242586,48.6,51.3,19.5,18.7,29.0,30.0,66.6887,2026,-14.5356
Wright St.,112.362,109.022,0.585886,54.4,52.1,16.3,16.5,33.2,29.2,66.9769,2026,-6.55935
UC Irvine,104.483,98.6499,0.659407,49.7,45.4,17.9,18.5,31.1,31.5,68.1569,2026,-5.84885
Montana,107.158,107.027,0.503505,55.8,50.5,19.6,14.3,20.7,29.6,69.4994,2026,-10.0229
UAB,108.516,106.014,0.566681,48.4,50.0,12.5,16.1,32.5,27.7,69.3063,2026,-6.16937
Tulane,107.489,110.072,0.432154,49.4,50.7,15.4,17.1,22.8,35.8,66.8556,2026,-9.07626
FIU,107.686,108.556,0.476869,50.6,52.9,17.7,20.1,33.9,34.8,71.6118,2026,-11.4497
BYU,124.75,104.321,0.88661,54.7,51.2,15.3,16.5,34.6,29.3,69.7791,2026,4.55687
Illinois Chicago,109.619,103.854,0.650519,49.7,49.9,17.6,19.6,36.5,32.1,66.2765,2026,-8.56275
Xavier,117.258,109.287,0.692021,51.8,54.1,13.9,15.5,26.5,29.5,70.3106,2026,-4.96877
Charlotte,112.874,113.502,0.484058,53.4,50.9,18.1,13.6,33.9,32.5,63.3802,2026,-10.1739
Canisius,95.5632,113.985,0.116371,46.3,52.2,19.6,16.0,29.3,29.8,64.0593,2026,-17.6122
Wake Forest,117.882,105.641,0.779185,52.6,52.0,15.4,17.8,29.7,32.9,68.2902,2026,-2.85247
Florida Atlantic,109.554,105.614,0.603768,52.2,49.5,17.6,15.5,31.6,28.3,69.8134,2026,-8.28138
Northeastern,106.906,118.47,0.234835,52.4,56.4,16.4,16.8,27.3,30.2,69.7416,2026,-19.2001
Robert Morris,109.962,108.903,0.527795,54.9,50.0,18.6,15.9,37.5,28.8,64.5429,2026,-6.67031
Seattle,102.617,96.4532,0.670919,49.4,48.3,17.0,21.1,24.6,31.8,67.7283,2026,-5.34826
Villanova,119.597,100.543,0.880348,53.7,51.3,15.1,18.7,32.4,31.7,64.9464,2026,3.95143
Howard,103.481,106.233,0.425106,50.6,47.4,19.8,21.3,36.6,32.0,69.0479,2026,-6.86156
Utah St.,123.026,102.091,0.895213,56.6,49.6,15.4,20.6,33.1,32.2,67.5537,2026,4.00133
Marist,99.5823,102.458,0.418885,49.3,45.6,16.9,19.5,29.1,28.3,66.2205,2026,-9.25719
Portland St.,103.062,102.618,0.512386,50.6,48.8,16.9,18.0,30.0,26.4,67.7848,2026,-6.25969
Denver,114.966,121.37,0.349009,53.6,56.0,14.3,13.0,29.8,32.8,68.0468,2026,-10.9015
Cal St. Northridge,108.926,108.902,0.500632,51.3,51.6,17.5,16.4,31.9,26.6,73.4558,2026,-8.20355
Maryland,111.755,105.904,0.649864,48.1,54.4,18.6,14.9,33.8,29.1,66.2915,2026,-5.42253
Rice,108.985,112.554,0.408406,48.5,51.0,17.9,15.7,35.3,34.6,65.6228,2026,-12.2713
Abilene Christian,99.8491,107.025,0.310431,47.5,56.5,20.8,23.4,31.0,29.1,67.4417,2026,-12.6839
Rider,96.3146,120.591,0.0701085,42.8,55.2,16.9,15.3,32.6,32.8,65.6727,2026,-19.6833
Boston College,103.718,101.502,0.561798,47.0,48.9,15.4,14.9,28.3,28.6,65.9592,2026,-10.0017
Arizona,126.931,91.3908,0.977638,55.1,45.0,15.1,16.7,38.1,26.9,70.0266,2026,13.6738
Penn St.,113.76,111.727,0.551658,53.0,58.4,15.6,17.7,25.9,31.1,67.5166,2026,-7.17059
Hawaii,106.87,101.839,0.635179,52.0,46.4,18.9,16.9,31.4,25.0,69.581,2026,-3.7283
San Diego,108.482,112.281,0.402307,51.2,54.7,17.5,18.9,28.1,34.5,68.136,2026,-13.4058
UC Davis,106.953,106.668,0.507665,51.8,51.7,17.9,19.8,25.2,30.5,68.869,2026,-8.39804
LSU,118.829,106.743,0.774427,52.8,50.9,15.6,13.9,33.1,31.7,66.5863,2026,-4.33305
