
"UC Santa Barbara",110.555,104.581,0.654491,18-11,18,29,52.1,46.4,33.8,34.3,18.1,16.8,36.1,32.6,63.4091,49.5,43.5,38.1,34.4,0,0,57.4,57,34.1,35.1,63.4091,,,,2012,,,,-3.45578,70,
"Arkansas Pine Bluff",92.8351,112.515,0.0987702,11-22,11,33,45.5,50.7,42.1,42.3,22.4,21.5,31.5,35.2,65.1946,45.8,47.9,30,37.3,0,0,52.1,54.9,28.4,34.5,65.1946,,,,2012,,,,-16.2047,63.7,
"Portland St.",107.102,110.875,0.401768,15-15,15,30,53.1,51.4,45.2,30.1,20.2,16,32.4,31.5,66.1489,53.2,51.2,35.2,34.5,0,0,43.3,50.9,30.3,31.1,66.1489,,,,2012,,,,-8.95923,73.8,
Indiana,121.159,98.184,0.91819,27-9,27,36,55.2,48.1,44.5,34.3,19.2,20,35.3,31.3,66.5889,51.5,46.2,43.1,34.9,0,0,51.3,44.4,27.5,31.6,66.5889,,,,2012,,,,5.73402,76.3,
Louisiana,94.1403,96.9074,0.417474,15-16,15,31,47.2,45.2,42.6,40.5,23,19.4,32.8,31,68.7409,46.7,42.9,32.3,34.1,0,0,48.2,41.5,29.4,27.3,68.7409,,,,2012,,,,0,62.5,
"Central Michigan",96.7934,106.171,0.256646,10-21,10,31,45.3,50,32.8,46.8,18.8,22.5,31.6,35.3,63.9762,42.8,47,33.4,36.9,0,0,46.6,60.1,34.2,36.1,63.9762,,,,2012,,,,-13.6505,63.8,
Brown,94.8251,110.39,0.148315,7-23,7,30,47.1,52.2,28.3,27.7,19.1,17.7,24.7,30.6,64.1011,42.9,49,35.9,39.2,0,0,59.9,55,38.8,32.8,64.1011,,,,2012,,,,-16.9798,62,
"Wright St.",94.492,99.4967,0.355829,12-19,12,31,45.7,52.3,37.4,45.6,21.8,25.5,25,30,62.4539,42.6,54,34.3,33.3,0,0,49.8,58.7,35.1,40.9,62.4539,,,,2012,,,,-10.8137,69.9,
"UC Irvine",96.8049,105.483,0.27145,10-19,10,29,48.3,47.9,32,36.8,21.1,18.2,30,33.2,68.6425,45.1,44,35.7,37.1,0,0,63.8,55.4,37.9,33.3,68.6425,,,,2012,,,,-12.0588,63.9,
Montana,102.426,96.4482,0.66631,23-7,23,30,52.5,45.3,39.5,39,18.5,22.1,27.4,31.6,64.5465,50.4,43.3,38.2,33.3,0,0,55.5,44.6,31.3,29.4,64.5465,,,,2012,,,,-1.54455,71.9,
UAB,100.572,97.7012,0.582495,15-16,15,31,47.7,46.6,36.3,29.6,22.8,18.8,34.8,31.3,61.2026,45.7,44.1,34.4,34.8,0,0,53.8,52.5,33.4,30.3,61.2026,,,,2012,,,,-5.68444,68.6,
Tulane,98.933,100.891,0.443892,13-16,13,29,47.3,47.9,40.4,35.6,19.8,21.9,30.4,29.4,64.3578,45.9,47.2,33.4,32.9,0,0,55.1,58.7,33.7,32.8,64.3578,,,,2012,,,,-9.41143,65.9,
FIU,99.1044,104.899,0.3422,8-20,8,28,46.4,49.8,39,47.7,22.3,21.1,32.5,35.8,63.6703,44.9,50.1,33.4,32.8,0,0,43.2,58.3,29.5,37.4,63.6703,,,,2012,,,,-13.2174,72.3,
BYU,104.897,93.8644,0.782096,24-9,24,33,52,47.7,36.5,34.3,18.1,21.5,30,26.8,71.8099,51.9,47.8,34.9,31.6,0,0,61.4,57.4,32.5,36,71.8099,,,,2012,,,,0.415546,70.3,
"Illinois Chicago",97.8124,109.29,0.218234,7-21,7,28,45.7,51.8,33,43.7,22.6,18,34,31.4,63.989,43.6,49.7,32.9,37.9,0,0,52.4,53.1,36.9,29.4,63.989,,,,2012,,,,-14.3769,67.3,
Xavier,108.208,96.8225,0.782205,23-13,23,36,49.7,45.6,41.2,35.5,18.5,18.4,31.9,30.2,66.4598,48.7,45.5,35.1,30.5,0,0,52.4,58.2,25.2,35.6,66.4598,,,,2012,,,,0.697422,69.5,
Charlotte,100.396,98.2484,0.561861,13-17,13,30,46.9,48.9,39,34.2,20.2,20.9,30,30.5,67.4546,45.8,48.1,32.5,33.5,0,0,56.6,56.6,35.1,37.2,67.4546,,,,2012,,,,-6.99566,65.9,
Canisius,96.2562,112.828,0.138619,5-25,5,30,46.2,51.7,29.1,35,21.6,18.4,33.9,36.5,65.4912,44.6,51.7,32.9,34.5,0,0,46.4,65.8,33.5,36.8,65.4912,,,,2012,,,,-18.9729,72.8,
"Wake Forest",103.057,105.061,0.44487,13-18,13,31,47.9,50.2,40.9,30.8,19.1,18.2,25.8,33.6,66.0726,46.9,48.6,33.3,35.5,0,0,52.7,52.7,30.9,34.4,66.0726,,,,2012,,,,-8.1072,73.6,
"Florida Atlantic",101.295,104.033,0.423917,10-19,10,29,46.7,48.3,28.9,43.2,18.5,21,32.7,34.8,63.6936,44.9,46.4,33.3,36.3,0,0,52.6,45.1,35.2,23.6,63.6936,,,,2012,,,,-10.5829,66,
Northeastern,100.313,102.702,0.432746,14-17,14,31,48.2,49.2,37.9,40.2,24.1,22.1,34.1,34.5,63.5636,46.3,49.1,34.8,33.1,0,0,54.6,58.7,30.7,30.7,63.5636,,,,2012,,,,-8.26456,70.2,
"Robert Morris",104.625,101.391,0.589304,26-11,26,37,47.7,49.6,42.7,47.7,21.1,23.8,40.2,30.9,62.8332,45.1,47.6,35.2,35.2,0,0,58.4,58,33.8,37.4,62.8332,,,,2012,,,,-2.69195,70.1,
Seattle,99.0328,102.762,0.395304,10-15,10,25,48.5,49.9,25.7,44.3,19.9,20.1,33.7,29.6,74.1462,48.2,47.8,32.6,35.8,0,0,48,50.9,33.4,36.4,74.1462,,,,2012,,,,-10.2468,69,
Villanova,109.698,99.3851,0.756837,13-19,13,32,46.5,47.5,39.2,34.7,20.4,17.2,37.6,32,67.1858,46.2,45.5,31.5,34,0,0,51.7,56.7,33.7,35.8,67.1858,,,,2012,,,,-5.21153,75.4,
