
"UC Santa Barbara",107.317,98.883,0.719363,18-14,18,32,50.3,46.7,27.4,41.8,18.5,17.5,28.8,27.9,66.7266,48.4,47.8,35.8,30,0,0,57.5,55.2,36.1,40.9,66.7266,,,,2016,,,,-4.65218,70.8,
"Arkansas Pine Bluff",88.7722,110.283,0.0761962,8-25,8,33,45,49.2,30.1,53.7,23.8,20.2,27.7,37.4,64.9382,44.7,49.6,30.3,32.3,0,0,47,59,38.7,32.7,64.9382,,,,2016,,,,-17.6254,61.1,
"Portland St.",103.06,110.352,0.312977,11-18,11,29,51.2,53.3,33.9,32.8,17.4,19.1,28.7,30.7,71.8571,52.7,51.4,31.5,38.3,0,0,57.6,50.6,26.8,31.3,71.8571,,,,2016,,,,-13.7668,65.9,
Indiana,122.111,99.467,0.913626,27-8,27,35,58.7,49.8,33.9,30.2,19.6,18.9,37.2,29.2,68.6065,56.1,49,41.6,34.3,0,0,54.8,46.7,40.8,31.2,68.6065,,,,2016,,,,3.30021,73.1,
Louisiana,109.816,106.162,0.596091,17-15,17,32,48.8,49.9,42.2,35.5,17.5,16.5,37.7,26.4,70.3605,49.9,47,31.1,37.8,0,0,46.7,43.6,33.9,30.2,70.3605,,,,2016,,,,0,69.8,
"Central Michigan",111.282,109.358,0.549987,14-16,14,30,51.7,51,30,35.2,13.6,15.9,26.5,31.5,66.5475,50.8,50.7,35.2,34.4,0,0,51.2,48.4,46.8,34.6,66.5475,,,,2016,,,,-9.0698,73.3,
Brown,101.872,111.388,0.263669,7-20,7,27,50.2,50.8,36.9,36.4,18.8,16,25.6,31.3,70.6959,47.8,48.5,35.9,36.6,0,0,59,53.5,39,35.5,70.6959,,,,2016,,,,-13.9042,70.7,
"Wright St.",101.208,98.2086,0.58565,20-13,20,33,51.4,48.6,33,48.3,16.5,20.6,19.1,25.5,65.4113,48.3,48.1,37.8,33,0,0,55.7,49.7,36.6,35.1,65.4113,,,,2016,,,,-5.9044,69.1,
"UC Irvine",106.525,97.6536,0.731047,26-10,26,36,51.1,44.6,35.1,34.7,18.2,17.4,29.1,28.2,67.1927,49.3,41.6,36.7,33.2,0,0,58.5,63.3,30.7,36.9,67.1927,,,,2016,,,,-0.661727,68.2,
Furman,104.026,107.267,0.412695,17-16,17,33,51.5,50.8,43.3,38,20.5,19.2,32.1,28.8,64.9691,54.2,49.9,31.9,35,0,0,48.8,49.2,42.1,36,64.9691,,,,2016,,,,-9.92365,69.6,
UAB,109.159,104.749,0.616386,25-7,25,32,53.6,48.6,33.4,29.8,17.8,18,32.4,30.4,68.0728,52.6,48.1,37,33.1,0,0,64.7,51.1,34.6,35.6,68.0728,,,,2016,,,,-0.868404,71.5,
Tulane,97.4422,100.5,0.412097,13-21,13,34,45,48.8,30.7,36.8,19.1,18.7,31.7,30.2,67.6031,45,46.9,30,35.3,0,0,46.4,48.5,35.6,30.8,67.6031,,,,2016,,,,-10.9338,67.6,
FIU,103.222,108.131,0.369522,11-19,11,30,52,48.1,35.6,35.7,19.3,14.2,30.8,29.4,65.1261,50.7,47.1,36.8,33.1,0,0,45.6,53,28.1,38.1,65.1261,,,,2016,,,,-14.4733,67.2,
BYU,113.009,99.1001,0.819114,25-11,25,36,52.9,48.3,35.3,31.9,15.8,17.8,31.2,25.2,73.5117,50.2,47,38.4,33.7,0,0,55.5,53.8,36.6,37.9,73.5117,,,,2016,,,,-1.37775,69.3,
"Illinois Chicago",90.5242,106.758,0.130465,3-25,3,28,41.5,49.3,43.2,39.6,21.1,15.7,31.9,30.7,71.2569,40.3,46.6,30.4,36.4,0,0,47.8,60.4,24,33.4,71.2569,,,,2016,,,,-19.5161,61.9,
Xavier,117.814,95.3465,0.919327,28-6,28,34,51.4,47.8,41.7,33.6,17.4,19.3,35.2,26,71.5139,49.8,48.6,36.3,31.1,0,0,59.1,54.7,34.2,40.5,71.5139,,,,2016,,,,7.72824,73,
Charlotte,104.277,109.249,0.369208,14-19,14,33,51,54.8,33.2,30.9,16.4,18.3,29.7,27.7,70.3318,47.7,52.7,38.2,39.3,0,0,52.3,45.6,33.7,33.7,70.3318,,,,2016,,,,-12.5503,69.8,
Canisius,107.849,114.148,0.342363,14-19,14,33,49,54.9,36.9,39,15.9,19.6,31,32.8,67.6368,47.5,53.6,34.1,38,0,0,55.1,59,41.5,38.4,67.6368,,,,2016,,,,-13.5302,74.1,
"Wake Forest",107.68,100.494,0.688745,11-20,11,31,49.4,49.5,43.2,38.6,20.1,15.2,32.7,31.2,71.4808,50.4,49.2,31.6,33.4,0,0,54.7,46.3,34.3,32.6,71.4808,,,,2016,,,,-6.22025,66,
"Florida Atlantic",95.8749,108.636,0.192002,7-24,7,31,46.7,50,32.3,37.7,17.6,16.6,23.1,32.9,67.4602,44.2,49,34.1,35.4,0,0,51.8,47.8,36.9,25.1,67.4602,,,,2016,,,,-17.1127,72.4,
Northeastern,107.179,103.237,0.606099,17-15,17,32,51.7,51.7,38.7,27.9,18.2,17.2,25.9,28.8,65.2862,48.5,52,37.2,33.9,0,0,61.6,54.2,43,33.5,65.2862,,,,2016,,,,-6.86453,72.2,
"Robert Morris",91.5588,105.525,0.163466,10-22,10,32,46.6,49.4,35.5,32.9,20.4,22,26.1,34.7,68.2302,49.6,48.9,27.6,33.5,0,0,54,62.5,36.2,35.9,68.2302,,,,2016,,,,-17.1741,66.6,
Seattle,95.0228,105.846,0.224354,13-17,13,30,47.5,49.1,36,34.9,23.1,18.9,32.5,31.3,65.8425,44.7,47.7,35.5,33.9,0,0,55.4,60.6,32.3,43.1,65.8425,,,,2016,,,,-11.0153,66.6,
Villanova,123.975,91.9612,0.968786,35-5,35,40,56.1,46.7,34.1,30,16.3,20.6,28.2,29.4,65.7571,57.4,44.1,36.2,33.9,0,0,58.7,56.3,42.7,37.4,65.7571,,,,2016,,,,8.95423,78.2,
Howard,93.5916,109.62,0.13968,10-20,10,30,43.6,49.2,48.5,36.6,20.3,18.9,32.6,35.8,70.544,43.4,48.6,29.5,33.5,0,0,35.2,51.4,26,36.8,70.544,,,,2016,,,,-15.9809,72.5,
"Utah St.",111.2,107.072,0.607073,14-15,14,29,52.2,51.1,33.6,33.2,17.5,16.5,29.2,28.7,66.7727,49.2,50.1,37.9,35.2,0,0,56.1,54.9,38.8,36.6,66.7727,,,,2016,,,,-7.30722,69.8,
Marist,101.854,116.862,0.170691,7-23,7,30,49.4,53.6,35.9,36.6,17.3,16.9,24.3,32,67.9568,48.1,51.6,34.2,38.2,0,0,48.4,53.8,42.4,35.1,67.9568,,,,2016,,,,-18.6126,73.3,
Toledo,108.844,104.445,0.616427,16-15,16,31,52.7,51,34.3,28.8,16.6,17.3,27.9,24.6,69.0937,51.7,46.6,36.3,38.9,0,0,59.7,50.5,38,37.1,69.0937,,,,2016,,,,-9.64172,74.8,
Denver,103.248,104.558,0.463811,16-15,16,31,55.7,51.9,36.6,43.4,20.8,22.7,20.1,31,61.0148,54.3,49.9,38.3,37,0,0,64.3,54.6,42.3,35.2,61.0148,,,,2016,,,,-10.0444,77,
"Cal St. Northridge",100.044,106.861,0.319074,8-20,8,28,46.7,51.7,42.1,36,19.4,18.9,27.6,31.3,70.408,47.1,47.8,30.2,39.7,0,0,56.2,57.7,24.9,32.6,70.408,,,,2016,,,,-13.2831,71.7,
Maryland,115.983,97.5309,0.880021,26-9,26,35,55.2,46.5,37,27,18.9,16.4,29.1,29.9,67.05,55.8,45.5,36.2,32.1,0,0,52,47.2,38.3,35.1,67.05,,,,2016,,,,4.01609,76.9,
