
"UC Santa Barbara",110.52,106.53,0.604179,23-9,23,32,53,49.9,32,29.5,14.9,16.6,28.7,27,66.6998,50.5,48.9,38.3,34.4,0,0,54.8,54.8,36.1,35.4,66.6998,,,,2018,,,,-3.90382,70.1,
"Arkansas Pine Bluff",92.9388,110.242,0.123091,14-21,14,35,49.6,49.2,36.6,44.7,20.6,22.7,23.4,37.8,67.6134,49.7,49.1,32.9,32.9,0,0,52.4,58.8,35.4,36,67.6134,,,,2018,,,,-16.2911,67.5,
"Portland St.",107.094,107.352,0.493076,20-14,20,34,49.2,55,33.3,43.3,16.5,22,34.7,30.5,74.5336,48.9,54,33.2,38,0,0,50.6,53.3,37.3,33.8,74.5336,,,,2018,,,,-6.77949,70.5,
Indiana,109.184,98.5285,0.765104,16-15,16,31,51.1,50.8,36.4,32.2,18.2,19.7,31.8,29.5,66.5523,52.5,48.4,32.2,36.7,0,0,54,52.3,34.1,36.5,66.5523,,,,2018,,,,-2.84902,65.7,
Louisiana,112.432,100.992,0.774518,27-7,27,34,52.7,49.1,38,36.1,18.3,19.6,35.9,27.9,70.4193,52.4,48.5,35.4,33.6,0,0,62,43.6,39.3,32.8,70.4193,,,,2018,,,,-0.49638,75.9,
"Central Michigan",109.915,109.757,0.504133,21-15,21,36,51,52.5,33.7,27.2,17,17.9,31.1,31,67.0761,50.5,53.1,34.4,34.5,0,0,51.6,51.2,46.7,41.8,67.0761,,,,2018,,,,-9.052,80.4,
Brown,101.317,109.489,0.290699,11-16,11,27,48.5,54.4,40.4,40,18.4,19.3,29.4,26.7,71.5471,48.6,53.9,32.1,37,0,0,49,49.3,35.9,35.5,71.5471,,,,2018,,,,-11.5299,74.8,
"Wright St.",99.7118,97.505,0.563992,25-10,25,35,48.6,48.3,35.3,29.9,18.6,21,28.7,25.3,68.0919,47.7,45.8,33.5,34.7,0,0,53.2,51,35,39.4,68.0919,,,,2018,,,,-3.49306,71.7,
"UC Irvine",99.6509,97.68,0.55718,18-17,18,35,48.1,45,28.2,41.2,20.5,14.8,32.3,24.8,66.9764,47.5,42.9,33,32.8,0,0,47.5,50.5,32,33.9,66.9764,,,,2018,,,,-9.11924,71.1,
Montana,107.044,98.7534,0.716487,26-8,26,34,51.2,48.4,38.3,41.4,17.4,21.2,33.5,26.1,67.8775,51.4,46.3,33.7,35.2,0,0,45.6,43.8,27.2,32.3,67.8775,,,,2018,,,,-1.11783,71.6,
UAB,108.42,102.929,0.645128,20-13,20,33,54.7,50.6,28.3,26.8,19,17.6,30.9,25,67.6132,55.9,49.1,34.8,35,0,0,58.9,53.6,33.4,43.8,67.6132,,,,2018,,,,-6.11263,74.5,
Tulane,105.783,106.501,0.480566,14-17,14,31,51.5,50.5,34.5,34.6,18.8,17.2,27.5,30,69.082,50.9,49.8,35,34.5,0,0,60.4,47.2,37.3,34.1,69.082,,,,2018,,,,-8.6621,71.3,
FIU,98.8494,102.772,0.389961,14-18,14,32,47.1,50.6,36.5,34.8,15.6,19.8,25.9,27.4,68.6697,47.2,50.6,31.3,33.7,0,0,45.6,54.4,32.3,38.7,68.6697,,,,2018,,,,-13.0127,61.6,
