
"UC Santa Barbara",108.387,97.5121,0.77134,22-5,22,27,52.6,47.8,35.3,27.3,16.4,20.5,28.2,24.3,65.3456,53.2,47,34.3,33.1,0,0,58.5,45.5,34,31.4,65.3456,,,,2021,,,,0.123402,76.3,
"Arkansas Pine Bluff",90.9951,114.47,0.0666493,4-21,4,25,43.2,54.1,38.6,38.3,22.5,18.4,27.2,32.2,67.6962,41.9,51.2,30.8,40,0,0,45.8,59.4,29.5,33.3,67.6962,,,,2021,,,,-15.8722,72.3,
Toledo,112.905,101.934,0.764147,21-9,21,30,54,48.5,28.5,23.7,15.6,17.4,29.7,30.8,68.7062,52.5,51.1,37.2,29.8,0,0,55.3,45.1,45.2,40.2,68.7062,,,,2021,,,,-2.03578,78,
Indiana,107.77,94.7601,0.814502,12-15,12,27,48.5,48.8,41.5,33.5,17.2,17.6,25.5,27.4,66.0943,48.5,48.1,32.4,33.4,0,0,57.5,48.7,32.3,37.6,66.0943,,,,2021,,,,-1.3134,66.5,
Louisiana,101.136,104.691,0.401956,17-9,17,26,50.3,48.4,30.1,30.3,20.4,17.2,32.2,27.9,70.9211,48.8,46.7,35.6,34.9,0,0,45.9,53.9,32.8,30.1,70.9211,,,,2021,,,,0,70.1,
"Central Michigan",99.4865,111.304,0.215724,7-16,7,23,48.7,54,36.2,27.5,17.9,18.2,26.6,32.2,72.1099,48.8,53.6,32.2,36.4,0,0,38,51.8,31.8,39.8,72.1099,,,,2021,,,,-12.387,67.8,
"Wright St.",106.942,97.2933,0.747895,18-6,18,24,54.4,45.1,34.5,21.8,18,16.7,34.2,25.1,71.1082,53.8,44.8,37,30.6,0,0,52,44.2,32.9,32.9,71.1082,,,,2021,,,,-3.52399,72.6,
"UC Irvine",99.5684,94.3507,0.64999,18-9,18,27,47.3,45.6,29.1,28.1,18.9,18.2,31.1,24.7,67.5358,46.7,43.2,32.9,32.9,0,0,43.1,54.6,24.5,39.6,67.5358,,,,2021,,,,-3.37572,75.6,
Furman,108.45,100.953,0.69503,16-9,16,25,56.7,51.5,25.8,28.7,17.8,20.5,26.3,27.4,67.916,60.8,51.5,34.8,34.3,0,0,56.4,50.2,48.3,38.3,67.916,,,,2021,,,,-4.61496,72.3,
UAB,102.545,94.6349,0.715689,22-7,22,29,48.6,47,29.9,27.1,15.6,23.6,29,25.4,67.2865,49.4,46.1,31.1,32.4,0,0,40,49.1,27.6,35.5,67.2865,,,,2021,,,,-2.61717,70.2,
Tulane,99.0148,98.1158,0.526197,10-13,10,23,44.2,49.7,36.6,30,16.6,22.1,22.9,30.6,67.1514,44,46.7,29.8,35.8,0,0,55.3,68.2,40,43,67.1514,,,,2021,,,,-5.89275,74.6,
FIU,96.9853,107.977,0.225373,9-17,9,26,50.5,53.9,24,34.7,20.9,21.5,25.8,33.6,70.3227,51.9,53.2,32.7,36.9,0,0,52,45.7,49.1,31.3,70.3227,,,,2021,,,,-13.562,67.5,
BYU,112.949,93.984,0.892237,20-7,20,27,54.9,46.9,27.9,29.4,19,15.7,28.7,23.4,67.8031,54.8,45.8,36.7,32.8,0,0,55.6,46.2,38.6,34.7,67.8031,,,,2021,,,,3.55014,73,
"Illinois Chicago",93.2481,104.995,0.203512,9-13,9,22,49.7,48,22.8,33.8,18.9,14.2,23.7,27.6,68.3397,50.2,49.1,32.7,30.1,0,0,53.2,44.5,41.8,26.7,68.3397,,,,2021,,,,-10.1842,65.9,
Xavier,109.749,97.6019,0.793964,13-8,13,21,52.1,47.6,25.9,23.5,15.8,16.4,26.8,27.3,68.1393,54.3,45.7,32.5,33.8,0,0,62.6,56.9,38.8,37.3,68.1393,,,,2021,,,,-0.764505,69.4,
Charlotte,96.0888,103.962,0.287882,9-16,9,25,49.2,50.9,37.2,23.4,20.1,18.4,21.6,24.7,62.6578,49.3,52.9,32.7,31.8,0,0,51.5,52.8,34.8,38.6,62.6578,,,,2021,,,,-11.5192,73.7,
Canisius,98.668,107.118,0.279889,7-6,7,13,47,50.5,31.6,31.6,16.8,20.2,26.6,26.8,70.4805,48.8,50.3,29.7,34.1,0,0,51.4,44.1,41.6,31.1,70.4805,,,,2021,,,,-4.75375,71,
"Wake Forest",101.935,101.178,0.52139,6-16,6,22,49,54.5,28.5,32.1,20,17.9,26.2,25.9,66.5678,45.9,52.8,35.1,38.3,0,0,49.7,53.9,46,36.6,66.5678,,,,2021,,,,-7.09244,72.2,
