
"UC Santa Barbara",104.269,101.686,0.571603,17-11,17,28,53.5,48.1,37.2,30.4,19.3,19.5,28.4,27.2,65.4647,55,48.2,33.4,32,0,0,57,51,30,32.6,65.4647,,,,2022,,,,-6.83787,70.5,
"Arkansas Pine Bluff",97.5916,119.803,0.0864217,7-24,7,31,46.6,55.5,33.6,34.6,19.5,18.7,24.8,36.3,67.4234,48,56.1,29.8,36,0,0,48.7,53.8,40.5,29.4,67.4234,,,,2022,,,,-17.4315,70.9,
"Portland St.",95.7022,102.776,0.305757,14-17,14,31,47.1,52.7,31.6,39.4,17,23.4,26.1,31.8,70.616,48.4,51.2,29.7,36.7,0,0,41.1,49,34,37.4,70.616,,,,2022,,,,-12.7737,74.2,
Indiana,107.677,91.6139,0.865051,21-14,21,35,50.6,46.2,33.5,30.7,17.2,17.6,27,25.1,67.2433,50.9,43.9,33.3,33,0,0,56.6,47.7,31.1,40,67.2433,,,,2022,,,,0.21251,70,
Louisiana,101.119,101.681,0.484069,16-15,16,31,48.6,46.9,35.5,35.5,22,18.4,33.6,27.6,69.6189,47,46.2,34.3,32.2,0,0,50.4,51.4,36.9,33.6,69.6189,,,,2022,,,,0,71.1,
"Central Michigan",95.1479,109.131,0.171243,7-23,7,30,47.8,53,30.5,36,19.6,16.6,25.4,31.4,67.5648,45.5,53.6,34.1,34.8,0,0,49.7,53.9,40.1,42.3,67.5648,,,,2022,,,,-16.0932,69.2,
Brown,98.8212,103.592,0.367685,13-16,13,29,49.4,51.1,31.6,33.2,19.1,19.5,28.2,28.1,67.5479,50.6,51.3,31.7,33.9,0,0,46.6,46.6,38.9,38.2,67.5479,,,,2022,,,,-9.94194,69.5,
"Wright St.",104.805,106.23,0.461263,22-14,22,36,51.7,51.4,31.6,26.1,17.7,18.5,31,30.1,68.7714,52.5,51.9,33.4,33.8,0,0,50.8,41.2,32.7,34.1,68.7714,,,,2022,,,,-8.3964,76.6,
"UC Irvine",98.198,96.4508,0.551434,15-10,15,25,47.6,44.1,29.7,31.2,20.6,17.2,29.9,27.6,65.0536,47.4,46,32.1,26.6,0,0,43.8,48,28.6,32.1,65.0536,,,,2022,,,,-4.82781,78,
Montana,99.8797,106.301,0.328161,18-14,18,32,50.2,51.8,38.5,42.8,15.7,19.1,18.1,26.8,65.2673,49.9,49.9,33.9,37.5,0,0,49.1,44.4,35.8,30.2,65.2673,,,,2022,,,,-9.91958,78.8,
UAB,111.82,99.1175,0.800066,27-8,27,35,52.8,48.4,29.3,31.3,16.4,21.1,33.3,27.5,68.8924,50.8,47.8,38,32.9,0,0,44.3,46.4,32.7,37,68.8924,,,,2022,,,,-0.106992,74,
Tulane,110.783,99.3806,0.777149,14-15,14,29,51.2,49.6,33.4,28.5,15,20.3,20.1,32.8,67.9163,49,48.3,36.5,34.1,0,0,53.4,65.3,38.6,45.3,67.9163,,,,2022,,,,-5.11709,75.6,
FIU,96.7534,105.919,0.260978,15-17,15,32,49.9,50.2,24.6,31.4,20.1,18.5,27,29.8,66.6723,49,50.2,34,33.4,0,0,52.8,53.6,46.2,39.7,66.6723,,,,2022,,,,-12.0062,70.8,
BYU,108.403,97.8447,0.764667,24-11,24,35,51.8,47.7,27.2,31.1,18.4,15,30.6,22.5,67.8444,51.9,48.9,34.6,30.5,0,0,52.4,48,37.3,37.3,67.8444,,,,2022,,,,0.327674,72.3,
"Illinois Chicago",99.745,109.096,0.262987,14-16,14,30,51.1,51.6,22.9,34.2,17.2,16.8,25,27.2,68.9304,53.3,50,32.4,37.4,0,0,54.2,43.5,46.1,27.4,68.9304,,,,2022,,,,-11.6692,70.8,
Xavier,110.903,97.1805,0.820389,23-13,23,36,50.9,48.3,35.3,25.9,16.7,18.1,29.3,26.1,68.566,52.2,48.3,32.2,32.2,0,0,55.9,48.6,35.6,36.6,68.566,,,,2022,,,,-1.06043,69.8,
Charlotte,104.703,106.407,0.453703,17-14,17,31,52.9,52.6,28,26.5,17.2,16.9,22.7,25.6,65.4239,53.6,51.7,34.5,36.2,0,0,55.4,46.7,39.8,36.3,65.4239,,,,2022,,,,-7.42268,79.2,
Canisius,95.8896,105.106,0.258188,11-21,11,32,45.4,51.5,30.2,32.2,16.9,17.8,28,26.3,68.2637,45.5,53.7,30.2,31.2,0,0,53.3,49.6,39.1,31.6,68.2637,,,,2022,,,,-14.9918,69.6,
"Wake Forest",110.736,94.9531,0.854254,25-10,25,35,55.6,47.3,33.6,29.4,19.2,17.6,26.7,26.2,70.3927,58.5,46.6,34.5,32.3,0,0,53.8,48.9,42.4,36.6,70.3927,,,,2022,,,,1.44842,73,
"Florida Atlantic",104.501,101.215,0.590839,19-15,19,34,53.3,50.8,28.8,32.1,19.6,19.5,31.1,26,67.148,53.6,48.4,35.3,36.9,0,0,48.3,42.9,42,33.7,67.148,,,,2022,,,,-8.06381,71.8,
Northeastern,97.0603,102.119,0.357941,9-22,9,31,50.1,51.7,30.6,25.6,21.2,15.7,26.3,23.7,64.6001,51.6,51.9,32,34.3,0,0,49.6,46.1,40.5,36.9,64.6001,,,,2022,,,,-15.4294,73.4,
"Robert Morris",99.1104,112.525,0.1885,8-24,8,32,50.9,53.1,28.2,28.9,20.8,16.9,28.2,32.2,66.8715,51.6,51.9,32.9,36.9,0,0,48.2,54.4,31.8,35.8,66.8715,,,,2022,,,,-18.7231,76.1,
Seattle,98.7202,96.3051,0.570731,23-9,23,32,48.3,46.4,28.8,40.5,16.3,20.5,26,25.6,70.4061,47.1,46,33.1,31.4,0,0,51.9,51.2,45.7,36.7,70.4061,,,,2022,,,,-3.62696,76.8,
Villanova,117.165,92.987,0.934495,30-8,30,38,51.5,47.3,29.8,25,15.5,18.4,31.2,28.9,62.1958,49.5,48.1,35.9,30.8,0,0,48.9,49.9,46.3,42.2,62.1958,,,,2022,,,,7.27418,83,
Howard,99.2738,105.731,0.326358,16-13,16,29,50.4,49.4,36.2,33.9,20.7,23.5,28,34.5,70.3674,47.8,48.6,36.2,34,0,0,54.3,48,40,33.6,70.3674,,,,2022,,,,-9.4814,74.7,
"Utah St.",109.168,96.4522,0.805987,18-16,18,34,54.2,49.7,28.9,29,18.3,18.3,26,22.9,66.702,56.2,48.8,34.1,34,0,0,65.3,54.4,40.1,39.4,66.702,,,,2022,,,,-4.71931,72.1,
Marist,99.1703,103.76,0.372781,14-16,14,30,50.4,48.3,25,28.5,18.2,16.7,26.4,27.1,66.2486,49.7,47.1,34.4,33.4,0,0,35.3,54.8,37.7,40.9,66.2486,,,,2022,,,,-11.5876,71.9,
Toledo,109.239,101.77,0.69304,26-8,26,34,53,47.2,28,22.9,14.7,15.3,30.4,27.4,68.9011,53.1,47.6,35.2,31.2,0,0,51,49.8,31.4,41.6,68.9011,,,,2022,,,,-1.56826,76,
Denver,99.1306,110.751,0.218452,11-21,11,32,52.7,52.4,32,32.2,18.6,16.5,23.7,28.1,66.4864,51.1,50.9,37.1,36.4,0,0,48.3,46.3,35.8,40.2,66.4864,,,,2022,,,,-16.2084,69.7,
"Cal St. Northridge",93.5271,110.177,0.131919,7-23,7,30,44.4,51.9,29.6,36.5,18.5,19.9,26.8,33,64.8631,44,53.1,30.2,33.2,0,0,39.5,57.3,29.6,37.9,64.8631,,,,2022,,,,-17.3761,68.5,
Maryland,108.704,99.3629,0.737552,15-17,15,32,49.4,50.2,33.9,24.6,16.8,16.1,27.2,27.6,66.7376,49.7,48.2,32.6,35.5,0,0,47.1,52.2,37.2,38.9,66.7376,,,,2022,,,,-3.84961,75.9,
Rice,103.864,110.16,0.336994,16-17,16,33,52.9,50.8,31.2,21.1,18.4,14.3,26.1,28.2,67.6115,51.9,51.6,36.2,32.9,0,0,57.8,48.4,42.2,35,67.6115,,,,2022,,,,-9.61102,71.7,
"Abilene Christian",104.495,99.5115,0.636894,25-11,25,36,48.4,52,39.3,49.1,17.6,27.9,27.8,30.9,70.1794,48.4,52,32.2,34.6,0,0,57,51.7,36.3,40,70.1794,,,,2022,,,,-4.13116,74.9,
Rider,98.6408,102.94,0.379758,14-19,14,33,45.6,49.2,27.2,33.2,17.3,18.4,29.4,28.3,67.0353,44.9,47.3,31.6,34.4,0,0,50.5,55,27.9,43.9,67.0353,,,,2022,,,,-13.3939,73.6,
"Boston College",103.911,98.757,0.642236,13-20,13,33,47.8,51.5,29.6,31.5,17.9,18.7,29.9,25.7,64.9791,48.5,49.8,30.9,36.4,0,0,50.2,50.3,32.4,36.8,64.9791,,,,2022,,,,-8.29459,70.4,
Arizona,118.035,93.7349,0.934068,33-4,33,37,55.6,44.4,34.9,24,18.3,17.4,34.7,28.6,72.257,57,41.8,35.3,32.8,0,0,65,47.2,35.9,34.7,72.257,,,,2022,,,,8.75395,73.9,
"Penn St.",104.009,96.4494,0.704287,14-17,14,31,50.5,48.3,21.8,26.2,18.6,13.8,28.6,24.1,61.8741,49.9,45.6,34.2,35.2,0,0,49.7,55.2,42.6,37.9,61.8741,,,,2022,,,,-3.86665,73.5,
Hawaii,100.27,101.018,0.478642,17-11,17,28,50.4,46.9,32.5,31.7,19.7,15.9,29,25.1,65.0653,49.5,47.2,34.6,30.9,0,0,50.5,37.9,41.1,30,65.0653,,,,2022,,,,-7.07904,74.4,
"San Diego",95.997,100.094,0.382119,15-16,15,31,46.7,49.2,25.5,23.7,18.6,16,26.3,26.4,65.7156,46.2,49,32.1,33.2,0,0,39.1,48.9,27.6,27.8,65.7156,,,,2022,,,,-7.82091,71.2,
"UC Davis",97.4445,100.683,0.407108,13-11,13,24,48.6,47.3,29.4,36.9,17.9,19.2,26.2,28.9,67.2746,48.7,45.4,32.3,33.9,0,0,43.9,47.5,31.5,34.3,67.2746,,,,2022,,,,-8.05295,71.6,
LSU,106.307,89.6514,0.876497,22-12,22,34,49.4,45.1,33.4,37.8,20.7,25.1,33.8,30.9,68.6745,50.4,47.6,31.6,28.2,0,0,49,54.4,34.8,46.5,68.6745,,,,2022,,,,2.27532,73.1,
"St. Francis NY",94.204,108.05,0.171223,10-20,10,30,46,51.9,23.3,32.4,17.9,18.9,29.4,29.8,66.7329,45.4,52.7,31.3,33.3,0,0,47.2,50.3,36.8,30.5,66.7329,,,,2022,,,,-15.6341,70.9,
"Fresno St.",105.073,93.5042,0.792722,23-13,23,36,51.1,47.7,31.2,27.2,17.7,19.4,27.3,22.9,61.5097,51.3,47.2,33.7,32.3,0,0,50.7,50.3,38.9,42,61.5097,,,,2022,,,,-3.96135,71.4,
UMKC,100.438,103.017,0.427607,19-12,19,31,52.3,52,31.6,44.4,15.6,21,21.5,26.6,67.3164,51.6,52.8,35.8,33.6,0,0,44.7,47.8,33.9,34.6,67.3164,,,,2022,,,,-7.34164,66.9,
Baylor,117.782,91.3259,0.949099,27-7,27,34,52.8,47.8,29,27.7,17.9,22.9,36.3,28.8,67.5553,53.6,49.2,34.3,30.2,0,0,56.3,55.9,38.4,36.2,67.5553,,,,2022,,,,8.9014,69.7,
"Oral Roberts",108.07,109.681,0.457562,19-12,19,31,53.9,51.1,23,24.8,13.2,12.7,26.6,24.7,70.2428,52.3,50.8,37.2,34.4,0,0,38,39.6,46.2,35,70.2428,,,,2022,,,,-6.81622,72.2,
Ohio,102.618,100.831,0.550317,25-10,25,35,50.6,50,31.5,28,15.4,20.4,27.1,26,67.4293,50.8,51.9,33.7,31.2,0,0,49,45.8,45.3,37.4,67.4293,,,,2022,,,,-3.51163,72.9,
Winthrop,104.301,105.152,0.476678,23-9,23,32,56.4,51,37.5,33.5,21.2,19.3,25.3,27.5,68.3482,57,49.1,37,35.9,0,0,49.9,44.5,42.6,40.2,68.3482,,,,2022,,,,-3.26218,69.5,
"Northern Illinois",92.4102,103.528,0.213084,9-21,9,30,47.2,50.6,33,40.7,19.9,19.7,24.3,29.4,67.0408,47,51.8,31.7,32.3,0,0,48.8,54.2,33.5,36.5,67.0408,,,,2022,,,,-14.7,67.6,
"Georgia Tech",100.539,97.7845,0.579204,12-20,12,32,49.6,50.1,25,31.5,18.9,18.8,25,28.1,68.1077,48.6,51.4,34.4,32.1,0,0,53.1,58.8,34.5,38.5,68.1077,,,,2022,,,,-8.32828,69.3,
"Kent St.",102.391,99.0751,0.593543,23-11,23,34,49.8,49,32.6,36.4,18.5,19.5,30.8,26.4,65.7268,50.5,50.1,32.5,31.7,0,0,49,52.3,39.6,42.9,65.7268,,,,2022,,,,-4.53916,74.6,
"High Point",98.8425,103.721,0.364938,14-18,14,32,48.9,49.5,33.9,35.3,19.5,17.7,27.4,30.2,66.3265,49.4,52.1,32,30.1,0,0,48.2,54.1,34.2,37.1,66.3265,,,,2022,,,,-12.4866,64.2,
"Weber St.",101.334,103.16,0.448817,21-12,21,33,53.5,52.3,37.8,26.9,16.3,20.2,20,24.9,69.5913,54.5,49.2,34.6,38.1,0,0,40.4,50.7,38.5,38.8,69.5913,,,,2022,,,,-7.697,75.4,
Maine,92.2436,114.2,0.0790372,6-23,6,29,46.9,54.9,20.4,32.8,19.3,18.3,24,30.4,66.117,47,53.3,31,38.6,0,0,55.6,49.3,38.6,35.2,66.117,,,,2022,,,,-18.3092,70.5,
Radford,95.165,103.795,0.269287,11-18,11,29,46.5,52,27.8,37.4,20.6,20.2,28.9,26,64.2942,47.7,51.3,29.8,35.4,0,0,46.6,48.7,40.7,37,64.2942,,,,2022,,,,-12.1468,68,
Kansas,119.791,91.2702,0.957996,34-6,34,40,53.8,45.8,32.3,27.7,17.3,18.1,32.9,28.6,69.113,53.6,46.4,36.1,29.8,0,0,53.6,48.3,33.1,34.8,69.113,,,,2022,,,,10.4025,71.7,
SMU,107.874,95.411,0.804053,24-9,24,33,51.5,44.5,35.6,25.4,17.7,17,27.7,30.3,68.3399,50.4,44.5,35.3,29.8,0,0,55.3,52.7,42.2,34,68.3399,,,,2022,,,,1.84129,75,
Richmond,106.947,99.0559,0.707133,24-13,24,37,51.1,50.5,31,23.4,14.3,18.8,22.4,27.5,66.6889,52.3,49.9,33,34.3,0,0,57,49,41.7,36.1,66.6889,,,,2022,,,,-1.64648,71.8,
Providence,111.428,95.4844,0.855176,27-6,27,33,50,46.3,37,27,17,15.6,30.3,27.4,65.3324,49,47.1,34.4,30,0,0,54.1,46,38,36.1,65.3324,,,,2022,,,,5.86528,72.8,
Louisville,103.035,98.341,0.630942,13-19,13,32,48.8,50.3,25.1,30,18,16.3,27.3,24.9,67.2574,50.5,49.1,30.9,34.9,0,0,47.9,52.2,42.2,38.1,67.2574,,,,2022,,,,-6.79635,67.4,
Davidson,115.788,101.113,0.826135,27-7,27,34,55.6,49.5,32.5,28,14.8,16.7,23.6,22.4,64.6281,54.2,48.9,38.5,33.6,0,0,54.8,52.1,41.1,43.8,64.6281,,,,2022,,,,2.13365,75.4,
"North Florida",96.4955,104.355,0.288951,11-20,11,31,48.1,48.8,30.4,28.7,21.6,16.7,25.2,36.9,68.0967,47.7,48,32.4,33.9,0,0,51.9,53.5,49.3,30.4,68.0967,,,,2022,,,,-11.6914,73.1,
"Missouri St.",112.096,101.775,0.752288,23-11,23,34,54.6,48.8,27.7,28,15.5,15.7,25.8,24,67.0535,54.6,47.8,36.4,33.6,0,0,42.3,43.8,37.4,38.2,67.0535,,,,2022,,,,-2.517,79.9,
Vanderbilt,106.692,94.6612,0.798326,19-17,19,36,50.2,48.5,38.7,34.9,18.9,20.7,27.5,27.7,67.4294,49.5,50.7,34,30.1,0,0,48.8,55.3,45.6,38.9,67.4294,,,,2022,,,,-3.07877,69.7,
"Utah Tech",94.2439,102.935,0.266115,13-18,13,31,46.5,50.9,35.2,30.7,21,17.8,26.7,28.9,71.6228,47.8,51.7,29.5,33,0,0,60.1,54,37.3,36.8,71.6228,,,,2022,,,,-11.4626,66.7,
Akron,105.469,101.666,0.604065,24-10,24,34,52.5,49.1,39.3,26.1,17.7,17.5,29,26.4,61.9468,52.2,47.4,35.3,34.8,0,0,48,41.2,41.4,35.4,61.9468,,,,2022,,,,-4.27094,69.4,
"Bowling Green",102.66,111.946,0.269756,13-18,13,31,48.6,53.5,31.9,30.8,16.5,17.3,29.9,30.7,72.7055,48,53.1,33.1,36,0,0,43.5,50.5,36.9,42.9,72.7055,,,,2022,,,,-13.4219,74.2,
Memphis,112.447,92.6257,0.902914,22-11,22,33,52.3,46.6,37.8,33.2,22.5,20.4,37.4,30.9,70.0336,51.9,45.5,35.5,32,0,0,58.7,56.8,30.4,42.8,70.0336,,,,2022,,,,1.35396,69.4,
"Central Arkansas",99.5314,110.615,0.22896,11-20,11,31,48.2,54.8,23.1,29.8,18.8,16.4,26.2,30.9,72.0558,50.3,55.8,29.5,35.3,0,0,50.8,52.7,35.2,36.4,72.0558,,,,2022,,,,-13.0153,75.4,
"Murray St.",110.043,96.2125,0.824132,31-3,31,34,52.6,48.1,32.4,26,17.1,20.4,35.3,25.7,66.0388,53.2,50.5,34.5,29.7,0,0,50.8,45.5,37.8,40.6,66.0388,,,,2022,,,,3.50999,69.4,
American,93.1254,109.938,0.129129,10-22,10,32,49.6,53.3,25.6,28.9,20.2,17.4,25,29,64.9528,49.6,53.9,33.1,34.7,0,0,49.9,50.6,28,34.2,64.9528,,,,2022,,,,-18.167,69.4,
"Notre Dame",112.781,96.7095,0.854199,24-11,24,35,54,49,27.3,22.2,15.6,15.1,22.1,24.7,65.4004,51.9,49.6,37.9,32,0,0,54.5,45.4,42.3,35.2,65.4004,,,,2022,,,,1.85084,75.4,
Creighton,104.814,92.1386,0.814914,23-12,23,35,50.6,44.9,26.7,20.8,20.4,15.5,28.4,28.5,66.9876,53.3,43.6,30.8,31.7,0,0,52,45.2,38.1,33.2,66.9876,,,,2022,,,,1.70751,73.8,
Duke,122.718,95.988,0.944019,32-7,32,39,55.6,47.1,28.6,19.1,15,15.7,31.7,28.9,67.4198,56,46.6,36.6,32,0,0,55.1,50.4,35.7,33.6,67.4198,,,,2022,,,,7.182,73.8,
"Indiana St.",98.6318,101.586,0.415953,11-20,11,31,50.6,51.7,26.4,26.2,19.2,15.8,17.3,22.5,69.4527,52.8,50.1,32,36.1,0,0,52.8,48.4,46,37.9,69.4527,,,,2022,,,,-12.2617,77.8,
UCLA,115.834,92.2476,0.932034,27-8,27,35,50.6,47.6,29.5,28.3,13.2,19.4,31.3,25.3,65.367,49.5,47.3,35.4,32.1,0,0,50.2,50.2,31.2,38.1,65.367,,,,2022,,,,5.04827,74.1,
Pacific,95.2589,104.313,0.260344,8-22,8,30,46.2,54.9,32.3,28.1,17.4,18.7,22.6,22.6,68.0148,45.8,52.1,31.4,39.2,0,0,49.2,49.1,33.2,42.5,68.0148,,,,2022,,,,-15.4525,68.3,
"Texas A&M",109.196,93.278,0.859591,27-13,27,40,49.6,47.4,35.7,33.3,18.9,23.7,33.5,33.2,66.4988,50.1,47.9,32.4,31.1,0,0,51.7,63.8,34.1,38.1,66.4988,,,,2022,,,,1.23095,70.3,
"North Texas",104.608,92.3155,0.808087,25-7,25,32,51.4,46.3,37.7,32.8,18.7,19.5,31.7,25.1,59.1636,49.7,47.6,35.8,28.8,0,0,48.7,40.5,42.1,29.6,59.1636,,,,2022,,,,0.721164,65.4,
Nevada,105.797,101.695,0.611771,13-18,13,31,50.6,52.4,32,29.7,18.4,18.3,24.5,26.1,70.3233,51.3,51.2,33,35.9,0,0,56.3,55.9,36.3,43.9,70.3233,,,,2022,,,,-6.9981,74.9,
UTSA,93.9329,106.789,0.186168,10-22,10,32,43.6,54.3,25.4,33,17.6,17,29.5,25.8,68.7131,43.9,53,28.7,37.7,0,0,44.4,55.9,33.9,38.7,68.7131,,,,2022,,,,-15.7504,68.6,
Hartford,100.804,110.585,0.256359,12-20,12,32,53.3,51.6,27.6,28.9,18.2,16.5,23.8,28.4,67.1494,51.5,50.4,36.9,35.7,0,0,48.8,47.3,45.2,38.3,67.1494,,,,2022,,,,-15.9943,69,
"Mississippi Valley St.",93.2253,115.271,0.0800972,2-26,2,28,44.5,56.7,31.4,36.5,18.1,20.7,23.4,33.9,70.8085,43.8,55.1,30.5,40,0,0,48,51.7,38,31.2,70.8085,,,,2022,,,,-21.3131,65.5,
"Gardner Webb",97.1331,95.7278,0.541801,18-13,18,31,49.9,45.5,28.5,36.3,20,19,26.9,26.3,67.4664,50.2,47.4,33,28.5,0,0,52,52.5,39.5,41.4,67.4664,,,,2022,,,,-7.71821,69.9,
"Prairie View A&M",96.4741,105.658,0.260046,8-19,8,27,48.4,51,38.5,44.8,24,20.6,31.7,34.2,70.6896,46.8,49.6,34.5,35.7,0,0,47.7,49.1,32.7,35.4,70.6896,,,,2022,,,,-11.8693,70.3,
Chattanooga,107.3,97.2549,0.755899,27-8,27,35,52.2,49.4,26.8,27.8,17,18.1,32.7,26.2,64.6152,53,52.1,33.9,30.3,0,0,46.2,45.2,38.7,40.3,64.6152,,,,2022,,,,0.202146,75.9,
"Georgia Southern",95.9568,102.362,0.322322,13-16,13,29,47.8,48.2,31.6,35.5,21.1,18.9,27.7,31,66.0218,50.1,47.3,29.2,33,0,0,48.2,50.3,36.3,39.4,66.0218,,,,2022,,,,-11.0953,67.1,
"Northern Arizona",94.732,111.266,0.135872,9-23,9,32,47.9,53,27.7,34.1,20.4,13.8,28.9,23.5,65.2552,45.4,52.2,34.3,36.3,0,0,50.9,45.3,41.9,36.9,65.2552,,,,2022,,,,-18.002,67.6,
Nebraska,106.496,101.358,0.638474,10-22,10,32,50.3,51.5,33.3,29.4,17.1,18.3,20.6,31.4,71.4148,51.8,51.2,32,34.7,0,0,49,50.7,37.4,40.4,71.4148,,,,2022,,,,-9.15883,73.1,
